id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,qualifier/13/value,assist,qualifier/16/value,qualifier/17/value
2512586833,1,34,16,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2023-02-26T04:48:54.452Z,2023-02-26T05:58:23Z,4057930203,130,2,4058020065,197,879,4057930199,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4057930197,30,"cb0y1hi0ozn1rx00vx6a1xr6x, 4gn22fnshsmgxyayuj2p77v85, bhl2kwvi52osrdsdnbtw45lyi, 7nhzkoa6bywrlkj9nc3f5ylii, dhnssdf1iuorniavvla5zbwx6, 3zl5ec82f8zebkxkfdz16e3th, 1hcnrw2udxcdff6bre73sv1pm, cl816ciqmvh4bjzm9vjq4wyga, bcb8xguyk226cmw4wvkkxpgix, uyhh5u2ezau9f095symdh3sa, 11kqna4zthfmc592eudehj3oq, 26vm9o1w3l4behscs3hk4d8x6, cap22dno3uid8jyckne737tyi, c0p9hlssgk28sutlee99c24t1, da3z6nhhqd45932cy3qi2kout, bngeno14i02oikz80pqjg2c5w, 6jri9zzc1ccwcof95srv8h4pg, 5h2xmb0gkhtlaeo6p5e3ejo4",4057930205,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4057930209,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4057930207,194,3zl5ec82f8zebkxkfdz16e3th,4057930201,59,"23, 19, 3, 12, 27, 5, 13, 7, 10, 17, 11, 1, 15, 16, 21, 32, 35, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512588591,1,34,16,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-02-26T04:56:51.854Z,2023-02-26T06:23:51Z,4057938649,59,"13, 10, 14, 5, 29, 15, 8, 4, 22, 7, 16, 2, 6, 18, 20, 21, 30, 43",4057938647,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4057938657,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4057938651,130,10,4057938655,194,7vq2cctowa657lg0v740lhtjp,4058018849,197,17190,4057938643,30,"1vr7xk50jy6ytnogke8h6ciga, f35u25047d9vmzt6j20fd29cl, 8gzsegmgy3fjcluzdci515j2t, 68mqljqiwgzgextvvyncb3avp, adhfs6658xx5hpxur1496kv6d, 4hudkn0jcog2v9q8qv1vngij9, 7vq2cctowa657lg0v740lhtjp, 9sczcrp79182vio8prnrw5kdm, 2tveu4wl8zdno0v950r0r34k5, cufgsqfkltgeb7ak2uan2dqdx, 4wk0sw7u4c17v2owhx5bhmusq, 5pjrdhytzrteyqxxcvxxhjqax, 5ik9yg42hblwa27q4p29awyj9, 61rdelnm1qf1rh24z6omazu1h, 1e1wh213cg8q6lsqa3kvbjdka, 982owm0ccito2d1x2pkvpqeh, dq73n90z7dgfp2bhh7y3d8161, d1vlidmmd1z2oc6h24i2v5fro",4057938653,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602227,2,32,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-02-26T06:01:16.121Z,2023-02-26T06:01:24Z,4058023627,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602213,2,32,1,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2023-02-26T06:01:16.121Z,2023-02-26T09:54:43Z,4058023483,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602235,3,1,1,0,0,v046no35g7ebk8lytdjmfb43,1,49.9,50,2023-02-26T06:01:16.221Z,2023-02-26T06:59:30Z,4058023701,212,14.7,4058023705,279,S,4058023699,141,53.6,4058023695,140,36.1,4058023703,213,3.0,4058023693,56,Back,,,,,,,1hcnrw2udxcdff6bre73sv1pm,H. Hore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602241,4,1,1,0,2,v046no35g7ebk8lytdjmfb43,1,36.1,53.6,2023-02-26T06:01:18.523Z,2023-02-26T06:51:26Z,4058023743,212,6.3,4058023739,140,34.9,4058023737,56,Back,4058023741,141,44.5,4058023745,213,4.5,,,,,,,,,,3zl5ec82f8zebkxkfdz16e3th,T. Aldred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602247,5,1,1,0,3,v046no35g7ebk8lytdjmfb43,0,34.9,44.5,2023-02-26T06:01:20.109Z,2023-02-26T06:59:38Z,4058023843,140,98.1,4058023839,155,,4058023851,1,,4058023845,141,100.0,4058023841,56,Left,4058023847,212,76.7,4058023849,213,0.5,,,,7nhzkoa6bywrlkj9nc3f5ylii,T. Gomulka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602257,3,5,1,0,8,cuj4qahgk4idsme4dg8clk6gw,1,2,-1,2023-02-26T06:01:24.523Z,2023-02-26T06:54:13Z,4058023897,233,6,4058023893,56,Back,4058023895,347,,,,,,,,,,,,,,,,,2tveu4wl8zdno0v950r0r34k5,A. Taggart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602249,6,5,1,0,8,v046no35g7ebk8lytdjmfb43,0,98,101,2023-02-26T06:01:24.523Z,2023-02-26T06:51:26Z,4058023909,233,3,4058023857,56,Left,4058023859,347,,,,,,,,,,,,,,,,,dhnssdf1iuorniavvla5zbwx6,K. Trewin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602277,4,1,1,0,22,cuj4qahgk4idsme4dg8clk6gw,1,2,0,2023-02-26T06:01:38.366Z,2023-02-26T06:54:12Z,4058024199,213,0.4,4058024197,212,11.2,4058024191,56,Back,4058024189,107,,4058024195,141,5.2,4058024193,140,11.9,,,,,,,f35u25047d9vmzt6j20fd29cl,S. Khelifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602279,5,44,1,0,23,cuj4qahgk4idsme4dg8clk6gw,1,20.2,5.5,2023-02-26T06:01:39.915Z,2023-02-26T06:54:12Z,4058024209,56,Back,4058024211,285,,4058024213,233,7,,,,,,,,,,,,,,,,cufgsqfkltgeb7ak2uan2dqdx,R. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602275,7,44,1,0,23,v046no35g7ebk8lytdjmfb43,0,79.8,94.5,2023-02-26T06:01:39.916Z,2023-02-26T06:51:26Z,4058024167,56,Left,4058024169,286,,4058024219,233,5,,,,,,,,,,,,,,,,11kqna4zthfmc592eudehj3oq,J. Lofthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602283,6,1,1,0,24,cuj4qahgk4idsme4dg8clk6gw,0,12,5.2,2023-02-26T06:01:40.644Z,2023-02-26T08:28:17Z,4058024221,3,,4058024229,141,7.4,4058024227,140,19.5,4058024231,212,8.0,4058024225,56,Back,4058024233,213,0.2,4058024223,168,,,,,cufgsqfkltgeb7ak2uan2dqdx,R. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602281,8,49,1,0,25,v046no35g7ebk8lytdjmfb43,1,61.3,91.1,2023-02-26T06:01:41.571Z,2023-02-26T08:28:26Z,,,,,,,,,,,,,,,,,,,,,,,,,7nhzkoa6bywrlkj9nc3f5ylii,T. Gomulka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602289,9,1,1,0,26,v046no35g7ebk8lytdjmfb43,0,61.3,91.1,2023-02-26T06:01:42.732Z,2023-02-26T06:51:25Z,4058024263,140,87.9,4058024261,56,Left,4058024269,213,6.1,4058024267,212,28.4,4058024259,155,,4058024265,141,83.9,,,,,,,7nhzkoa6bywrlkj9nc3f5ylii,T. Gomulka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512637037,907,44,1,0,27,cuj4qahgk4idsme4dg8clk6gw,1,13.3,13.3,2023-02-26T06:01:43.193Z,2023-02-26T08:41:58Z,4058217835,233,691,4058204195,285,,4058204193,56,Back,,,,,,,,,,,,,,,,4hudkn0jcog2v9q8qv1vngij9,J. Elsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512637017,691,44,1,0,27,v046no35g7ebk8lytdjmfb43,0,86.7,86.7,2023-02-26T06:01:43.194Z,2023-02-26T08:41:58Z,4058204101,56,Left,4058204103,286,,4058217841,233,907,,,,,,,,,,,,,,,,bcb8xguyk226cmw4wvkkxpgix,N. Mileusnic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602291,7,1,1,0,27,cuj4qahgk4idsme4dg8clk6gw,1,10.9,16,2023-02-26T06:01:43.312Z,2023-02-26T08:29:03Z,4058024323,56,Back,4058024331,213,0.1,4058024325,140,18.1,4058024329,212,7.6,4058024327,141,17.0,4058024321,3,,,,,,,,4hudkn0jcog2v9q8qv1vngij9,J. Elsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602293,8,49,1,0,29,cuj4qahgk4idsme4dg8clk6gw,1,18.5,16.9,2023-02-26T06:01:45.652Z,2023-02-26T07:00:49Z,,,,,,,,,,,,,,,,,,,,,,,,,9sczcrp79182vio8prnrw5kdm,L. Bodnar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602295,9,50,1,0,29,cuj4qahgk4idsme4dg8clk6gw,1,20.9,15.8,2023-02-26T06:01:46.120Z,2023-02-26T07:00:55Z,4058112951,233,345,4058024341,56,Back,4058024343,285,,,,,,,,,,,,,,,,,9sczcrp79182vio8prnrw5kdm,L. Bodnar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512618295,345,7,1,0,30,v046no35g7ebk8lytdjmfb43,1,79.1,84.2,2023-02-26T06:01:46.121Z,2023-02-26T08:29:17Z,4058204393,383,,4058112595,233,9,4058112587,56,Left,4058112589,286,,,,,,,,,,,,,,uyhh5u2ezau9f095symdh3sa,C. Armiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512602297,10,43,1,0,30,v046no35g7ebk8lytdjmfb43,1,0,0,2023-02-26T06:01:47.006Z,2023-02-26T07:00:55Z,4058024371,233,9,4058024355,56,Left,4058024357,286,0,4058112939,144,7,,,,,,,,,,,,,11kqna4zthfmc592eudehj3oq,J. Lofthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512618301,346,1,1,0,31,v046no35g7ebk8lytdjmfb43,0,81.5,82.6,2023-02-26T06:01:47.121Z,2023-02-26T07:00:43Z,4058112629,213,0.4,4058112621,56,Left,4058112627,212,2.9,4058112623,140,84.0,4058112625,141,84.4,,,,,,,,,,uyhh5u2ezau9f095symdh3sa,C. Armiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
