id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2526326243,1,34,16,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-04-01T09:46:11.170Z,2023-04-01T11:11:59Z,4151582027,197,884,4151476393,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4151476397,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151476391,130,19,4151476385,30,"1vr7xk50jy6ytnogke8h6ciga, 1smjjhc426d9s9ly2g41cqvl6, 8gzsegmgy3fjcluzdci515j2t, adhfs6658xx5hpxur1496kv6d, bnpu23zlwzn5gtr4t8j8qtnh0, 68mqljqiwgzgextvvyncb3avp, 7vq2cctowa657lg0v740lhtjp, 5ik9yg42hblwa27q4p29awyj9, cufgsqfkltgeb7ak2uan2dqdx, 2tveu4wl8zdno0v950r0r34k5, 4wk0sw7u4c17v2owhx5bhmusq, 5c8v9xugyq3jm2kik1eeoptnu, 9sczcrp79182vio8prnrw5kdm, djz5cm1g7ouen2y4o7w35jbl6, 869lv47g5aohwwzeyzx9xmt7u, dq73n90z7dgfp2bhh7y3d8161, 4oqiyxgv3i7lhki54wqjtyqz8, d1vlidmmd1z2oc6h24i2v5fro",4151476389,59,"13, 28, 14, 29, 37, 5, 8, 6, 7, 22, 16, 3, 4, 12, 19, 30, 36, 43",4151476395,194,7vq2cctowa657lg0v740lhtjp,4151476387,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526326505,1,34,16,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2023-04-01T09:48:30.305Z,2023-04-01T12:43:12Z,4151477757,130,10,4151477753,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4151477751,30,"4hdho3gfrydh4fzf3ydggef9x, 44cqwwuueirgp57r8ks0725t5, 92ey6tqofzafadpm9y7af2ort, c3u652s3v8u1q4qid5mkbtyw9, qdjzxk5jrjnbbq6edbavp2p5, btyconkxo00p1gkf87mn70lpl, 6f9jrka1qz3j5mfx4x3a5ubfu, 7gt275zxk4hkh4zvdtmo3xpzp, 906itj33c7nzyzhkvxswvaxas, cyex7clv49xf8p6j8l3jw1cdl, 4lk250c1xd4xsowjrdi0uuevp, 4llft8t2rwgm3uewbwyaq5ckp, ceea6ndbo2sq5cvucg5j31oq2, 49tycizve9vcx6u78ity42r8q, aeoqbtq15nt9ks5cx50vallhw, 6cke7ckocw7epjg5gj6exuytx, brm3r6uywyf21o3cnuizwofvu, f3z4grszald48qd1fidjycidw",4151477759,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4151477755,59,"12, 44, 13, 5, 6, 2, 27, 11, 31, 20, 7, 1, 8, 14, 41, 17, 24, 37",4151477763,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151581703,197,9894,4151477761,194,qdjzxk5jrjnbbq6edbavp2p5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526348931,2,32,1,0,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-04-01T11:01:19.363Z,2023-04-03T11:21:26Z,4151586381,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526348927,2,32,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2023-04-01T11:01:19.363Z,2023-04-01T11:01:19Z,4151586371,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526348945,3,1,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,50.1,49.9,2023-04-01T11:01:19.463Z,2023-04-01T11:54:56Z,4151586451,279,S,4151586443,140,41.3,4151586447,212,9.2,4151586449,213,3.1,4151586441,56,Back,4151586445,141,49.9,,,,,,,cyex7clv49xf8p6j8l3jw1cdl,J. Romero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526348959,4,1,1,0,2,7jv344gvcvgqg7oeuc9u554dm,0,43.6,48.7,2023-04-01T11:01:21.992Z,2023-04-01T11:01:24Z,4151586505,141,5.0,4151586499,155,,4151586503,140,81.3,4151586507,212,49.5,4151586509,213,5.6,4151586501,56,Right,4151586511,1,,,,,7gt275zxk4hkh4zvdtmo3xpzp,K. Baccus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526348995,3,1,1,0,5,cuj4qahgk4idsme4dg8clk6gw,1,23.5,78.2,2023-04-01T11:01:25.022Z,2023-04-01T11:01:30Z,4151586691,140,37.1,4151586697,213,6.0,4151586693,141,73.0,4151586687,3,,4151586695,212,14.7,4151586689,56,Back,,,,,,,8gzsegmgy3fjcluzdci515j2t,J. Clisby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526349045,5,49,1,0,7,cuj4qahgk4idsme4dg8clk6gw,1,42.1,64.5,2023-04-01T11:01:26.990Z,2023-04-03T11:27:30Z,,,,,,,,,,,,,,,,,,,,,,,,,2tveu4wl8zdno0v950r0r34k5,A. Taggart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526348997,4,61,1,0,8,cuj4qahgk4idsme4dg8clk6gw,0,42.1,64.5,2023-04-01T11:01:28.318Z,2023-04-03T11:27:32Z,4151586705,56,Back,,,,,,,,,,,,,,,,,,,,,,2tveu4wl8zdno0v950r0r34k5,A. Taggart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526348999,5,1,1,0,10,7jv344gvcvgqg7oeuc9u554dm,1,70.4,17.9,2023-04-01T11:01:29.496Z,2023-04-01T11:01:31Z,4151586719,141,17.6,4151586721,212,5.4,4151586723,213,3.2,4151586717,140,65.3,4151586715,56,Right,,,,,,,,,,4lk250c1xd4xsowjrdi0uuevp,D. De Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
