id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/19/value,qualifier/20/value
2540622859,1,34,16,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-04-29T12:34:18.206Z,2023-04-29T13:33:06Z,4234439493,194,3kti58d195gmtzwrjh5nprx05,4234439495,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234439483,30,"62gct49oglcdzxafhrfucrb2t, bibz1qxakmbflq73marmo4nop, e9u7cmvaem5p7x9px3yq9f179, 3uqn1adw8rarez1gpen9vng7p, 4xhnmoqgxoheel005ek6ckfs9, 5l8wtw156meo2vrtrgasif6jt, d1gc59ozyrrnl82rog6fbm0dm, a4p1m3cqm6z2p1bw97s6k46ad, bmrdtenqr84jt4gmw6i7wez11, 9fd19beamnr8qmhqdvzr7fcyy, 3kti58d195gmtzwrjh5nprx05, 5bzowvtg5vhntcx1w3roriehh, 5eym30brgmujovaeyb6dhhgfe, 9ic8hvnkzj9p0ikh6bwaeoqju, 49epln99aa2797cs2zq3al1t6, 7gzdg0j9usc3yq0dd1ad57sgl, 254i1zsifi2er9rvuxgi9katx, 3havaatbnk8p6gc9srgajc25l, 80nniieqtuwjhomwjcebnxyzu, 1en0bgq0u842snszevlkscxk9",4234439489,130,10,4234439485,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4234439491,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234682145,197,16195,4234439487,59,"33, 4, 24, 2, 23, 5, 8, 16, 9, 14, 3, 1, 7, 10, 11, 15, 17, 22, 25, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540623547,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-04-29T12:35:16.861Z,2023-04-29T13:33:36Z,4234442963,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234683079,197,12803,4234442951,30,"3z6ekzop4y7cjuatzz9ua74k5, ao00a4lfe5vs9enjgkuu7vglx, 22zaq3o78o5feeogqdsvig02y, 514es9hzl2skv9dl5cofgkogl, 70tsvrcmklvp4ecdhxlugf8ix, 8k5c8po5gx3vnxx36viq08xqt, d0qyia80j5079xq5olbttqfl6, 5i8dbjuewybsfgyym63clfw0l, 7tj7eobo7kmk8egcbfrabe8d1, 7kjhx78gpi6m3r4j1b4jdyh91, 9bdxi3mvkftmqts59jptqq76d, ckjid5lfgbx8tdyoi32vbwn9x, 1mkbxdrj3myvt6jm4tx8sywgl, l8bphgwl3llcckvf9zr6ptqt, cgzcn8oo03wda4e5o0jxgy4tl, 87kc5hjp3ry2z624wty5h7g4q, dwx1vmtmeiiokfqv18g7cb1lh, 43eq31reskwn9veb3vickralm, 8dq80nkl6nbdejj2ti0mb2w6i, c3xzgcjooby28l0ntz5uy5rtg",4234442961,194,9bdxi3mvkftmqts59jptqq76d,4234442957,130,8,4234442959,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234442953,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4234442955,59,"1, 18, 20, 32, 3, 30, 19, 8, 14, 23, 13, 5, 6, 7, 11, 22, 24, 29, 41, 48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540671187,2,32,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-04-29T13:31:47.301Z,2023-04-30T04:03:05Z,4234690005,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540671213,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-04-29T13:31:47.301Z,2023-04-29T13:31:53Z,4234690095,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540671257,3,1,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,50.1,49.7,2023-04-29T13:31:47.316Z,2023-04-30T04:16:53Z,4238575109,178,,4234690311,212,12.2,4234690307,140,38.5,4234690315,279,S,4234690309,141,51.3,4234690305,56,Back,4234690313,213,3.1,,,,7kjhx78gpi6m3r4j1b4jdyh91,J. Hofmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540671313,4,1,1,0,1,go76xxm0xyfgqt1h6tcrtimm,1,37,52,2023-04-29T13:31:48.934Z,2023-04-30T04:16:59Z,4238575299,178,,4234690567,213,1.7,4234690563,212,6.7,4234690559,140,35.9,4234690561,141,61.7,4234690557,56,Back,,,,,,,5i8dbjuewybsfgyym63clfw0l,J. Weigl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540671323,5,1,1,0,3,go76xxm0xyfgqt1h6tcrtimm,1,37.5,66.4,2023-04-29T13:31:50.742Z,2023-04-30T04:17:18Z,4234690603,212,9.0,4234690599,140,36.9,4234690605,213,4.6,4234690597,56,Back,4234690601,141,53.2,4238575767,178,,,,,,,,514es9hzl2skv9dl5cofgkogl,F. Neuhaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540671369,6,1,1,0,5,go76xxm0xyfgqt1h6tcrtimm,1,32.3,49.9,2023-04-29T13:31:53.059Z,2023-04-30T04:17:23Z,4234690823,212,21.2,4234690825,213,5.2,4234690815,140,41.2,4234690819,141,21.9,4234690811,56,Back,4238575879,178,,,,,,,,5i8dbjuewybsfgyym63clfw0l,J. Weigl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540671401,7,1,1,0,7,go76xxm0xyfgqt1h6tcrtimm,1,41.2,21.9,2023-04-29T13:31:55.208Z,2023-04-30T04:17:29Z,4238576017,178,,4234690973,140,44.6,4234690979,212,8.2,4234690975,141,32.8,4234690971,56,Back,4234690981,213,1.1,,,,,,,ao00a4lfe5vs9enjgkuu7vglx,S. Lainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540671435,8,1,1,0,8,go76xxm0xyfgqt1h6tcrtimm,1,44.6,32.8,2023-04-29T13:31:56.084Z,2023-04-30T04:17:35Z,4238576161,178,,4234691145,213,3.3,4234691135,56,Back,4234691141,212,22.5,4234691139,141,26.1,4234691137,140,23.6,,,,,,,7kjhx78gpi6m3r4j1b4jdyh91,J. Hofmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
