id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,assist,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/15/value,qualifier/16/value,qualifier/18/value
2484538995,1,34,16,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2022-11-12T13:46:11.424Z,2022-11-12T14:29:08Z,3910141089,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910141085,130,2,3910141087,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3910301251,197,7074,3910141083,59,"21, 39, 22, 24, 4, 32, 17, 8, 18, 19, 10, 7, 9, 13, 16, 23, 25, 38, 44",3910141081,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3910141079,30,"axcrcuv22693vn0a887samsph, 3isbv9egu9vzxnna4ix8gcudx, 2uz1cmslnjjzsgfcgji26kqg9, 1s1v1tweyx8wxc9hj2jrnaggl, eapihgte8ydc4g6hzygsx2e39, 9prtaifv6stlujgywgq4wd08a, avh60ensgiwz1qalvn1bbqkfd, 7o3fumeufgigw092b7i5n4f6x, 1j0a3ml1zglc9s31yentfckb9, dhhmffih4gl51nlu92hfctqs5, ckox9w95duwhmt72xxk7lt2vp, 4gq1u1mqg0qzekh1u5djleeax, 8l0am8k4pg2s9g9qbkhwte6dx, cfc7fqq748bz3nklfam2a2fp, 3igg6gfmomgh1t5ohwzbpb5cl, 4qkv71pjmzw66crfaktr6tihh, c0rzlb9gffcwfrcpzd40ob7fu, 8zmj7mo9zxsoo5trhmmgmgb56, axj39lx25teh62rih6uv9qor9",3910301249,194,eapihgte8ydc4g6hzygsx2e39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484539925,1,34,16,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2022-11-12T13:47:49.787Z,2022-11-12T14:30:14Z,3910145807,59,"1, 8, 3, 4, 5, 32, 10, 36, 11, 7, 20, 6, 9, 21, 22, 23, 24, 26, 30, 39",3910145811,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910145813,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910145805,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3910145809,130,19,3910306427,194,aaoycxwi9jny6flm4apz8a2uh,3910306429,197,16262,3910145803,30,"expxslws50h0iw0logr02gs7p, 7k7whr0pdbw5wtk7g0cwozw0l, 8nug6t1cmn9pwhnwdf6nyhrrp, 2p48525x4ap9m81g6ode51cyd, 1psr9ra8k9j4r94p1xixagzbp, aaoycxwi9jny6flm4apz8a2uh, 26nfmfc8p2doisd9p8vtd33dh, ec5ng4j3rcjwsjz1v05e1z3dh, cjq9g6zgcxk1ceo2xzpe1qnyt, 5ndmhtdu5jfgvzuddd7fu2fh1, b4q9q0qgmtz959rygieg9ln1l, 14fw7p4fzaxprndgxnx0gxgbt, 8kar47kxxc8f20vc9ul2ez3yt, 630sqbiu7utmkg8yw0h4ky8a2, d95i3fwjrk3ti4co645mde76x, 56e76dk2fd95o2n7e98tpjg0l, 9tz07waj55ig7rrlpboei8n3d, eayipmdtzbmjgjouq10nqhcrt, 7llxni56g8q0yt33vhp1pt3o5, 3h6q9lkwovcu4pynltgnzhy50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484572139,2,32,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2022-11-12T14:32:18.463Z,2022-11-12T14:32:18Z,3910317441,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484572161,2,32,1,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2022-11-12T14:32:18.463Z,2022-11-12T23:52:24Z,3910317569,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484572237,3,1,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,50.6,50.3,2022-11-12T14:32:18.543Z,2022-11-13T00:08:44Z,3912813975,178,,3910317941,140,37.5,3910317943,141,37.8,3910317947,213,3.7,3910317939,56,Back,3910317945,212,16.2,3910317949,279,S,,,,1j0a3ml1zglc9s31yentfckb9,C. Nkunku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484572251,4,1,1,0,1,9gefq4dz9b2hl8rqrxwrlrzmp,1,37.5,37.6,2022-11-12T14:32:20.353Z,2022-11-13T00:08:48Z,3912814021,178,,3910317997,141,9.4,3910317995,140,35.8,3910318005,213,4.6,3910318001,212,19.3,3910317993,56,Back,,,,,,,7o3fumeufgigw092b7i5n4f6x,A. Haidara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484572303,5,1,1,0,4,9gefq4dz9b2hl8rqrxwrlrzmp,1,35.5,9.2,2022-11-12T14:32:23.064Z,2022-11-13T00:08:53Z,3910318225,56,Back,3912814081,178,,3910318227,140,27.4,3910318229,141,29.1,3910318231,212,16.0,3910318233,213,2.1,,,,,,,3isbv9egu9vzxnna4ix8gcudx,B. Henrichs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484572371,6,1,1,0,6,9gefq4dz9b2hl8rqrxwrlrzmp,1,27.2,29.1,2022-11-12T14:32:25.272Z,2022-11-13T00:08:57Z,3910318579,212,20.5,3910318575,140,27.1,3910318577,141,59.3,3910318581,213,1.6,3910318573,56,Back,3912814145,178,,,,,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484572423,7,1,1,0,9,9gefq4dz9b2hl8rqrxwrlrzmp,1,28.2,48.9,2022-11-12T14:32:27.756Z,2022-11-13T00:08:59Z,3910318831,141,9.6,3910318833,212,27.8,3910318829,140,35.5,3912814205,178,,3910318835,213,5.0,3910318827,56,Back,,,,,,,9prtaifv6stlujgywgq4wd08a,J. Gvardiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484572515,8,1,1,0,12,9gefq4dz9b2hl8rqrxwrlrzmp,1,35.7,9.4,2022-11-12T14:32:30.833Z,2022-11-13T00:09:02Z,3910319329,56,Right,3912814229,178,,3910319339,1,,3910319337,213,6.2,3910319335,212,35.9,3910319331,140,69.8,3910319333,141,6.6,,,,3isbv9egu9vzxnna4ix8gcudx,B. Henrichs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484572521,9,50,1,0,14,9gefq4dz9b2hl8rqrxwrlrzmp,1,67.8,10.4,2022-11-12T14:32:33.024Z,2022-11-13T00:09:23Z,3910323145,286,,3910325167,233,19,3910319367,56,Right,,,,,,,,,,,,,,,,dhhmffih4gl51nlu92hfctqs5,André Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484573755,19,7,1,0,14,cu0eztmjcsbydyp53aleznorw,1,32.2,89.6,2022-11-12T14:32:33.184Z,2022-11-13T00:09:30Z,3910325129,233,9,3912688011,384,,3910325089,285,,3912814537,178,,3910325085,56,Back,,,,,,,,,,aaoycxwi9jny6flm4apz8a2uh,M. Friedl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484572589,3,49,1,0,16,cu0eztmjcsbydyp53aleznorw,1,31,87.1,2022-11-12T14:32:34.714Z,2022-11-13T00:09:36Z,,,,,,,,,,,,,,,,,,,,,,,,,8nug6t1cmn9pwhnwdf6nyhrrp,A. Jung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484572647,4,1,1,0,16,cu0eztmjcsbydyp53aleznorw,1,31,87.1,2022-11-12T14:32:34.783Z,2022-11-13T00:09:41Z,3912814647,178,,3910319917,140,32.5,3910319915,56,Back,3910319921,212,9.0,3910319923,213,4.9,3910319919,141,74.1,,,,,,,8nug6t1cmn9pwhnwdf6nyhrrp,A. Jung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484572705,5,1,1,0,16,cu0eztmjcsbydyp53aleznorw,1,32.6,74.1,2022-11-12T14:32:35.444Z,2022-11-13T00:09:50Z,3910320171,140,23.6,3910320173,141,85.9,3910320169,56,Back,3910320175,212,12.4,3910320177,213,2.4,3912814811,178,,,,,,,,ec5ng4j3rcjwsjz1v05e1z3dh,C. Groß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484572751,6,1,1,0,18,cu0eztmjcsbydyp53aleznorw,1,23.6,85.9,2022-11-12T14:32:37.005Z,2022-11-13T00:09:54Z,3910320393,213,4.3,3910320391,212,30.8,3912814885,178,,3910320385,56,Back,3910320387,140,11.6,3910320389,141,44.6,,,,,,,aaoycxwi9jny6flm4apz8a2uh,M. Friedl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484572793,7,1,1,0,22,cu0eztmjcsbydyp53aleznorw,1,11.2,41.8,2022-11-12T14:32:41.424Z,2022-11-13T00:09:57Z,3910320605,213,5.4,3912814933,178,,3910320599,140,28.9,3910320597,56,Back,3910320603,212,30.5,3910320601,141,6.2,,,,,,,expxslws50h0iw0logr02gs7p,J. Pavlenka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484572825,8,1,1,0,24,cu0eztmjcsbydyp53aleznorw,1,28.9,6.2,2022-11-12T14:32:43.324Z,2022-11-13T00:10:06Z,3910320781,213,2.9,3912815069,178,,3910320777,141,12.3,3910320775,140,14.4,3910320779,212,15.8,3910320773,56,Back,,,,,,,7k7whr0pdbw5wtk7g0cwozw0l,M. Weiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484572883,9,1,1,0,27,cu0eztmjcsbydyp53aleznorw,1,14.4,12.3,2022-11-12T14:32:45.543Z,2022-11-13T00:10:10Z,3910320973,213,2.0,3910320971,212,24.1,3912815133,178,,3910320969,141,44.0,3910320965,56,Back,3910320967,140,4.1,,,,,,,1psr9ra8k9j4r94p1xixagzbp,A. Pieper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484572991,10,1,1,0,30,cu0eztmjcsbydyp53aleznorw,1,3.5,41.2,2022-11-12T14:32:48.904Z,2022-11-13T00:10:14Z,3910321485,155,,3910321487,56,Back,3910321497,213,5.8,3910321489,140,36.7,3910321501,1,,3910321493,212,39.9,3912815203,178,,3910321491,141,12.8,expxslws50h0iw0logr02gs7p,J. Pavlenka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484573001,11,61,1,0,33,cu0eztmjcsbydyp53aleznorw,1,36.7,12.8,2022-11-12T14:32:52.105Z,2022-11-13T00:10:34Z,3910321535,56,Back,3912815441,178,,,,,,,,,,,,,,,,,,,,7k7whr0pdbw5wtk7g0cwozw0l,M. Weiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484573107,12,1,1,0,35,cu0eztmjcsbydyp53aleznorw,0,32.5,23.3,2022-11-12T14:32:53.574Z,2022-11-13T00:10:54Z,3910322015,141,4.6,3910322017,212,16.9,3910322019,213,5.4,3912815641,178,,3910322009,155,,3910322013,140,43.1,3910322011,56,Back,,,,ec5ng4j3rcjwsjz1v05e1z3dh,C. Groß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484573083,10,8,1,0,36,9gefq4dz9b2hl8rqrxwrlrzmp,1,56.1,94.2,2022-11-12T14:32:55.404Z,2022-11-13T00:11:00Z,3910321869,56,Left,3912815705,388,,3912688489,385,,3910321889,15,,,,,,,,,,,,,,1s1v1tweyx8wxc9hj2jrnaggl,X. Schlager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
