id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value
2462027523,1,34,16,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-09-18T14:44:10.005Z,2022-09-18T15:39:11Z,3790976119,197,8147,3790976121,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790976115,130,8,3790976117,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790976113,59,"1, 2, 3, 6, 14, 20, 9, 8, 33, 7, 17, 4, 10, 18, 21, 22, 23, 24, 35, 38",3790976109,30,"clmq1s26z0i3lqr1jqnd5wzit, 2earc7j2kp3tveehpnxtv1exh, 6sc9zsev9an853nop6pn6mxg5, 4y167h8sn9cnyrvb097lf8lbd, f577akgydk4t6ui45iyab2a22, 8gnpf9kwx2n2rqwf1gixc4bth, 9xftmtdsxbuu2itzhi3v1xbdh, 82r0liyptyapc8rfuo32qcqtx, d2pco79bmi3f9x3zahtf9q2mt, f2o5hj0e2k3kw0fj1xzom0cet, 3nins3wtqjz9vt8q06s087vth, 8ksi5s9he1uxai3lfcq46grf9, 98e7uohj6lcvf59sfssff2y8l, 4oic5vu1qv89061hflasl3r3d, de3mpa534obonqn4h2v10f6xh, ejww8hjcn4y4hlik863vaw3qh, 719bo3u7wz5doaadx7k45trdh, b7fqivvacy7mmarlp180k276d, ep1bhk6t6sudlhjjz20j199ed, brs96wp9u2t10tsqfdwcyhnth",3790976111,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3791206193,194,82r0liyptyapc8rfuo32qcqtx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462034915,1,34,16,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2022-09-18T14:50:32.044Z,2022-09-18T15:40:06Z,3791016865,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3791016869,130,8,3791016871,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3791016867,59,"20, 2, 14, 28, 5, 4, 29, 7, 21, 18, 11, 1, 3, 6, 8, 17, 23, 25, 33, 37",3791211109,197,11882,3791016863,30,"4zfgh6wq7svx418tzwf0gfavp, 38knnji3m4qg6pqohph35n74l, 21vfv10e7fh6b2xtcu55ihn11, ojqb7kv87o0cidbckgtg1rdh, 8w5vjfl9ntyyxzyn2lo8k4dpm, 3tdsezcgdlm4laybvh4u49cr9, 7rltyxkrvvfg7q1hppl631soa, bkonv3y0vn24mpn6j8abjtux, 8n4b6j21nxf1nf628ugg3xsdl, g64b8x11ndowv2zj29r9i311, 55z0yap5tml66nes2cchg7ahh, 224uan6ugjt7b2c1zsxrs2pcl, f239q43hdwrm7u7mu5jqyk91x, 3saz8njlttx2i4ospcwmmaqga, 89s9fm31pcfq7l28kc2kad4kq, 6dzx3oyd42ql69tqxqvg8mpxx, 8mmecefcbz8wu4jcqqywps5p1, pjbuqt8wiwm2ql2tfvvcn59m, es3b9j6925m7m9x7cr72mn0mh, cnf7quyillyf560nh14taliw9",3791016873,194,21vfv10e7fh6b2xtcu55ihn11,3791016875,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462063033,2,32,1,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2022-09-18T15:31:23.830Z,2022-09-18T15:31:31Z,3791167599,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462062939,2,32,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-09-18T15:31:23.830Z,2022-09-19T02:31:33Z,3791167065,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462063029,3,1,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,50.1,49.7,2022-09-18T15:31:23.890Z,2022-09-19T06:12:55Z,3791167573,141,49.0,3791167577,213,3.2,3791167575,212,18.5,3791167579,279,S,3791167569,56,Back,3791167571,140,32.5,3793281049,178,,,,,f2o5hj0e2k3kw0fj1xzom0cet,K. Stöger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462063055,4,1,1,0,2,eq1oq6y61xnzq88zu0cnw131z,1,33.5,41.7,2022-09-18T15:31:26.407Z,2022-09-19T06:13:01Z,3791167723,56,Back,3791167727,141,6.9,3791167729,212,23.8,3791167725,140,35.8,3793281057,178,,3791167731,213,4.8,,,,,,,f577akgydk4t6ui45iyab2a22,T. Oermann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462063097,5,1,1,0,4,eq1oq6y61xnzq88zu0cnw131z,1,34.9,15.1,2022-09-18T15:31:28.798Z,2022-09-19T06:13:04Z,3793281311,178,,3791167957,213,2.5,3791167949,56,Back,3791167953,141,33.5,3791167955,212,20.0,3791167951,140,20.1,,,,,,,2earc7j2kp3tveehpnxtv1exh,C. Gamboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462063163,6,1,1,0,7,eq1oq6y61xnzq88zu0cnw131z,1,18.8,33.8,2022-09-18T15:31:31.423Z,2022-09-19T06:13:09Z,3791168351,56,Back,3791168353,140,3.6,3791168357,212,27.9,3793281377,178,,3791168359,213,2.2,3791168355,141,67.4,,,,,,,f577akgydk4t6ui45iyab2a22,T. Oermann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462063195,7,1,1,0,11,eq1oq6y61xnzq88zu0cnw131z,0,5.4,69.8,2022-09-18T15:31:34.973Z,2022-09-19T06:13:16Z,3791168531,213,5.9,3791168525,141,43.1,3791168529,212,45.9,3791168523,140,45.6,3791168533,1,,3793281467,178,,3791168519,155,,3791168521,56,Back,clmq1s26z0i3lqr1jqnd5wzit,M. Riemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462063275,3,1,1,0,13,8q1ul09cygzswb7tb456bmifv,1,54.8,56.6,2022-09-18T15:31:37.518Z,2022-09-19T06:13:23Z,3791169017,212,10.1,3791169013,141,44.8,3793281567,21,,3791169019,213,5.4,3793281565,388,,3791169005,56,Center,3791169009,140,60.7,,,,21vfv10e7fh6b2xtcu55ihn11,J. Hector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462063287,4,49,1,0,15,8q1ul09cygzswb7tb456bmifv,1,56.6,52.1,2022-09-18T15:31:38.852Z,2022-09-19T06:13:28Z,,,,,,,,,,,,,,,,,,,,,,,,,g64b8x11ndowv2zj29r9i311,O. Duda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462063303,5,1,1,0,16,8q1ul09cygzswb7tb456bmifv,1,56.6,52.1,2022-09-18T15:31:39.935Z,2022-09-19T06:13:33Z,3793281737,178,,3791169167,56,Back,3791169171,141,68.9,3791169169,140,38.0,3791169175,213,2.6,3791169173,212,22.6,,,,,,,g64b8x11ndowv2zj29r9i311,O. Duda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
