id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value
2503693435,1,34,16,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-02-04T13:45:07.734Z,2023-02-04T14:07:51Z,4011073829,194,21vfv10e7fh6b2xtcu55ihn11,4011073817,59,"20, 2, 14, 28, 4, 24, 7, 6, 21, 37, 11, 1, 5, 8, 17, 23, 25, 27, 29, 47",4011073813,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4011073811,30,"4zfgh6wq7svx418tzwf0gfavp, 38knnji3m4qg6pqohph35n74l, 21vfv10e7fh6b2xtcu55ihn11, ojqb7kv87o0cidbckgtg1rdh, 3tdsezcgdlm4laybvh4u49cr9, mgwgcv336wb93xvv0pfr6dih, bkonv3y0vn24mpn6j8abjtux, 3saz8njlttx2i4ospcwmmaqga, 8n4b6j21nxf1nf628ugg3xsdl, cnf7quyillyf560nh14taliw9, 55z0yap5tml66nes2cchg7ahh, 224uan6ugjt7b2c1zsxrs2pcl, 8w5vjfl9ntyyxzyn2lo8k4dpm, 89s9fm31pcfq7l28kc2kad4kq, 6dzx3oyd42ql69tqxqvg8mpxx, 8mmecefcbz8wu4jcqqywps5p1, pjbuqt8wiwm2ql2tfvvcn59m, 6yc09eth94qsachf595dyx6fp, 7rltyxkrvvfg7q1hppl631soa, 2hb1dyg1auzdfbi3lg9ysap9m",4011073833,197,16228,4011073835,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011073821,130,15,4011073825,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503693705,1,34,16,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2023-02-04T13:45:22.848Z,2023-02-04T14:43:38Z,4011075377,197,16394,4011075363,130,17,4011075355,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4011075353,30,"axcrcuv22693vn0a887samsph, 3isbv9egu9vzxnna4ix8gcudx, 2uz1cmslnjjzsgfcgji26kqg9, 9prtaifv6stlujgywgq4wd08a, eapihgte8ydc4g6hzygsx2e39, 3igg6gfmomgh1t5ohwzbpb5cl, 1qthvf5krys0pzk24h8wtr9at, 1s1v1tweyx8wxc9hj2jrnaggl, dhhmffih4gl51nlu92hfctqs5, avh60ensgiwz1qalvn1bbqkfd, 2pjr6yz65f4uqvwniy4vphn85, 95gjm3yk75rmwyneb350zoktm, 7o3fumeufgigw092b7i5n4f6x, 8l0am8k4pg2s9g9qbkhwte6dx, ckox9w95duwhmt72xxk7lt2vp, cfc7fqq748bz3nklfam2a2fp, 4qkv71pjmzw66crfaktr6tihh, c0rzlb9gffcwfrcpzd40ob7fu, axj39lx25teh62rih6uv9qor9",4011075359,59,"21, 39, 22, 32, 4, 16, 27, 24, 19, 17, 11, 2, 8, 9, 10, 13, 23, 25, 44",4011075381,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011075371,194,eapihgte8ydc4g6hzygsx2e39,4011075367,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742413,2,32,1,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-02-04T14:31:50.307Z,2023-02-05T05:56:36Z,4011325927,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742397,2,32,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2023-02-04T14:31:50.307Z,2023-02-04T14:31:55Z,4011325829,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742457,3,1,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,50.2,50.1,2023-02-04T14:31:50.347Z,2023-02-05T06:31:18Z,4014097801,178,,4011326103,56,Back,4011326105,140,40.9,4011326109,212,11.7,4011326111,213,2.6,4011326113,279,S,4011326107,141,59.7,,,,dhhmffih4gl51nlu92hfctqs5,André Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742463,4,1,1,0,1,9gefq4dz9b2hl8rqrxwrlrzmp,1,40.9,59.7,2023-02-04T14:31:51.800Z,2023-02-05T06:31:24Z,4014097901,178,,4011326139,213,3.7,4011326137,212,14.7,4011326133,140,29.0,4011326131,56,Back,4011326135,141,48.2,,,,,,,1s1v1tweyx8wxc9hj2jrnaggl,X. Schlager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742489,5,1,1,0,3,9gefq4dz9b2hl8rqrxwrlrzmp,1,29.1,50.5,2023-02-04T14:31:54.125Z,2023-02-05T06:31:28Z,4011326225,56,Back,4011782843,155,,4011326235,212,29.3,4011326231,141,93.1,4014097957,178,,4011326237,213,1.4,4011326227,140,33.2,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742551,6,1,1,0,7,9gefq4dz9b2hl8rqrxwrlrzmp,1,33.1,93.2,2023-02-04T14:31:57.333Z,2023-02-05T06:31:34Z,4011326539,141,88.2,4011326529,56,Back,4011326543,212,8.5,4011326547,213,3.6,4014098069,178,,4011326535,140,25.7,,,,,,,2uz1cmslnjjzsgfcgji26kqg9,D. Raum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742591,7,1,1,0,9,9gefq4dz9b2hl8rqrxwrlrzmp,1,17.1,84.7,2023-02-04T14:32:00.145Z,2023-02-05T06:31:40Z,4011326715,212,18.9,4011326709,140,7.3,4011326707,56,Back,4011326711,141,61.4,4014098191,178,,4011326719,213,4.1,,,,,,,9prtaifv6stlujgywgq4wd08a,J. Gvardiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742643,8,1,1,0,13,9gefq4dz9b2hl8rqrxwrlrzmp,1,7.1,56.3,2023-02-04T14:32:03.310Z,2023-02-05T06:31:42Z,4011326973,213,5.0,4014098257,178,,4011326969,212,20.8,4011326965,141,26.8,4011326957,56,Back,4011326961,140,12.4,,,,,,,axcrcuv22693vn0a887samsph,J. Blaswich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742681,9,1,1,0,15,9gefq4dz9b2hl8rqrxwrlrzmp,1,12.4,23.3,2023-02-04T14:32:05.511Z,2023-02-05T06:31:46Z,4014098317,178,,4011327139,212,12.1,4011327143,213,5.3,4011327135,141,8.9,4011327133,140,19.2,4011327131,56,Back,,,,,,,3igg6gfmomgh1t5ohwzbpb5cl,L. Klostermann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742725,10,1,1,0,17,9gefq4dz9b2hl8rqrxwrlrzmp,1,18.9,8.8,2023-02-04T14:32:07.353Z,2023-02-05T06:31:50Z,4011327357,213,6.0,4011327349,56,Back,4011327351,140,32.6,4011327353,141,3.7,4014098363,178,,4011327355,212,14.8,,,,,,,3isbv9egu9vzxnna4ix8gcudx,B. Henrichs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742811,11,50,1,0,18,9gefq4dz9b2hl8rqrxwrlrzmp,1,25.6,5.7,2023-02-04T14:32:08.868Z,2023-02-05T06:31:54Z,4011327919,233,3,4011327669,56,Back,4011327671,285,,,,,,,,,,,,,,,,,avh60ensgiwz1qalvn1bbqkfd,D. Szoboszlai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742843,3,7,1,0,19,8q1ul09cygzswb7tb456bmifv,1,74.4,94.3,2023-02-04T14:32:09.802Z,2023-02-05T06:31:59Z,4013334723,384,,4011327827,56,Left,4011327875,233,11,4011327829,286,,4014098515,178,,,,,,,,,,,mgwgcv336wb93xvv0pfr6dih,J. Chabot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503846949,455,61,1,0,20,8q1ul09cygzswb7tb456bmifv,0,79.3,96.9,2023-02-04T14:32:10.897Z,2023-02-05T06:32:05Z,4014098573,178,,4011864369,56,Left,,,,,,,,,,,,,,,,,,,55z0yap5tml66nes2cchg7ahh,F. Kainz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742847,4,43,1,0,22,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-02-04T14:32:13.055Z,2023-02-04T14:32:26Z,4011327859,56,Left,4011329583,144,61,,,,,,,,,,,,,,,,,,,55z0yap5tml66nes2cchg7ahh,F. Kainz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742865,5,5,1,0,23,8q1ul09cygzswb7tb456bmifv,0,88,101.4,2023-02-04T14:32:13.619Z,2023-02-05T06:32:15Z,4011328841,233,12,4011327989,56,Left,4011327991,347,,,,,,,,,,,,,,,,,55z0yap5tml66nes2cchg7ahh,F. Kainz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743013,12,5,1,0,23,9gefq4dz9b2hl8rqrxwrlrzmp,1,12,-1.4,2023-02-04T14:32:13.619Z,2023-02-05T06:32:14Z,4011328787,233,5,4011328719,56,Back,4011328723,347,,,,,,,,,,,,,,,,,avh60ensgiwz1qalvn1bbqkfd,D. Szoboszlai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743157,13,1,1,0,33,9gefq4dz9b2hl8rqrxwrlrzmp,1,9.5,0,2023-02-04T14:32:23.704Z,2023-02-05T06:32:18Z,4011329405,56,Back,4011329403,107,,4011329411,212,7.3,4011329407,140,15.4,4011329413,213,0.6,4011329409,141,4.2,,,,,,,3isbv9egu9vzxnna4ix8gcudx,B. Henrichs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743213,14,1,1,0,34,9gefq4dz9b2hl8rqrxwrlrzmp,1,15.1,6.2,2023-02-04T14:32:24.897Z,2023-02-05T06:32:31Z,4011329719,56,Back,4011329729,213,2.6,4011329727,212,7.8,4011329721,140,8.7,4011329725,141,12.0,4014098921,388,,,,,,,,avh60ensgiwz1qalvn1bbqkfd,D. Szoboszlai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743241,15,1,1,0,36,9gefq4dz9b2hl8rqrxwrlrzmp,0,13.4,14.8,2023-02-04T14:32:26.877Z,2023-02-05T06:32:36Z,4011329857,56,Back,4011329859,140,40.2,4011329867,1,,4014098985,178,,4011329865,213,6.2,4011329861,141,9.5,4011329863,212,28.4,4011329853,157,,3igg6gfmomgh1t5ohwzbpb5cl,L. Klostermann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743261,6,1,1,0,38,8q1ul09cygzswb7tb456bmifv,1,55.9,90.8,2023-02-04T14:32:28.976Z,2023-02-05T06:32:40Z,4011329989,56,Left,4011329987,3,,4011329995,212,9.1,4011329993,141,82.9,4011329991,140,62.9,4011329997,213,5.7,4014099049,388,,,,,mgwgcv336wb93xvv0pfr6dih,J. Chabot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743303,7,1,1,0,39,8q1ul09cygzswb7tb456bmifv,1,61.7,82.7,2023-02-04T14:32:29.750Z,2023-02-05T06:32:47Z,4011330221,213,0.2,4011330213,56,Left,4011330215,140,71.7,4014099171,178,,4011330219,212,10.8,4011330217,141,86.4,,,,,,,ojqb7kv87o0cidbckgtg1rdh,E. Skhiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743309,8,49,1,0,40,8q1ul09cygzswb7tb456bmifv,1,69.5,88,2023-02-04T14:32:31.153Z,2023-02-05T06:32:51Z,,,,,,,,,,,,,,,,,,,,,,,,,21vfv10e7fh6b2xtcu55ihn11,J. Hector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743381,9,1,1,0,42,8q1ul09cygzswb7tb456bmifv,1,68.8,91.3,2023-02-04T14:32:32.687Z,2023-02-05T06:32:56Z,4011330633,56,Left,4011330635,140,80.1,4011330639,212,12.1,4014099363,178,,4011330637,141,94.4,4011330641,213,0.2,,,,,,,21vfv10e7fh6b2xtcu55ihn11,J. Hector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743385,10,1,1,0,44,8q1ul09cygzswb7tb456bmifv,0,85,93.6,2023-02-04T14:32:35.295Z,2023-02-05T06:33:01Z,4011330679,141,90.2,4011330681,212,2.3,4011331035,286,,4011330671,2,,4014099483,178,,4011330677,140,85.4,4013340145,224,,4011331029,236,,55z0yap5tml66nes2cchg7ahh,F. Kainz,4011330683,213,4.9,4011330675,56,Left,4011330673,155,4011331031,233,16,4013340147,72,,,,,,,,,,,,,,,,,,
2503743449,16,12,1,0,45,9gefq4dz9b2hl8rqrxwrlrzmp,1,14.8,9.7,2023-02-04T14:32:35.323Z,2023-02-05T06:33:05Z,4011331043,233,10,4011330993,56,Back,4011330991,185,,4014099547,178,,,,,,,,,,,,,,3igg6gfmomgh1t5ohwzbpb5cl,L. Klostermann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743443,11,6,1,0,47,8q1ul09cygzswb7tb456bmifv,1,87.2,90,2023-02-04T14:32:37.365Z,2023-02-05T06:33:10Z,4011331239,233,17,4011330983,73,,4011330981,56,Left,,,,,,,,,,,,,,,,55z0yap5tml66nes2cchg7ahh,F. Kainz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743483,17,6,1,0,47,9gefq4dz9b2hl8rqrxwrlrzmp,0,12.8,10,2023-02-04T14:32:37.365Z,2023-02-05T06:33:09Z,4011331157,73,,4011331263,233,11,4011331155,56,Back,,,,,,,,,,,,,,,,3igg6gfmomgh1t5ohwzbpb5cl,L. Klostermann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503744101,12,1,1,1,18,8q1ul09cygzswb7tb456bmifv,0,99.7,99.3,2023-02-04T14:33:09.188Z,2023-02-05T06:33:21Z,4011334493,56,Center,4011334491,223,,4011334495,140,91.4,4014099785,178,,4011334487,6,,4011334501,213,4.4,4013342161,20,,4011334489,155,,55z0yap5tml66nes2cchg7ahh,F. Kainz,4011334485,2,,4011334499,212,31.7,4011334497,141,,,,,,54.5,,,,,,,,,,,,,,,,,
2503744161,18,44,1,1,20,9gefq4dz9b2hl8rqrxwrlrzmp,1,9.1,44.8,2023-02-04T14:33:10.709Z,2023-02-05T12:22:24Z,4011334757,285,,4011334763,233,13,4011334755,56,Back,,,,,,,,,,,,,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503744107,13,44,1,1,20,8q1ul09cygzswb7tb456bmifv,0,90.9,55.2,2023-02-04T14:33:10.710Z,2023-02-05T06:33:26Z,4011334527,56,Center,4011334529,286,,4011334791,233,18,,,,,,,,,,,,,,,,mgwgcv336wb93xvv0pfr6dih,J. Chabot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
