id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/16/value,assist,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2511556781,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-02-24T18:31:46.714Z,2023-02-24T20:35:14Z,4052487497,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4052487499,59,"27, 21, 19, 20, 16, 25, 8, 31, 17, 11, 7, 1, 3, 4, 5, 30, 37, 42, 44",4052487495,30,"ci1nu5z8aiiikco8af0zk1lud, amd4rodp6senk2c1mmlsqozpx, 6u47fsriz3ejlf72hxtsew5bd, 6uurhe88nry4hyelll8ifzd91, bvifdvoxv9e8nq8qe37c0gvrp, dnt7ahwfj8endqngxwfll1tjp, l469vtpe0jbgg5sq1v2e67e1, d608s0948uh3owqee7t0en7px, am0pcyvtaws1i69jt09dgnsnp, 4rgz5z372h6sbwhpxl69cb6c5, bwqqecmqm76v5b83v1cz891p1, d2gbcc336c4zatpiif4cvm2fp, eh9sh9aa10zrp80l6e4l0c7h1, 2w76r8guf9sacoriu0ivytyax, cjok1odm3twxo7sqye3hua6eh, 4baqlwfu312pctopy1cx6s2c5, 3n2imac1yp8jppsf36a4qg76y, ernbjicg113inzsubzrfm8fyt, alp8twr3g2rmfmnguffsfovtg",4052487505,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052487501,130,17,4052686471,194,ci1nu5z8aiiikco8af0zk1lud,4052487503,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4052686473,197,11885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511557231,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-02-24T18:33:09.488Z,2023-02-24T19:35:53Z,4052490255,30,"3z6ekzop4y7cjuatzz9ua74k5, ao00a4lfe5vs9enjgkuu7vglx, dqrzogrwznyks6whhfhq748ut, au5tbnn48ve4kqnuu3dhmk296, 70tsvrcmklvp4ecdhxlugf8ix, 8k5c8po5gx3vnxx36viq08xqt, 7kjhx78gpi6m3r4j1b4jdyh91, 1mkbxdrj3myvt6jm4tx8sywgl, 7tj7eobo7kmk8egcbfrabe8d1, 9bdxi3mvkftmqts59jptqq76d, cgzcn8oo03wda4e5o0jxgy4tl, ckjid5lfgbx8tdyoi32vbwn9x, l8bphgwl3llcckvf9zr6ptqt, 66nvc8a4kd3cyeyj3i474cudx, d0qyia80j5079xq5olbttqfl6, 22zaq3o78o5feeogqdsvig02y, slsd8022q9s3uugsafaqt2ol, 87kc5hjp3ry2z624wty5h7g4q, 43eq31reskwn9veb3vickralm, 514es9hzl2skv9dl5cofgkogl",4052490259,59,"1, 18, 25, 17, 3, 30, 23, 6, 14, 13, 11, 5, 7, 10, 19, 20, 21, 22, 29, 32",4052490257,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4052693599,194,9bdxi3mvkftmqts59jptqq76d,4052490265,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052490261,130,8,4052719293,197,12803,4052490263,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511595879,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-02-24T19:30:58.211Z,2023-02-24T19:30:58Z,4052695907,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511595895,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-02-24T19:30:58.211Z,2023-02-25T08:53:59Z,4052695979,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511595941,3,1,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,50,50,2023-02-24T19:30:58.228Z,2023-02-25T08:59:52Z,4053781907,178,,4052696239,56,Back,4052696249,279,S,4052696245,212,23.6,4052696241,140,27.8,4052819875,189,,4052696243,141,44.5,4052696247,213,3.3,7tj7eobo7kmk8egcbfrabe8d1,A. Pléa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511595973,4,1,1,0,3,go76xxm0xyfgqt1h6tcrtimm,1,27.5,44.5,2023-02-24T19:31:01.228Z,2023-02-25T08:59:57Z,4052696455,212,12.8,4052696451,140,31.3,4052696453,141,26.6,4052696457,213,5.0,4052696449,56,Back,4053782031,178,,,,,,,,70tsvrcmklvp4ecdhxlugf8ix,K. Itakura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511595993,5,1,1,0,5,go76xxm0xyfgqt1h6tcrtimm,0,33.8,26.6,2023-02-24T19:31:03.467Z,2023-02-25T09:00:02Z,4052696559,1,,4052696555,212,41.1,4052696557,213,0.4,4052696553,141,48.8,4052696551,140,70.2,4052696549,56,Center,4053782103,178,,4052696547,155,,ao00a4lfe5vs9enjgkuu7vglx,S. Lainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511596047,3,1,1,0,7,1c7qokc1j5z50cjj4tcu32haa,1,29.8,52.6,2023-02-24T19:31:05.625Z,2023-02-25T09:00:16Z,4052696859,213,1.6,4052696855,141,82.8,4052696851,56,Back,4052696857,212,20.5,4052696853,140,29.3,4052696849,3,,4053782321,178,,,,,bvifdvoxv9e8nq8qe37c0gvrp,S. Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511596055,4,49,1,0,8,1c7qokc1j5z50cjj4tcu32haa,1,29.3,85.5,2023-02-24T19:31:06.818Z,2023-02-25T09:00:22Z,,,,,,,,,,,,,,,,,,,,,,,,,6u47fsriz3ejlf72hxtsew5bd,A. Caci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511596081,5,1,1,0,11,1c7qokc1j5z50cjj4tcu32haa,1,28.5,94.5,2023-02-24T19:31:09.806Z,2023-02-25T09:00:25Z,4052697011,140,22.3,4052697009,56,Back,4052697013,141,81.9,4052697017,213,4.1,4052697015,212,10.8,4053782475,178,,,,,,,,6u47fsriz3ejlf72hxtsew5bd,A. Caci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
