id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/9/value
2500320591,1,34,16,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2023-01-24T18:38:53.455Z,2023-01-24T19:26:21Z,3993439119,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993511909,197,2699,3993439117,194,97nv3y9z2ajz6b4ynoo0jn3kl,3993439111,59,"27, 5, 19, 8, 2, 4, 10, 6, 13, 42, 7, 11, 14, 18, 23, 25, 26, 38, 39, 44",3993439113,130,8,3993439107,30,"bagn0ce4xunsiz3mezrtqx1p1, yq0cm7vwr0tkv7nvt9vo77bp, 582uvj0i3dvm0zwbou9q68pgp, 4w4ldzomkj7fhrc51iimz8no5, x4qyxhfr2vi007sazoqe5vit, 10zt8rbgbmyqxr1m13wm5gfs9, 4603xrdk721lqhd1ejn62x5n9, 97nv3y9z2ajz6b4ynoo0jn3kl, e5mjphb52suw89189nyca72z9, bhsdzppop8jwjsxwftizot1t6, 4ysxvym6ww4f9d3hflkqsbf11, 1u1u438ql6xrordkb65wsxo7p, 2yc1t7u26zctwjizi283g6q6s, 8cho2d1nz18i5o0zt6aysd68l, 3kx4mltrob4yta5g6kr2u8ic5, 4fq74wp7xzwm214veuxqpdz9x, br2uswvdgoj7ndkx7mnbwgyd, 5ga7g20wsa7oqjbh4ijoeknl6, cv1d56d42wujfuc4kt6bn53x0, 4skrm2y64va3y5jk70gz4ylpm",3993439115,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993439109,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500320881,1,34,16,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-01-24T18:39:59.930Z,2023-01-24T19:26:31Z,3993440559,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993440557,194,21vfv10e7fh6b2xtcu55ihn11,3993512089,197,16229,3993440547,30,"4zfgh6wq7svx418tzwf0gfavp, 38knnji3m4qg6pqohph35n74l, 21vfv10e7fh6b2xtcu55ihn11, ojqb7kv87o0cidbckgtg1rdh, 8w5vjfl9ntyyxzyn2lo8k4dpm, mgwgcv336wb93xvv0pfr6dih, cnf7quyillyf560nh14taliw9, 89s9fm31pcfq7l28kc2kad4kq, 8n4b6j21nxf1nf628ugg3xsdl, 2hb1dyg1auzdfbi3lg9ysap9m, 55z0yap5tml66nes2cchg7ahh, 224uan6ugjt7b2c1zsxrs2pcl, 3saz8njlttx2i4ospcwmmaqga, bkonv3y0vn24mpn6j8abjtux, 6dzx3oyd42ql69tqxqvg8mpxx, 8mmecefcbz8wu4jcqqywps5p1, pjbuqt8wiwm2ql2tfvvcn59m, 6yc09eth94qsachf595dyx6fp, 1zis1dq0xbudlh2iatvym2rkk, eamrfc3bnv1pm28o24t69tuui",3993440549,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3993440553,130,8,3993440551,59,"20, 2, 14, 28, 5, 24, 37, 8, 21, 47, 11, 1, 6, 7, 17, 23, 25, 27, 38, 49",3993440555,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336985,2,32,1,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-01-24T19:31:43.890Z,2023-01-24T19:31:44Z,3993520563,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336989,2,32,1,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2023-01-24T19:31:43.890Z,2023-01-25T09:51:44Z,3993520573,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337013,3,1,1,0,0,8q1ul09cygzswb7tb456bmifv,1,49.9,50.1,2023-01-24T19:31:43.922Z,2023-01-25T10:02:14Z,3993520699,279,S,3993520697,213,2.6,3994228223,178,,3993520689,56,Back,3993520693,141,65.5,3993520691,140,33.6,3993520695,212,20.1,,,,cnf7quyillyf560nh14taliw9,L. Maina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337065,4,1,1,0,2,8q1ul09cygzswb7tb456bmifv,1,33.8,67.5,2023-01-24T19:31:46.207Z,2023-01-25T10:02:18Z,3993520927,140,46.9,3994228331,178,,3993520929,141,95.1,3993520931,212,23.3,3993520933,213,0.9,3993520925,56,Back,,,,,,,ojqb7kv87o0cidbckgtg1rdh,E. Skhiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337081,5,1,1,0,9,8q1ul09cygzswb7tb456bmifv,1,34.7,90.5,2023-01-24T19:31:53.072Z,2023-01-25T10:02:26Z,3993521023,141,94.2,3993521021,140,27.0,3993521025,212,8.5,3993521019,56,Back,3994228381,178,,3993521027,213,2.8,,,,,,,21vfv10e7fh6b2xtcu55ihn11,J. Hector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337121,6,1,1,0,10,8q1ul09cygzswb7tb456bmifv,0,27.8,97.5,2023-01-24T19:31:53.990Z,2023-01-25T10:02:38Z,3993521197,1,,3994228479,178,,3993521187,212,53.7,3993521181,56,Left,3993521183,140,78.9,3993521179,157,,3993521185,141,100.0,3993521193,213,0.0,mgwgcv336wb93xvv0pfr6dih,J. Chabot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337195,4,5,1,0,16,apoawtpvac4zqlancmvw4nk4o,1,24,-1.2,2023-01-24T19:32:00.496Z,2023-01-25T10:02:49Z,3993521535,56,Back,3993521557,233,7,3993521537,347,,,,,,,,,,,,,,,,,yq0cm7vwr0tkv7nvt9vo77bp,B. Pavard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337127,7,5,1,0,16,8q1ul09cygzswb7tb456bmifv,0,76,101.2,2023-01-24T19:32:00.496Z,2023-01-25T10:02:50Z,3993521215,56,Left,3993521217,347,,3993521575,233,4,,,,,,,,,,,,,,,,mgwgcv336wb93xvv0pfr6dih,J. Chabot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
