id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/14/value,assist
2526420323,1,34,16,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2023-04-01T12:41:38.993Z,2023-04-01T13:34:44Z,4151942677,59,"21, 39, 23, 44, 4, 32, 17, 27, 11, 19, 10, 2, 7, 8, 13, 16, 22, 25, 37",4151942687,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151942681,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4151942679,130,15,4151942685,197,1458,4151942675,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4151942673,30,"axcrcuv22693vn0a887samsph, 3isbv9egu9vzxnna4ix8gcudx, 4qkv71pjmzw66crfaktr6tihh, axj39lx25teh62rih6uv9qor9, eapihgte8ydc4g6hzygsx2e39, 9prtaifv6stlujgywgq4wd08a, avh60ensgiwz1qalvn1bbqkfd, 1qthvf5krys0pzk24h8wtr9at, 2pjr6yz65f4uqvwniy4vphn85, dhhmffih4gl51nlu92hfctqs5, ckox9w95duwhmt72xxk7lt2vp, 95gjm3yk75rmwyneb350zoktm, 4gq1u1mqg0qzekh1u5djleeax, 7o3fumeufgigw092b7i5n4f6x, cfc7fqq748bz3nklfam2a2fp, 3igg6gfmomgh1t5ohwzbpb5cl, 2uz1cmslnjjzsgfcgji26kqg9, c0rzlb9gffcwfrcpzd40ob7fu, dyigvzjpa74cw4urhh7fwzs2d",4151942683,194,eapihgte8ydc4g6hzygsx2e39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526425111,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-04-01T12:46:55.053Z,2023-04-01T13:31:21Z,4152127445,197,11885,4151967015,194,4baqlwfu312pctopy1cx6s2c5,4151967013,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151967005,30,"ci1nu5z8aiiikco8af0zk1lud, 4baqlwfu312pctopy1cx6s2c5, 6u47fsriz3ejlf72hxtsew5bd, dnt7ahwfj8endqngxwfll1tjp, bvifdvoxv9e8nq8qe37c0gvrp, 6uurhe88nry4hyelll8ifzd91, l469vtpe0jbgg5sq1v2e67e1, d608s0948uh3owqee7t0en7px, am0pcyvtaws1i69jt09dgnsnp, az7owi5t4bclkamjsjuyxzv1l, 4rgz5z372h6sbwhpxl69cb6c5, d2gbcc336c4zatpiif4cvm2fp, eh9sh9aa10zrp80l6e4l0c7h1, 2w76r8guf9sacoriu0ivytyax, cjok1odm3twxo7sqye3hua6eh, bwqqecmqm76v5b83v1cz891p1, amd4rodp6senk2c1mmlsqozpx, 3n2imac1yp8jppsf36a4qg76y, ernbjicg113inzsubzrfm8fyt, alp8twr3g2rmfmnguffsfovtg",4151967009,59,"27, 30, 19, 25, 16, 20, 8, 31, 17, 6, 11, 1, 3, 4, 5, 7, 21, 37, 42, 44",4151967007,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4151967017,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151967011,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456651,2,32,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2023-04-01T13:30:54.152Z,2023-04-01T20:45:41Z,4152136233,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456621,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-04-01T13:30:54.152Z,2023-04-01T13:30:54Z,4152136087,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456709,3,1,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,49.9,49.6,2023-04-01T13:30:54.182Z,2023-04-01T21:33:21Z,4152136525,213,3.1,4152136517,140,29.2,4154988887,178,,4152136519,141,49.5,4152136521,212,21.7,4152136527,279,S,4152136515,56,Back,,,,4rgz5z372h6sbwhpxl69cb6c5,M. Ingvartsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456745,4,1,1,0,4,1c7qokc1j5z50cjj4tcu32haa,1,29,47,2023-04-01T13:30:59.013Z,2023-04-01T21:33:25Z,4152136659,212,9.1,4152136661,213,6.2,4154989053,178,,4152136657,141,46.5,4152136653,56,Back,4152136655,140,37.7,,,,,,,bvifdvoxv9e8nq8qe37c0gvrp,S. Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456825,5,1,1,0,7,1c7qokc1j5z50cjj4tcu32haa,1,37.8,46.3,2023-04-01T13:31:01.658Z,2023-04-01T21:33:34Z,4154989253,178,,4152136995,141,26.2,4152136993,140,33.9,4152136999,213,4.4,4152136991,56,Back,4152136997,212,14.3,,,,,,,d608s0948uh3owqee7t0en7px,D. Kohr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456871,6,1,1,0,10,1c7qokc1j5z50cjj4tcu32haa,0,33.7,21.1,2023-04-01T13:31:04.720Z,2023-04-01T21:33:37Z,4152137229,212,33.6,4152137233,1,,4152137221,155,,4152137227,141,29.7,4152137231,213,0.2,4152137225,140,65.2,4152137223,56,Center,4154989407,178,,6uurhe88nry4hyelll8ifzd91,E. Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456931,3,1,1,0,13,9gefq4dz9b2hl8rqrxwrlrzmp,1,29.9,73.8,2023-04-01T13:31:07.475Z,2023-04-01T21:33:41Z,4152137541,56,Back,4152137563,213,0.2,4152137555,212,8.3,4152137545,140,37.7,4152137537,3,,4152137551,141,76.0,4154989539,388,,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456947,4,1,1,0,15,9gefq4dz9b2hl8rqrxwrlrzmp,0,36.1,76.9,2023-04-01T13:31:09.287Z,2023-04-01T21:33:47Z,4152137615,213,1.1,4152137613,212,11.2,4154989809,178,,4152137609,140,41.2,4152137607,56,Back,4152137611,141,91.4,,,,,,,2pjr6yz65f4uqvwniy4vphn85,T. Werner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
