id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/12/value
2511547921,1,34,16,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2023-02-24T18:08:02.196Z,2023-02-24T19:00:27Z,4052435337,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052435333,59,"1, 13, 25, 4, 3, 6, 11, 10, 7, 9, 16, 14, 18, 20, 21, 22, 23, 24, 27, 29, 32, 42, 44",4052435335,130,10,4052435341,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052435331,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4052559721,197,1504,4052435339,194,9hz7j1p4f0d2hxyz2bdkbyk0l,4052435329,30,"etvamcwttnlg4sfxfulgzm7yt, e42jh6bbwn4aybdnysonrvutx, ewnmiv6ew1d5cnuul715x4dzp, 7isjog4r71ahzypnhq3ki9xp1, 9hz7j1p4f0d2hxyz2bdkbyk0l, 8cox96ikk1k4c24f0y5ef45x, 88csh50wwpanzfdvu7ia3x1ih, 75o7fx1uwk6pavxbnqqx28y51, bw7s1zgz97p8szhn4shwkx2w9, 5i0e7e59vav8ynqzt7qrvitt6, 9najgqcaamqj0qtiicuq9hey, amasl6wz90pv9kkbx3kihj7bp, 35uvcvkv4nd0jbsov3xosjsut, eqkwzp959s8q71lwaoygv9eui, ckx9rplhgmncmcxs0a1z7n6qd, bhn0paq89a5keakgitoyn2hw4, 47autoxmcbr5z7o6d8998esph, 8dnmp33ergo6zwzb6ubiyvl6, eimwdeabp96ttxf8zywuiu8ve, 684nd3xjli51z43pbla0mwa21, 7dw3mexdcnel375y16vfl0g2y, f4rb3nes422yxsznjzwx0kwlw, 1g092dgjsahqacxxzf5f20wh6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511551197,1,34,16,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2023-02-24T18:14:32.200Z,2023-02-24T19:02:06Z,4052452757,194,f593mnttzie8gicqlig2zvzvu,4052452749,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",4052452755,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4052452753,130,8,4052452747,30,"3e8tsv4mzm75peokuw38d8jmy, 1x6fhuy49w4rpnyavwotbf504, 47l204bkq2qqjhtazusr0019m, cx6fxszjvjam6zb3c3p0dd1jo, a7vlgirln231n3dqjhb72o0es, 3z9bdfblis9tl3e1uo7e72h62, baghnvel8qsn5k9s79jiyldnu, 9pox9siobczxr9fv3fvvx3h1w, 31v89l4k38v1wpisz7xhkq38, 9nix5y8xcj34ps62r34udtqwa, f593mnttzie8gicqlig2zvzvu, 370bp4zp3mxe27rtx3gwhcems, alfx6xxo38q6hmydbcr0rw67e, cxu054j55uj2s3p34rqfthch6, a9gc0gd5320jvh6x3ct7vuvis, 3icc5dv989p7ay2mif3fixkwk, 7d8a2cp7xza48arxctlpqrvh0",4052452759,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052452751,59,"1, 2, 5, 8, 3, 4, 7, 6, 9, 10, 11, 19, 18, 16, 17, 12, 15",4052565113,197,17085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511571739,2,32,1,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2023-02-24T19:02:22.126Z,2023-02-24T19:02:22Z,4052566283,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511571751,2,32,1,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2023-02-24T19:02:22.126Z,2023-02-24T19:02:24Z,4052566335,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511571769,3,43,1,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2023-02-24T19:02:22.226Z,2023-02-24T19:02:25Z,4052566451,141,50.1,4052566461,279,S,4052566447,56,Center,4052566453,212,0,4052566449,140,50.1,4052566507,144,1,4052566457,213,0,,,,31v89l4k38v1wpisz7xhkq38,J. Banel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511571791,3,1,1,0,0,bk5ltsueqmeng29eovd8m2tml,1,50.2,49.9,2023-02-24T19:02:22.226Z,2023-02-24T19:02:26Z,4052566573,141,64.4,4052566567,56,Back,4052566581,279,S,4052566577,212,27.2,4052566579,213,2.8,4052566571,140,26.1,,,,,,,bw7s1zgz97p8szhn4shwkx2w9,E. Kabangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511571823,4,1,1,0,4,bk5ltsueqmeng29eovd8m2tml,0,26.1,64.4,2023-02-24T19:02:26.234Z,2023-02-24T19:02:29Z,4052566737,213,5.9,4052566727,155,,4052566733,141,39.7,4052566735,212,48.0,4052566731,140,68.9,4052566739,1,,4052566729,56,Center,,,,7isjog4r71ahzypnhq3ki9xp1,E. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511571839,4,1,1,0,6,6lzy9iiqoysvtdsgx719fng9n,1,31,73.6,2023-02-24T19:02:28.182Z,2023-02-24T19:02:57Z,4052566813,141,80.5,4052566815,212,10.0,4052566809,56,Back,4052566817,213,0.5,4052566811,140,39.4,,,,,,,,,,9pox9siobczxr9fv3fvvx3h1w,S. Vos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511571999,8,49,1,0,7,6lzy9iiqoysvtdsgx719fng9n,1,40.3,87.8,2023-02-24T19:02:29.860Z,2023-02-24T19:03:56Z,,,,,,,,,,,,,,,,,,,,,,,,,f593mnttzie8gicqlig2zvzvu,A. van Axel Dongen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511571861,5,1,1,0,8,6lzy9iiqoysvtdsgx719fng9n,1,39.5,80.5,2023-02-24T19:02:30.270Z,2023-02-24T19:02:42Z,4052566919,212,8.8,4052566917,141,87.4,4052566915,140,32.4,4052566921,213,2.6,4052566913,56,Back,,,,,,,,,,f593mnttzie8gicqlig2zvzvu,A. van Axel Dongen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511571929,6,1,1,0,9,6lzy9iiqoysvtdsgx719fng9n,1,32.4,87.4,2023-02-24T19:02:31.710Z,2023-02-24T19:02:37Z,4052567241,213,2.7,4052567239,212,13.5,4052567233,56,Back,4052567235,140,20.6,4052567237,141,95.3,,,,,,,,,,9pox9siobczxr9fv3fvvx3h1w,S. Vos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511571931,7,4,1,0,14,6lzy9iiqoysvtdsgx719fng9n,1,15.6,91.4,2023-02-24T19:02:36.382Z,2023-02-24T19:02:39Z,4052567245,13,,4052567249,152,,4052567251,265,,4052567253,285,,4052567357,233,5,4052567247,56,Back,,,,,,,47l204bkq2qqjhtazusr0019m,Y. Baas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511571943,5,4,1,0,14,bk5ltsueqmeng29eovd8m2tml,0,84.4,8.6,2023-02-24T19:02:36.383Z,2023-02-24T19:02:39Z,4052567323,265,,4052567325,286,,4052567319,56,Right,4052567321,152,,4052567377,233,7,4052567317,13,,,,,,,,bw7s1zgz97p8szhn4shwkx2w9,E. Kabangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511572177,9,1,1,0,27,6lzy9iiqoysvtdsgx719fng9n,1,16.2,87.4,2023-02-24T19:02:49.694Z,2023-02-24T19:02:56Z,4052568521,155,,4052568537,1,,4052568525,152,,4052568533,212,54.6,4052568529,140,24.5,4052568531,141,8.2,4052568527,56,Back,4052568519,5,,3z9bdfblis9tl3e1uo7e72h62,D. Warmerdam,4052568535,213,4.9,4052568523,196,,,,,,,,,,,,,,,,,,,,,,,,,
2511572235,10,1,1,0,35,6lzy9iiqoysvtdsgx719fng9n,0,24.3,8.6,2023-02-24T19:02:57.464Z,2023-02-24T19:03:05Z,4052568799,213,6.1,4052568793,141,7.1,4052568785,56,Back,4052568789,140,30.0,4052568797,212,6.1,4052568971,189,,,,,,,,1x6fhuy49w4rpnyavwotbf504,T. Gooijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511572259,6,61,1,0,39,bk5ltsueqmeng29eovd8m2tml,1,73.7,87.5,2023-02-24T19:03:01.357Z,2023-02-24T19:05:27Z,4052568975,189,,4052568893,56,Left,,,,,,,,,,,,,,,,,,,bw7s1zgz97p8szhn4shwkx2w9,E. Kabangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511572299,7,5,1,0,39,bk5ltsueqmeng29eovd8m2tml,0,69.9,101.3,2023-02-24T19:03:01.565Z,2023-02-24T19:34:11Z,4052569051,56,Left,4052569053,347,,4052569147,233,11,,,,,,,,,,,,,,,,bw7s1zgz97p8szhn4shwkx2w9,E. Kabangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511572273,11,5,1,0,39,6lzy9iiqoysvtdsgx719fng9n,1,30.1,-1.3,2023-02-24T19:03:01.565Z,2023-02-24T19:03:05Z,4052568949,347,,4052568947,56,Back,4052569103,233,7,,,,,,,,,,,,,,,,1x6fhuy49w4rpnyavwotbf504,T. Gooijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511572395,12,1,1,0,47,6lzy9iiqoysvtdsgx719fng9n,0,28.5,0,2023-02-24T19:03:09.149Z,2023-02-24T19:03:12Z,4052569529,107,,4052569531,56,Right,4052569537,212,30.2,4052569535,141,13.6,4052569545,1,,4052569533,140,55.7,4052569543,213,0.3,,,,1x6fhuy49w4rpnyavwotbf504,T. Gooijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511572413,8,8,1,0,51,bk5ltsueqmeng29eovd8m2tml,1,42.5,85.5,2023-02-24T19:03:13.307Z,2023-02-24T19:50:07Z,4052569605,56,Back,,,,,,,,,,,,,,,,,,,,,,7isjog4r71ahzypnhq3ki9xp1,E. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
