id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/12/value,qualifier/8/value,qualifier/13/value,assist,qualifier/9/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/15/value
2457535905,1,34,16,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,0,0,2022-09-09T17:10:51.971Z,2022-09-09T18:17:04Z,3767136539,30,"cetavjue5femoxid9fmcd0zjd, 8fqnvz74z901a2h0kgk1zezje, dse1rndtog4qn2mwv966vp6mt, b77p0um20y057708bx6on4d4a, bspl2le99ugt2ug4tcqsvp1w5, dmrznrol8qp7yk53r6ajhnkt0, a339o11ut8s1o9odm6ybc4pka, a4dg6hmhim8bhpl5d7me85al1, asn8og4yn5gj4it0qe6vulhat, 2esbyi3i7rtsdkxe6a917rsnp, amb2qvdnwu0meepj6yu65g72t, eds7hz8z52qf06c3oug7nivv9, 3a89nlkh1p3l3qi6o70uzp5ud, 29s8wk0a2m66rebsfx1jfuuh, idvh0ac1f8wv39640pyl4esp, 5mqcwgg1cjj38k4adpnbkbvv8, 2f3j5qchxzh11u4bi2mb8dslw, 73wkaux439sdodxdjhn1152sq, e6jkldz6za7ln3jqxaw50i2qy, 7gwm8sjtl2vyfeh6mio8ve9ec, 4jshezco0cyjgre23nm98fetx, sk7z843dcqvmdf1tkoaoysr8, 6ferzqtsot04cucvdh1cjex62",3767136543,59,"1, 3, 5, 8, 2, 36, 6, 10, 14, 9, 18, 4, 7, 11, 15, 17, 22, 24, 25, 33, 40, 41, 45",3767136541,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3767136547,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3767136545,130,23,3767136551,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3767229183,197,497,3767136549,194,bspl2le99ugt2ug4tcqsvp1w5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457539405,1,34,16,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2022-09-09T17:19:50.171Z,2022-09-09T18:00:45Z,3767155115,130,8,3767155119,194,1l34qvjvar8qec3kbrg4rew2d,3767155121,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3767231469,197,12812,3767155113,59,"1, 13, 25, 8, 4, 6, 37, 32, 23, 19, 11, 3, 5, 7, 10, 14, 18, 21, 22, 36, 41",3767155111,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3767155109,30,"etvamcwttnlg4sfxfulgzm7yt, e42jh6bbwn4aybdnysonrvutx, ewnmiv6ew1d5cnuul715x4dzp, 1l34qvjvar8qec3kbrg4rew2d, 7isjog4r71ahzypnhq3ki9xp1, 8cox96ikk1k4c24f0y5ef45x, 57kp9bepwqf9u7fuu8fgvi9rd, 7dw3mexdcnel375y16vfl0g2y, 47autoxmcbr5z7o6d8998esph, b9apqidquztaojf6e3my6v7bp, 88csh50wwpanzfdvu7ia3x1ih, 9hz7j1p4f0d2hxyz2bdkbyk0l, daz1m0r5u8f0085jv25bdnoid, bw7s1zgz97p8szhn4shwkx2w9, 75o7fx1uwk6pavxbnqqx28y51, amasl6wz90pv9kkbx3kihj7bp, 35uvcvkv4nd0jbsov3xosjsut, ckx9rplhgmncmcxs0a1z7n6qd, bhn0paq89a5keakgitoyn2hw4, 39f4hnokkp81ucrkx5bo5sjdg, 9v66i03qf0gnn9iserl551wyc",3767155117,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457555987,2,32,1,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2022-09-09T18:04:08.224Z,2022-09-09T18:04:07Z,3767242511,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556003,2,32,1,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,0,0,2022-09-09T18:04:08.224Z,2022-09-09T18:04:10Z,3767242589,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556037,3,1,1,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,50.3,49.5,2022-09-09T18:04:08.324Z,2022-09-09T19:01:37Z,3767242783,56,Back,3767242787,141,51.8,3767242785,140,39.2,3767242793,213,3.0,3767242797,279,S,3767242791,212,11.8,,,,,,,b77p0um20y057708bx6on4d4a,D. Huiberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556153,4,1,1,0,2,2uuh2bir8ktof0uxfo06lb4ox,0,24.1,64.8,2022-09-09T18:04:10.764Z,2022-09-09T18:04:17Z,3767243451,56,Center,3767243459,213,6.0,3767243457,212,58.8,3767243461,1,,3767243449,157,,3767243455,141,43.0,3767243453,140,78.3,,,,dmrznrol8qp7yk53r6ajhnkt0,T. Beelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556125,3,44,1,0,7,bk5ltsueqmeng29eovd8m2tml,1,24.4,57.6,2022-09-09T18:04:15.296Z,2022-09-09T18:04:17Z,3767243305,56,Back,3767243309,285,,3767243533,233,5,,,,,,,,,,,,,,,,88csh50wwpanzfdvu7ia3x1ih,M. Svensson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556161,5,44,1,0,7,2uuh2bir8ktof0uxfo06lb4ox,0,75.6,42.4,2022-09-09T18:04:15.297Z,2022-09-09T18:04:18Z,3767243499,286,,3767243497,56,Center,3767243591,233,3,,,,,,,,,,,,,,,,asn8og4yn5gj4it0qe6vulhat,A. Vellios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556147,4,1,1,0,7,bk5ltsueqmeng29eovd8m2tml,0,28,57.5,2022-09-09T18:04:15.646Z,2022-09-09T18:04:16Z,3767243411,213,0.7,3767243409,212,19.8,3767243395,3,,3767243405,140,42.7,3767243401,56,Back,3767243407,141,75.8,,,,,,,88csh50wwpanzfdvu7ia3x1ih,M. Svensson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556199,6,1,1,0,10,2uuh2bir8ktof0uxfo06lb4ox,0,72.9,33.5,2022-09-09T18:04:18.588Z,2022-09-09T18:04:19Z,3767243693,56,Center,3767243697,141,36.5,3767243691,3,,3767243695,140,82.1,3767243699,212,9.9,3767243701,213,0.2,,,,,,,8fqnvz74z901a2h0kgk1zezje,L. Görlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556215,5,1,1,0,11,bk5ltsueqmeng29eovd8m2tml,0,30.8,54.5,2022-09-09T18:04:19.518Z,2022-09-09T18:04:20Z,3767243775,56,Back,3767243781,212,27.0,3767243779,141,84.6,3767243783,213,0.9,3767243769,3,,3767243777,140,47.5,,,,,,,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556235,7,1,1,0,12,2uuh2bir8ktof0uxfo06lb4ox,0,64,18.8,2022-09-09T18:04:20.812Z,2022-09-09T18:04:21Z,3767243893,141,22.6,3767243895,212,10.9,3767243897,213,0.2,3767243889,56,Center,3767243887,3,,3767243891,140,74.1,,,,,,,8fqnvz74z901a2h0kgk1zezje,L. Görlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556297,8,49,1,0,17,2uuh2bir8ktof0uxfo06lb4ox,1,64.4,35.8,2022-09-09T18:04:26.076Z,2022-09-09T18:04:26Z,,,,,,,,,,,,,,,,,,,,,,,,,b77p0um20y057708bx6on4d4a,D. Huiberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556303,6,1,1,0,18,bk5ltsueqmeng29eovd8m2tml,0,33.2,71.7,2022-09-09T18:04:26.397Z,2022-09-09T18:04:26Z,3767244315,140,48.7,3767244321,213,5.7,3767244313,56,Back,3767244311,3,,3767244317,141,56.3,3767244319,212,19.4,,,,,,,1l34qvjvar8qec3kbrg4rew2d,Pol Llonch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556351,9,1,1,0,18,2uuh2bir8ktof0uxfo06lb4ox,1,64.2,36.1,2022-09-09T18:04:26.492Z,2022-09-09T18:04:30Z,3767244523,140,46.6,3767244527,212,27.5,3767244521,56,Back,3767244525,141,66.0,3767244529,213,2.3,,,,,,,,,,b77p0um20y057708bx6on4d4a,D. Huiberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556395,10,1,1,0,22,2uuh2bir8ktof0uxfo06lb4ox,1,45.5,71.3,2022-09-09T18:04:30.508Z,2022-09-09T18:04:33Z,3767244763,213,0.5,3767244759,141,90.8,3767244757,140,67.2,3767244761,212,26.4,3767244755,56,Left,,,,,,,,,,dse1rndtog4qn2mwv966vp6mt,B. van Hintum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556415,11,1,1,0,24,2uuh2bir8ktof0uxfo06lb4ox,1,68,91.8,2022-09-09T18:04:32.940Z,2022-09-09T18:04:34Z,3767244869,56,Left,3767244871,140,84.0,3767244877,213,6.2,3767244875,212,16.9,3767244873,141,89.6,,,,,,,,,,amb2qvdnwu0meepj6yu65g72t,J. Tutuarima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556433,12,1,1,0,26,2uuh2bir8ktof0uxfo06lb4ox,0,84,89.6,2022-09-09T18:04:34.844Z,2022-09-09T18:04:35Z,3767244981,56,Center,3767244987,212,11.2,3767244989,213,4.8,3767244985,141,73.2,3767244983,140,85.3,,,,,,,,,,2esbyi3i7rtsdkxe6a917rsnp,L. Thy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556531,8,1,1,0,30,bk5ltsueqmeng29eovd8m2tml,0,14.5,22.5,2022-09-09T18:04:38.806Z,2022-09-09T19:05:02Z,3767480329,155,,3767245477,141,41.0,3767245485,213,1.7,3767245473,56,Back,3767480327,2,,3767245475,140,12.8,3767245481,212,12.7,,,,1l34qvjvar8qec3kbrg4rew2d,Pol Llonch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556499,13,61,1,0,30,2uuh2bir8ktof0uxfo06lb4ox,1,87.7,70.2,2022-09-09T18:04:38.973Z,2022-09-09T18:04:49Z,3767245325,56,Center,,,,,,,,,,,,,,,,,,,,,,a339o11ut8s1o9odm6ybc4pka,T. van den Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457556479,7,43,1,0,30,bk5ltsueqmeng29eovd8m2tml,1,0,0,2022-09-09T18:04:39.182Z,2022-09-09T18:04:52Z,3767245265,56,Back,3767246519,144,10,3767245263,94,0,,,,,,,,,,,,,,,,1l34qvjvar8qec3kbrg4rew2d,Pol Llonch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
