id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,assist
2529862429,1,34,16,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2023-04-07T17:26:20.315Z,2023-04-07T18:08:05Z,4170348411,197,490,4170273351,30,"8jml2tgzk1am30cy4gkgx0wd1, bdb33nwcpd2jufn9ggtl7gvzd, 1olyaqfnnl0sb4vsfxyi7j2z9, d5g7rl9a83vu3cyyzvu5yveqy, 5gunbyh0bjzutryox97ihxot1, 5fcaaack3wbn6nfdx1qoqoafp, cjff8fu812lennnunqljgddnu, 4nkd85hpwiiqtieuslhcrc2ga, rxblyjf8pcsdgdvy24zgnefp, 2an4s7uuqa9a6sl7vutznc7o5, c066582sb3qfs7c0472rw371m, 4j9ug0ng9dhx6xwhdwx6fafx0, 6nd0ifv6ljza9nauxcpejqzft, 41es2x265ddlzqjqa6wb9vey2, 3xza88l7s8dlki9kleqwz2puy, emaf4mjxn2255qlcn1pcxn36x, 9urh0cy0a8ni61fuxmiqosnis, 4mhahoh3a6rir882ug9hdb5nu, 8gkh6rsfo2tsrsiirv05bm1yi, cgsirikez39wlx8lhu1uo00yd, 7axjsuhjx027j0qw89zv6vw2c",4170273359,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170273363,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170273353,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170273355,59,"1, 2, 31, 3, 16, 15, 26, 32, 20, 9, 28, 8, 10, 14, 18, 19, 23, 24, 36, 39, 41",4170273361,194,5fcaaack3wbn6nfdx1qoqoafp,4170273357,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529862441,1,34,16,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2023-04-07T17:26:23.343Z,2023-04-07T18:17:55Z,4170273427,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170273419,59,"1, 2, 45, 6, 15, 23, 22, 8, 9, 10, 20, 41, 14, 17, 24, 31, 21, 42, 47",4170273425,194,4jvk1ex8dsjj498vqzqhfmqxh,4170273423,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4170348453,197,13167,4170273413,30,"4jvk1ex8dsjj498vqzqhfmqxh, 7wa5hbk41axn5lybd2b7v2978, 8q7ovzvqctqchirpf083d46ei, 4fbaxgikw7z9sfhuz6vvnfmxh, abgkpku77iidahswqpvce5gtm, 1u3rxxgh3ohv46tvrl86migkq, 4lf5375rzyy400rabvwgbcbmx, 46wxtiry28k7j3y6gacgf7x4a, 5362zl678ibx1md2kk6t4r47o, 7afaygi7b8fmxr885zaezaay1, aynwkpiteltfei3x5txm84opg, 7im2vvrm1xw2y9gds4izmoff8, 7eq1j570gbj6tzw9d1btzwnis, b9l12zfckbywukn3ll0vok6lm, 8zj8e6ovo1bt0d67klra3yh3o, a8nrm0flhc6mak2kvjksdlzx0, 1hcvsf3l8d17pnxfs6yqltwd0, 8g5ms6uacdkgfcbxt4crlr4ve, al84rp9v4739wdfi184cnis5w",4170273421,130,8,4170273417,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877491,2,32,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2023-04-07T18:02:58.699Z,2023-04-07T18:03:01Z,4170356335,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877483,2,32,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2023-04-07T18:02:58.699Z,2023-04-07T18:02:58Z,4170356275,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877515,3,1,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,50.4,49.7,2023-04-07T18:02:58.799Z,2023-04-07T20:00:58Z,4170356453,279,S,4170356449,212,18.1,4170356451,213,3.2,4170356443,56,Back,4170356445,140,33.2,4170356447,141,48.2,,,,,,,aynwkpiteltfei3x5txm84opg,R. Leijten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877619,4,1,1,0,5,eh54mfvjtrttgsg1wbjnvxcqz,0,26.6,50.4,2023-04-07T18:03:04.375Z,2023-04-07T18:03:08Z,4170356977,56,Right,4170356985,213,5.8,4170356975,155,,4170356987,1,,4170356981,141,19.4,4170356979,140,63.1,4170356983,212,43.7,,,,abgkpku77iidahswqpvce5gtm,T. van Grunsven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877653,3,1,1,0,8,59t7flioj4w4mpwnrwbm0m8ck,0,33.7,68.1,2023-04-07T18:03:07.208Z,2023-04-07T18:03:09Z,4170357115,140,45.4,4170357123,213,6.0,4170357117,141,63.0,4170357111,3,,4170357113,56,Back,4170357119,212,12.8,,,,,,,c066582sb3qfs7c0472rw371m,A. Omgba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877691,5,1,1,0,10,eh54mfvjtrttgsg1wbjnvxcqz,0,51.6,32.8,2023-04-07T18:03:09.017Z,2023-04-07T18:03:13Z,4170357361,140,70.3,4170357363,141,23.6,4170357357,3,,4170357365,212,20.6,4170357367,213,6.0,4170357359,56,Center,,,,,,,46wxtiry28k7j3y6gacgf7x4a,S. van der Heijden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877733,4,49,1,0,15,59t7flioj4w4mpwnrwbm0m8ck,1,19.9,84.8,2023-04-07T18:03:13.799Z,2023-04-07T18:03:13Z,,,,,,,,,,,,,,,,,,,,,,,,,d5g7rl9a83vu3cyyzvu5yveqy,A. MacNulty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877799,5,1,1,0,17,59t7flioj4w4mpwnrwbm0m8ck,1,20.3,88.4,2023-04-07T18:03:16.183Z,2023-04-07T18:03:18Z,4170357961,155,,4170357969,212,26.8,4170357971,213,6.0,4170357963,56,Back,4170357965,140,44.6,4170357967,141,76.3,,,,,,,d5g7rl9a83vu3cyyzvu5yveqy,A. MacNulty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
