id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value
2508724527,1,34,16,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2023-02-17T18:21:00.458Z,2023-02-17T18:59:16Z,4037565909,194,19wuvqpmewphgvsfzi4yjl756,4037565901,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4037631367,197,4038,4037565907,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4037565905,130,8,4037565903,59,"1, 2, 5, 8, 3, 4, 11, 6, 9, 10, 7, 19, 15, 17, 16, 20, 12, 14",4037565899,30,"7wrulbqqdeecd5vegsbb1905w, 2wgv0uye88734itwltg3oajo4, 7s2zxbtepa7dgr8yl0s48afpw, cs49ec8y6cubrlo5nmu3j3jtg, b1h2eiqxic31ioxbs1zjd709g, b4vrfh7z9qt9e5gdpkajrqolw, 19wuvqpmewphgvsfzi4yjl756, cwu5itv65s8p6zsalk3np4ic, ab17bik4y8ilv3ahe50a81ixg, 8o2iv0qhfft5pgzm75ckuo0es, 8i6cjao5lwxzaomilei61kbxm, 4oyjji4wqmuu3uia6htj0q1hw, a33sy9bstlsfq023oiym5qk9g, 685wka5xc8na423mirotcu238, 7ug3a0z74dj7qlq4jbtn1kutw, wuh8s4gfo9ro3nel3rormg44, 842wr3ptcycwsg44mgt0zp7o4, 9bgq1tfyfzc3wg9pfr8q510k4",4037565911,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508725469,1,34,16,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2023-02-17T18:24:32.573Z,2023-02-17T18:50:06Z,4037571329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4037571331,194,8q7ovzvqctqchirpf083d46ei,4037617703,197,16838,4037571321,30,"4jvk1ex8dsjj498vqzqhfmqxh, 36d4zodjdvtc8w1q4p940cx2i, 8q7ovzvqctqchirpf083d46ei, 46wxtiry28k7j3y6gacgf7x4a, a5j0tndc5032lgmuv1vqd2cix, 1u3rxxgh3ohv46tvrl86migkq, 8g5ms6uacdkgfcbxt4crlr4ve, 4fbaxgikw7z9sfhuz6vvnfmxh, 7afaygi7b8fmxr885zaezaay1, 4lf5375rzyy400rabvwgbcbmx, b9l12zfckbywukn3ll0vok6lm, 7wa5hbk41axn5lybd2b7v2978, a2ws6j60xd12ng844vlhgq2cq, 97i465n07uip7fnpw82v554b8, balcshp8sostjtslygqqixu5l, a8nrm0flhc6mak2kvjksdlzx0, 4q0movp031jgig1b49uyvd5w4, 3ya0t91sjrlgr9u61jla0r47o, al84rp9v4739wdfi184cnis5w",4037571327,130,8,4037571325,59,"1, 18, 45, 8, 3, 23, 42, 6, 10, 22, 17, 2, 4, 19, 21, 31, 40, 41, 47",4037571323,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4037571333,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737751,2,32,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2023-02-17T19:01:22.706Z,2023-02-17T19:01:25Z,4037634291,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737743,2,32,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2023-02-17T19:01:22.706Z,2023-02-17T19:01:22Z,4037634241,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737797,3,1,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,49.7,50.1,2023-02-17T19:01:22.806Z,2023-02-17T19:01:26Z,4037634517,213,2.8,4037634509,56,Back,4037634515,212,28.3,4037634513,141,63.6,4037634519,279,S,4037634511,140,24.2,,,,,,,cs49ec8y6cubrlo5nmu3j3jtg,L. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737831,4,1,1,0,3,1wyg1tunyt7go9tnjea1hjqxb,0,27.8,60.6,2023-02-17T19:01:26.070Z,2023-02-17T19:01:28Z,4037634679,1,,4037634671,140,75.9,4037634669,56,Right,4037634675,212,58.6,4037634667,157,,4037634673,141,17.0,4037634677,213,5.8,,,,b4vrfh7z9qt9e5gdpkajrqolw,M. Engel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737867,3,1,1,0,7,eh54mfvjtrttgsg1wbjnvxcqz,0,32.9,86.6,2023-02-17T19:01:30.399Z,2023-02-17T21:26:08Z,4037634805,140,37.2,4037634809,212,10.8,4037634803,56,Back,4037634801,3,,4037634811,213,1.1,4037634807,141,100.0,,,,,,,8q7ovzvqctqchirpf083d46ei,D. Gyamfi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737869,4,5,1,0,8,eh54mfvjtrttgsg1wbjnvxcqz,0,49.8,101,2023-02-17T19:01:30.886Z,2023-02-17T19:53:21Z,4037634813,56,Back,4037634815,347,,4037635131,233,5,,,,,,,,,,,,,,,,8q7ovzvqctqchirpf083d46ei,D. Gyamfi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737927,5,5,1,0,8,1wyg1tunyt7go9tnjea1hjqxb,1,50.2,-1,2023-02-17T19:01:30.886Z,2023-02-17T19:01:39Z,4037635083,347,,4037635081,56,Right,4037635113,233,4,,,,,,,,,,,,,,,,b4vrfh7z9qt9e5gdpkajrqolw,M. Engel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737959,6,1,1,0,15,1wyg1tunyt7go9tnjea1hjqxb,1,49.1,0,2023-02-17T19:01:38.117Z,2023-02-17T19:01:41Z,4037635269,140,60.9,4037635271,141,24.3,4037635265,107,,4037635277,1,,4037635275,213,1.0,4037635267,56,Center,4037635273,212,21.4,,,,2wgv0uye88734itwltg3oajo4,J. Kalisvaart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
