id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2540199099,1,34,16,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2023-04-28T17:19:37.073Z,2023-04-28T18:01:50Z,4232220131,130,17,4232220133,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4232220125,30,"4jvk1ex8dsjj498vqzqhfmqxh, 36d4zodjdvtc8w1q4p940cx2i, 7eq1j570gbj6tzw9d1btzwnis, 1u3rxxgh3ohv46tvrl86migkq, 8zj8e6ovo1bt0d67klra3yh3o, 8q7ovzvqctqchirpf083d46ei, 8g5ms6uacdkgfcbxt4crlr4ve, 4lf5375rzyy400rabvwgbcbmx, 7afaygi7b8fmxr885zaezaay1, aynwkpiteltfei3x5txm84opg, b9l12zfckbywukn3ll0vok6lm, 7im2vvrm1xw2y9gds4izmoff8, 7wa5hbk41axn5lybd2b7v2978, a2ws6j60xd12ng844vlhgq2cq, 4fbaxgikw7z9sfhuz6vvnfmxh, 46wxtiry28k7j3y6gacgf7x4a, 97i465n07uip7fnpw82v554b8, balcshp8sostjtslygqqixu5l, a8nrm0flhc6mak2kvjksdlzx0, d5e6xduerytsgoz68ogm3rswk, al84rp9v4739wdfi184cnis5w",4232220141,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4232220127,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4232220129,59,"1, 18, 14, 23, 24, 45, 42, 22, 10, 20, 17, 41, 2, 4, 6, 8, 19, 21, 31, 39, 47",4232322229,197,13167,4232220137,194,4jvk1ex8dsjj498vqzqhfmqxh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540200379,1,34,16,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2023-04-28T17:23:03.938Z,2023-04-28T20:56:23Z,4232227725,30,"8l31bne12p5cp51o46h92zjrp, ajt9gf8zqsc3m6z4kof5m99ii, 3h8gqv4l0lrls9day28t1sw0k, 5wg2ysvwk3q67osv2nnbav4yx, 1qqqigufis9zdf4mdqt6mgfl5, 476jyuzjm08o0d5g3t4nh1cyd, a49duk4f5m5zmyvwht0ikal05, 61wt62anweh75oguqg0vbozu2, 7o8auo4uu5mzh7f4a44ucdf8q, 2pva2d9if0phol0efqnur68a2, m10ml783dkbr4i0fpb06cm3t, dhit8k74wcmlin09vs2nk8m7e, dltjumosk5kv9xw8yju2e1hqs, f5am20z0q4vgcu9434o9wy904, 46oot98163lb6atyes4j0mup5, 4j7mtyvi7jg9e4ontiyt9vwbu, c78t1bgro2lh7gvw8rwi6p239, 5t2yht2zjn4g7otqpaer3ia22, 7ufq4s5t9bsfhiuga992prx0p, 88vryegnhss2q5xz8aoj2phey, blu3rrhzier5ivp5p9u78448a, 53c63f5ekinmj6bquc3rbsbxm, da3d2iu2j4yb7q1ag063mu44q",4232227735,130,10,4232227741,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4232227739,194,61wt62anweh75oguqg0vbozu2,4232227737,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4232227729,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4232227733,59,"1, 25, 50, 24, 4, 3, 12, 6, 19, 10, 21, 8, 37, 28, 5, 7, 9, 11, 15, 16, 17, 20, 27",4232322271,197,4035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540219663,2,32,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2023-04-28T18:00:25.532Z,2023-04-28T18:00:25Z,4232326159,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540219671,2,32,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2023-04-28T18:00:25.532Z,2023-04-28T18:00:29Z,4232326213,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540219677,3,1,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,49.8,50,2023-04-28T18:00:25.964Z,2023-04-28T18:50:07Z,4232326241,279,S,4232326239,213,2.8,4232326229,56,Back,4232326235,212,24.6,4232326233,141,63.3,4232326231,140,28.0,,,,,,,a49duk4f5m5zmyvwht0ikal05,T. Overtoom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540219763,4,1,1,0,5,zjawy6qdzk3y69v5pa3zl2cb,0,31.1,53,2023-04-28T18:00:30.939Z,2023-04-28T18:00:35Z,4232326575,1,,4232326569,141,48.8,4232326571,212,57.7,4232326567,140,86.0,4232326563,155,,4232326573,213,6.2,4232326565,56,Center,,,,5wg2ysvwk3q67osv2nnbav4yx,T. Oude Kotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540219753,3,52,1,0,8,eh54mfvjtrttgsg1wbjnvxcqz,1,13.3,46,2023-04-28T18:00:34.386Z,2023-04-28T18:00:34Z,,,,,,,,,,,,,,,,,,,,,,,,,4jvk1ex8dsjj498vqzqhfmqxh,W. van der Steen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540219797,4,80,1,0,15,eh54mfvjtrttgsg1wbjnvxcqz,0,10.5,47.6,2023-04-28T18:00:41.343Z,2023-04-28T18:00:41Z,,,,,,,,,,,,,,,,,,,,,,,,,4jvk1ex8dsjj498vqzqhfmqxh,W. van der Steen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540219889,5,1,1,0,19,eh54mfvjtrttgsg1wbjnvxcqz,1,7.1,49.7,2023-04-28T18:00:44.639Z,2023-04-28T18:00:49Z,4232327097,56,Back,4232327101,140,9.3,4232327103,141,68.1,4232327105,212,12.7,4232327107,213,1.4,,,,,,,,,,4jvk1ex8dsjj498vqzqhfmqxh,W. van der Steen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540219909,6,1,1,0,23,eh54mfvjtrttgsg1wbjnvxcqz,0,17.1,81.1,2023-04-28T18:00:48.639Z,2023-04-28T18:00:51Z,4232327205,141,75.4,4232327199,155,,4232327211,1,,4232327207,212,38.8,4232327209,213,6.2,4232327201,56,Center,4232327203,140,53.9,,,,1u3rxxgh3ohv46tvrl86migkq,I. Bowat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
