id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/9/value
2505906663,1,34,16,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2023-02-10T18:23:58.524Z,2023-02-10T20:20:02Z,4022689773,130,8,4022689767,30,"4jvk1ex8dsjj498vqzqhfmqxh, 36d4zodjdvtc8w1q4p940cx2i, 8q7ovzvqctqchirpf083d46ei, 46wxtiry28k7j3y6gacgf7x4a, abgkpku77iidahswqpvce5gtm, 1u3rxxgh3ohv46tvrl86migkq, 74x54r0698ug6gzk9jwd86pxx, 8mq0q8ebkt20p1pm35z3qma22, 7afaygi7b8fmxr885zaezaay1, 4lf5375rzyy400rabvwgbcbmx, b9l12zfckbywukn3ll0vok6lm, 4fbaxgikw7z9sfhuz6vvnfmxh, a5j0tndc5032lgmuv1vqd2cix, a2ws6j60xd12ng844vlhgq2cq, 97i465n07uip7fnpw82v554b8, balcshp8sostjtslygqqixu5l, a8nrm0flhc6mak2kvjksdlzx0, d2ejhagchnl4e28s5zn5r8zro, 8g5ms6uacdkgfcbxt4crlr4ve, al84rp9v4739wdfi184cnis5w",4022735045,194,4jvk1ex8dsjj498vqzqhfmqxh,4022735047,197,2851,4022689775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4022689771,59,"1, 18, 45, 8, 15, 23, 11, 7, 10, 22, 17, 6, 3, 4, 19, 21, 31, 26, 42, 25",4022689777,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4022689769,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505906781,1,34,16,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2023-02-10T18:25:25.638Z,2023-02-10T20:20:03Z,4022690465,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4022690461,130,8,4022690457,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",4022734499,194,80i3boeh7f1ghu4ka7r66izje,4022690455,30,"68hoounwudpjrr2wmovkyvswk, 2zkaf848fjcdhuii8783pkm7e, bgydmtsi0ngn9k56apo29v0no, b8ixf31bdyfqqcwoy4ulai73e, a7vlgirln231n3dqjhb72o0es, 3z9bdfblis9tl3e1uo7e72h62, 80i3boeh7f1ghu4ka7r66izje, 9pox9siobczxr9fv3fvvx3h1w, 6w6ewzxircqxk6dsrs1rvc8ru, 9nix5y8xcj34ps62r34udtqwa, baghnvel8qsn5k9s79jiyldnu, 1x6fhuy49w4rpnyavwotbf504, alfx6xxo38q6hmydbcr0rw67e, f593mnttzie8gicqlig2zvzvu, 31v89l4k38v1wpisz7xhkq38, dlgqk5qe96gaxeq8vu4dozyms, 3e8tsv4mzm75peokuw38d8jmy",4022690463,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4022690459,59,"1, 2, 5, 8, 3, 4, 7, 6, 9, 10, 11, 17, 16, 18, 15, 19, 12",4022734501,197,17085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505918481,2,32,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2023-02-10T19:04:55.550Z,2023-02-10T19:04:58Z,4022747307,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505918473,3,32,1,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2023-02-10T19:04:55.550Z,2023-02-10T19:04:55Z,4022747289,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505918531,4,1,1,0,0,6lzy9iiqoysvtdsgx719fng9n,1,49.9,50.3,2023-02-10T19:04:55.650Z,2023-02-10T19:05:01Z,4022747537,56,Back,4022747543,141,58.4,4022747551,213,2.8,4022747555,279,S,4022747547,212,18.4,4022747539,140,33.2,,,,,,,9nix5y8xcj34ps62r34udtqwa,K. Hlynsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505918559,5,1,1,0,5,6lzy9iiqoysvtdsgx719fng9n,1,39.2,64.5,2023-02-10T19:05:01.238Z,2023-02-10T19:05:03Z,4022747709,213,2.1,4022747707,212,18.0,4022747703,140,31.0,4022747705,141,87.7,4022747701,56,Back,,,,,,,,,,3z9bdfblis9tl3e1uo7e72h62,D. Warmerdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505918595,6,1,1,0,7,6lzy9iiqoysvtdsgx719fng9n,1,31,86.8,2023-02-10T19:05:03.382Z,2023-02-10T19:05:06Z,4022747875,141,54.9,4022747871,56,Back,4022747877,212,33.6,4022747881,1,,4022747879,213,3.8,4022747873,140,6.6,,,,,,,bgydmtsi0ngn9k56apo29v0no,J. Hato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505918623,7,1,1,0,10,6lzy9iiqoysvtdsgx719fng9n,0,6.6,54.9,2023-02-10T19:05:05.991Z,2023-02-10T19:05:09Z,4022748027,1,,4022748025,213,6.2,4022748021,141,48.7,4022748019,140,54.4,4022748017,56,Center,4022748023,212,50.4,4022748015,157,,,,,68hoounwudpjrr2wmovkyvswk,T. de Graaff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505918673,3,1,1,0,14,eh54mfvjtrttgsg1wbjnvxcqz,1,42.3,54.3,2023-02-10T19:05:10.219Z,2023-02-10T19:05:14Z,4022748181,213,0.2,4022748177,141,66.0,4022748175,140,77.3,4022748171,3,,4022748179,212,37.6,4022748183,1,,4022748173,56,Center,,,,1u3rxxgh3ohv46tvrl86migkq,I. Bowat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505918677,4,1,1,0,16,eh54mfvjtrttgsg1wbjnvxcqz,0,70.8,64.6,2023-02-10T19:05:11.972Z,2023-02-10T19:07:47Z,4022748207,141,60.0,4022748205,140,79.3,4022748201,3,,4022748203,56,Center,4022748211,213,5.9,4022748209,212,9.5,,,,,,,b9l12zfckbywukn3ll0vok6lm,T. Kalinauskas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
