id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/16/value,qualifier/17/value
2456366095,1,34,16,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2022-09-05T17:49:54.886Z,2022-09-05T18:08:46Z,3760908235,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760908233,130,3,3760908237,194,dh3ksith5iat573zuhdhv91w5,3760908239,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760908227,30,"alzgg0nxnnex3nkzr6lgmt1ey, 5e9ek4qs1dnp69oojzpvrltrd, 4zow18ykkg1gvw40r7jsrzkl, ebj7cl31vlr8nrltm42ydrdka, 7cetznpb0tnu6kdz7bvm8gyxh, 1jn9jog8ou8uxnmypneksizxm, dh3ksith5iat573zuhdhv91w5, a9233dwa5vm9qv2lncq3kawut, 6dpxvfpnaua6y4gevop02qc8a, b61yiz3lait78xmlbyzr2vd62, dhxpfe8e618lavr0915m9y2ju, 9tj2yr6ep9hsignf7cjn7wnl6, cexuwvet4xiruf1jitkjjp7qi, 2mz4zjaxr4rz219q08h97yn6d, au91rqig6uyyi1zdmlxydk38q, 50grkc6r635d7bjqgwrasi8rt, 4z8o35izc3gx6i2bt4mcs1fjd, bquqyyfz4lj0xrerbhbtj1jze, 8uw9w30592omb8acpnssgdlh, fjistzkvlbsa2v7xsnu0uy95, 5chl0qcvbbkd0yeogurw1fz6x, b950jt347chmq9whlkgl6fxpm, 1mroid71v9bwpx0iaospei9gq",3760923985,197,16795,3760908229,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3760908231,59,"1, 13, 12, 31, 15, 4, 8, 10, 7, 11, 20, 30, 3, 5, 6, 14, 16, 18, 19, 22, 23, 39, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456367917,1,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-09-05T18:00:19.307Z,2022-09-05T18:00:19Z,3760920547,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3760920549,59,"1, 2, 5, 6, 3, 4, 8, 10, 9, 7, 11, 17, 19, 18, 15, 20, 14, 21, 22, 24, 16, 23",3760920545,30,"4u12cln8rmtkwlu5q36ypjl2i, 6w1s9fojh50ecti3rz8jv6jca, a7eyujeyux7nj68ifa7nnndas, 5yt3hbvzpaqv8lrjgt4ahb78q, d9ewnngnsfc0s4hcs282hayhg, 4iurx3g3hajlatv5gcxsqwm7e, 8npu0cbqjrhwv5km1w29kh016, cla6c6izphee9prb80c15baei, 7uwe0kxpzg271d8ocms7l2kno, 6nwn2522yescgrx57wkcxjhwq, ix6hcbfujuw3mgefzpsnp2zu, 8tukt8jsmzkblxxs5w85x4dii, 3bepi58wwope38a478y7jwlxw, 1jr23fmrmezgiaq7k63pro07o, 7b0vbfxlv3uiozb19fcj2vsyy, d785q9rpqlyuyswv8f9fx4cno, e1islmeew98wa2ge0dicloay2, 8mkrj5bnkyhx8kutc4656cy96, 94h1esmbnvlcvdeq9ohs11boq, cvbasfoccmz0tijnkxyf57n8q, amz65a6dp1pwwql1dkonktfys, 8mivgwkakjt86f1glktfueq6s",3760920551,130,4,3760920553,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760920555,194,4iurx3g3hajlatv5gcxsqwm7e,3760920559,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760920557,197,2830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368135,2,32,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2022-09-05T18:01:30.629Z,2022-09-05T18:01:33Z,3760921987,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368129,2,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-09-05T18:01:30.629Z,2022-09-05T18:01:30Z,3760921971,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368139,3,1,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,49.9,49.9,2022-09-05T18:01:30.729Z,2022-09-05T19:00:40Z,3760922021,212,11.5,3760922015,56,Back,3760922025,279,S,3760922019,141,48.0,3760922017,140,39.0,3760922023,213,3.3,,,,,,,a9233dwa5vm9qv2lncq3kawut,J. Mathieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368163,4,1,1,0,4,dnzj0iv5qtaemm9kthh9pos8q,0,27.6,38.9,2022-09-05T18:01:34.708Z,2022-09-05T18:01:37Z,3760922161,213,0.4,3760922155,140,74.5,3760922153,56,Center,3760922159,212,53.4,3760922157,141,69.3,3760922163,1,,3760922151,157,,,,,7cetznpb0tnu6kdz7bvm8gyxh,L. Piqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368173,3,1,1,0,7,2xlnfgrl6r18ftv38unwp7h4s,0,21.3,16.2,2022-09-05T18:01:37.645Z,2022-09-05T18:01:39Z,3760922211,212,22.4,3760922207,140,42.4,3760922209,141,21.0,3760922213,213,0.1,3760922205,56,Back,3760922203,3,,,,,,,,6w1s9fojh50ecti3rz8jv6jca,K. Hoever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368183,5,1,1,0,10,dnzj0iv5qtaemm9kthh9pos8q,0,60.4,76,2022-09-05T18:01:40.846Z,2022-09-05T18:01:41Z,3760922263,141,77.8,3760922257,3,,3760922259,56,Center,3760922265,212,17.9,3760922261,140,77.4,3760922267,213,0.1,,,,,,,4zow18ykkg1gvw40r7jsrzkl,D. van der Sluys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368193,4,1,1,0,10,2xlnfgrl6r18ftv38unwp7h4s,0,37.2,15.5,2022-09-05T18:01:41.148Z,2022-09-05T20:17:03Z,3760922321,56,Back,3760922323,140,43.7,3760922325,141,15.6,3760922319,3,,3760922327,212,6.8,3760922329,213,0.0,,,,,,,8npu0cbqjrhwv5km1w29kh016,S. Colyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368203,6,1,1,0,12,dnzj0iv5qtaemm9kthh9pos8q,1,59.8,80,2022-09-05T18:01:43.102Z,2022-09-05T18:01:45Z,3760922385,140,70.1,3760922383,56,Center,3760922387,141,75.7,3760922389,212,11.2,3760922391,213,6.0,,,,,,,,,,4zow18ykkg1gvw40r7jsrzkl,D. van der Sluys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368207,7,49,1,0,14,dnzj0iv5qtaemm9kthh9pos8q,1,68.9,73.8,2022-09-05T18:01:45.469Z,2022-09-05T18:01:45Z,,,,,,,,,,,,,,,,,,,,,,,,,ebj7cl31vlr8nrltm42ydrdka,J. Sanches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368213,8,1,1,0,15,dnzj0iv5qtaemm9kthh9pos8q,1,68.9,73.8,2022-09-05T18:01:45.726Z,2022-09-05T18:01:46Z,3760922417,212,30.7,3760922419,213,3.1,3760922411,56,Back,3760922415,141,75.9,3760922413,140,39.7,,,,,,,,,,ebj7cl31vlr8nrltm42ydrdka,J. Sanches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368219,9,1,1,0,15,dnzj0iv5qtaemm9kthh9pos8q,1,37.8,74.7,2022-09-05T18:01:46.622Z,2022-09-05T18:01:48Z,3760922441,141,35.5,3760922443,212,26.9,3760922445,213,4.9,3760922439,140,41.4,3760922437,56,Back,,,,,,,,,,1jn9jog8ou8uxnmypneksizxm,R. van Eijma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368229,10,1,1,0,17,dnzj0iv5qtaemm9kthh9pos8q,1,39.8,31.3,2022-09-05T18:01:48.350Z,2022-09-05T18:01:51Z,3760922515,212,21.0,3760922513,141,3.4,3760922517,213,5.2,3760922509,56,Back,3760922511,140,48.4,,,,,,,,,,7cetznpb0tnu6kdz7bvm8gyxh,L. Piqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368235,11,1,1,0,20,dnzj0iv5qtaemm9kthh9pos8q,1,48.2,3.2,2022-09-05T18:01:50.958Z,2022-09-05T18:01:53Z,3760922569,213,2.3,3760922567,212,13.2,3760922563,140,39.7,3760922565,141,17.6,3760922561,56,Back,,,,,,,,,,5e9ek4qs1dnp69oojzpvrltrd,T. David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456368253,12,1,1,0,23,dnzj0iv5qtaemm9kthh9pos8q,1,39.8,25.8,2022-09-05T18:01:53.774Z,2022-09-05T18:01:57Z,3760922683,212,29.1,3760922685,213,2.2,3760922675,56,Back,3760922681,141,61.5,3760922679,140,24.5,,,,,,,,,,7cetznpb0tnu6kdz7bvm8gyxh,L. Piqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
