id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value
2490345787,1,34,16,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-12-11T13:01:28.599Z,2022-12-11T13:39:08Z,3940718791,59,"1, 25, 5, 24, 4, 3, 21, 6, 7, 10, 12, 2, 8, 9, 11, 18, 20, 23, 27, 28, 29, 50",3940718787,30,"8l31bne12p5cp51o46h92zjrp, ajt9gf8zqsc3m6z4kof5m99ii, 46oot98163lb6atyes4j0mup5, 5wg2ysvwk3q67osv2nnbav4yx, 1qqqigufis9zdf4mdqt6mgfl5, 476jyuzjm08o0d5g3t4nh1cyd, m10ml783dkbr4i0fpb06cm3t, 61wt62anweh75oguqg0vbozu2, 4j7mtyvi7jg9e4ontiyt9vwbu, 2pva2d9if0phol0efqnur68a2, a49duk4f5m5zmyvwht0ikal05, ag4gnhbvomc0q9ohvkyroftas, 9tmi00hx820vuwghg30jhzidx, c78t1bgro2lh7gvw8rwi6p239, 5t2yht2zjn4g7otqpaer3ia22, 9jx0oun9o3zqncgu9axt2qxka, 53c63f5ekinmj6bquc3rbsbxm, dh8jo5uq1oq0qv7gpu5rrbwx6, da3d2iu2j4yb7q1ag063mu44q, 9fb368ot1vtjx63e4l4y0ss9g, adp5a6klr2nygqjmdd1ekc8kq, 3h8gqv4l0lrls9day28t1sw0k",3940794467,194,61wt62anweh75oguqg0vbozu2,3940794469,197,4034,3940718789,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3940718797,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940718795,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940718793,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490346791,1,34,16,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2022-12-11T13:03:13.108Z,2022-12-20T10:07:03Z,3940724327,59,"1, 18, 24, 8, 15, 3, 11, 7, 9, 22, 10, 47, 4, 6, 14, 19, 20, 21, 23, 31, 42",3940724333,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940724325,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3940796519,197,16838,3940724323,30,"4jvk1ex8dsjj498vqzqhfmqxh, 36d4zodjdvtc8w1q4p940cx2i, 8zj8e6ovo1bt0d67klra3yh3o, 46wxtiry28k7j3y6gacgf7x4a, abgkpku77iidahswqpvce5gtm, a5j0tndc5032lgmuv1vqd2cix, 74x54r0698ug6gzk9jwd86pxx, 8mq0q8ebkt20p1pm35z3qma22, 5362zl678ibx1md2kk6t4r47o, 4lf5375rzyy400rabvwgbcbmx, 7afaygi7b8fmxr885zaezaay1, al84rp9v4739wdfi184cnis5w, a2ws6j60xd12ng844vlhgq2cq, alzxtazwzkp6cy4igin4ht2vp, 7eq1j570gbj6tzw9d1btzwnis, 97i465n07uip7fnpw82v554b8, aynwkpiteltfei3x5txm84opg, balcshp8sostjtslygqqixu5l, 4jx9sjbj9s8q2qeknsqhyozqh, a8nrm0flhc6mak2kvjksdlzx0, 8g5ms6uacdkgfcbxt4crlr4ve",3940724331,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940796513,194,4jvk1ex8dsjj498vqzqhfmqxh,3940724329,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360419,2,32,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2022-12-11T13:32:41.803Z,2022-12-11T13:32:41Z,3940800519,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360423,2,32,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-12-11T13:32:41.803Z,2022-12-11T13:32:45Z,3940800521,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360435,3,1,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,50.2,50,2022-12-11T13:32:41.903Z,2022-12-11T13:32:45Z,3940800619,141,34.6,3940800623,213,3.5,3940800621,212,27.0,3940800615,56,Back,3940800625,279,S,3940800617,140,26.5,,,,,,,5362zl678ibx1md2kk6t4r47o,N. Möller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360447,4,1,1,0,3,eh54mfvjtrttgsg1wbjnvxcqz,0,26.5,34.6,2022-12-11T13:32:45.678Z,2022-12-11T13:32:50Z,3940800705,140,80.9,3940800707,141,74.5,3940800713,1,,3940800709,212,63.2,3940800703,56,Center,3940800711,213,0.4,3940800701,155,,,,,a5j0tndc5032lgmuv1vqd2cix,V. van den Bogert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360457,3,1,1,0,8,zjawy6qdzk3y69v5pa3zl2cb,0,23.1,29.5,2022-12-11T13:32:50.157Z,2022-12-11T13:33:26Z,3940800761,3,,3940800769,212,21.5,3940800767,141,14.9,3940800765,140,41.3,3940800771,213,5.8,3940800763,56,Back,,,,,,,476jyuzjm08o0d5g3t4nh1cyd,M. Apau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360495,5,1,1,0,14,eh54mfvjtrttgsg1wbjnvxcqz,0,57.9,85.7,2022-12-11T13:32:56.479Z,2022-12-11T13:32:57Z,3940800975,56,Left,3940800981,212,12.5,3940800983,213,2.2,3940800977,140,50.7,3940800979,141,100.0,3940800973,3,,,,,,,,8zj8e6ovo1bt0d67klra3yh3o,S. Maas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360565,4,5,1,0,15,zjawy6qdzk3y69v5pa3zl2cb,1,49.8,-0.6,2022-12-11T13:32:56.838Z,2022-12-11T13:35:48Z,3940801345,233,6,3940801343,347,,3940801341,56,Back,,,,,,,,,,,,,,,,61wt62anweh75oguqg0vbozu2,A. Bensabouh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360499,6,5,1,0,15,eh54mfvjtrttgsg1wbjnvxcqz,0,50.2,100.6,2022-12-11T13:32:56.838Z,2022-12-11T13:38:49Z,3940800989,56,Left,3940801375,233,4,3940800991,347,,,,,,,,,,,,,,,,,8zj8e6ovo1bt0d67klra3yh3o,S. Maas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360571,5,1,1,0,25,zjawy6qdzk3y69v5pa3zl2cb,1,55.3,0,2022-12-11T13:33:06.871Z,2022-12-11T13:33:08Z,3940801383,140,65.2,3940801387,212,14.0,3940801385,141,12.6,3940801381,56,Right,3940801389,213,0.7,3940801379,107,,,,,,,,ajt9gf8zqsc3m6z4kof5m99ii,Y. Boussakou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360601,6,1,1,0,26,zjawy6qdzk3y69v5pa3zl2cb,1,65.5,12.6,2022-12-11T13:33:08.006Z,2022-12-11T13:33:16Z,3940801619,140,62.9,3940801623,212,4.5,3940801621,141,7.4,3940801625,213,4.1,3940801617,56,Right,,,,,,,,,,2pva2d9if0phol0efqnur68a2,C. Giousis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360603,7,1,1,0,34,zjawy6qdzk3y69v5pa3zl2cb,0,92.8,5.2,2022-12-11T13:33:16.215Z,2022-12-11T13:33:17Z,3940801677,233,7,3940801639,212,3.7,3940801631,155,,3940801675,236,,3940801641,213,1.2,3940801629,2,,3940801633,56,Right,3940801681,286,,ajt9gf8zqsc3m6z4kof5m99ii,Y. Boussakou,3940801635,140,94.0,3940801637,141,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360609,7,12,1,0,34,eh54mfvjtrttgsg1wbjnvxcqz,1,2.8,88,2022-12-11T13:33:16.315Z,2022-12-11T13:33:18Z,3940801683,233,7,3940801665,56,Back,3940801661,185,,,,,,,,,,,,,,,,,8zj8e6ovo1bt0d67klra3yh3o,S. Maas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360617,8,6,1,0,35,eh54mfvjtrttgsg1wbjnvxcqz,0,4.4,89,2022-12-11T13:33:17.760Z,2022-12-11T13:33:26Z,3940801707,56,Back,3940802027,233,8,3940801711,73,,,,,,,,,,,,,,,,,8zj8e6ovo1bt0d67klra3yh3o,S. Maas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360637,8,6,1,0,35,zjawy6qdzk3y69v5pa3zl2cb,1,95.6,11,2022-12-11T13:33:17.760Z,2022-12-11T13:50:18Z,3940801795,75,,3940802021,233,8,3940801793,56,Right,,,,,,,,,,,,,,,,ajt9gf8zqsc3m6z4kof5m99ii,Y. Boussakou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360833,9,1,1,0,57,zjawy6qdzk3y69v5pa3zl2cb,0,99.5,0.5,2022-12-11T13:33:39.360Z,2022-12-11T13:33:41Z,3940802849,56,Center,3940802841,2,,3940802851,140,91.5,3940802859,1,,3940802843,6,,3940802857,213,1.8,3940802855,212,34.6,3940802845,155,,2pva2d9if0phol0efqnur68a2,C. Giousis,3940802847,224,,3940802853,141,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
