id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/13/value,assist,qualifier/17/value
2482357231,1,34,16,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-11-06T12:28:37.403Z,2022-11-06T13:29:57Z,3898765219,194,e3akocgpppdty3ayxty1gf6xh,3898765215,130,4,3898765217,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898765209,30,"7dg8woqlx67ch0ji3ujhgb52i, 8ozlo6qrdavr86guhclwvh84q, bn8dwm2y9a8i9a10rba3dmm3u, dbkr1w2xlwnyssid1tv0jlujt, c9epkro6fot3km9zak1kswfhm, e3akocgpppdty3ayxty1gf6xh, 3kbhgmnf6bhfgut0jxf4m2sfe, a21sngx9u0boxf3n6u5qbkdlh, 6jqn5grsuhuo5at81pzahr6xh, 1sb4655mgzrdohlltyk9fqlzp, 10ijtddqmzbhx3qtlhbyn4rca, 6bklt91zc5vietmdc8r31zl2i, 8822s8ns7oyvjqade4oaxzg0l, c5jk0pvcvqddy0xiqv6qkesph, 3dc82sro077by40u3qdmhw0r9, awkcni8hs06o4bfpopikjvspg, 7qzban9gm72aznhn11qyxwtg4, bdurpi6c2ipwtcuyndq0e6ve2, 792zq4joba1qgt0lusvrjantg, 8oetnmi8kejwwy37rhlelw2ne, drbhndjayqwxzri7gfbd4zt3o",3898765221,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899000197,197,2840,3898765213,59,"1, 3, 15, 6, 31, 4, 10, 8, 21, 7, 34, 26, 2, 9, 11, 16, 20, 22, 25, 33, 36",3898765211,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482360159,1,34,16,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2022-11-06T12:32:34.728Z,2022-11-06T13:31:33Z,3898780067,130,4,3899015025,197,17162,3898780069,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898780065,59,"1, 4, 19, 17, 18, 33, 8, 10, 9, 11, 14, 2, 6, 7, 15, 20, 21, 22, 23, 24, 25, 29, 30",3898780071,194,djbw3afgcgkbq22soig0xsjfu,3898780063,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3898780073,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898780061,30,"9pgr69ub37hmr76gwbfw7lhw5, 4yyekuopwb7otz18rqfgwjht5, 4fcjml5xkrwp4jykruzrzub1m, 504o2odlvra056ouwcgreopgp, 5bjdj7hrhuxjbsa8wc1kw42c5, 1vyh50nfaq2kq5pmivpkc1psl, e5xuwwa4qs6zxjd7y52tslih, djbw3afgcgkbq22soig0xsjfu, 4j5hfebi948ggjwexpndrub1m, dy8wa8cciiae72q2ynm80rlcl, e0cy0gwf04lohf0xjef0af8fe, e6xexn53yyoxmdt5naduyx8bu, bnar4f48vnx4oaz2lzch48es5, a8cgbwioykhqztfjgztfn7dud, dux0skggr99ydjz3kn58p3wmh, 672cwl9zj2d6lce6jda350vvu, 909y6bbt3ht52rsu560ua5gid, 11ceernyer8po8soj8dmygatx, 1957std7hji9ca7bd29y8at7u, 7d8qc47gy4mb9mo67e1ic448a, 1qjf9el1a3ct17cb9epxz8xgq, aboxil79ulfa73pckzsdnwp62, 5vsr5aylntbln91iqj7vh5duy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482404387,2,32,1,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2022-11-06T13:29:09.472Z,2022-11-06T13:29:09Z,3899007215,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482404397,2,32,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-11-06T13:29:09.472Z,2022-11-08T08:09:46Z,3899007251,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482404399,3,1,1,0,0,20vymiy7bo8wkyxai3ew494fz,1,50.2,49.9,2022-11-06T13:29:09.533Z,2022-11-08T06:09:36Z,3899007273,213,2.7,3903068187,178,,3899007271,212,13.7,3899007267,140,38.5,3899007265,56,Back,3899007275,279,S,3899007269,141,58.7,,,,4j5hfebi948ggjwexpndrub1m,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482404415,4,1,1,0,0,20vymiy7bo8wkyxai3ew494fz,1,38.5,58.7,2022-11-06T13:29:10.466Z,2022-11-08T06:10:00Z,3899007387,140,36.0,3899007391,212,9.0,3899007385,56,Back,3899007389,141,46.1,3899007393,213,4.4,3903068389,178,,,,,,,,djbw3afgcgkbq22soig0xsjfu,O. Kökçü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482404431,5,1,1,0,1,20vymiy7bo8wkyxai3ew494fz,1,35.6,43.6,2022-11-06T13:29:11.456Z,2022-11-08T06:10:04Z,3903068437,178,,3899007493,155,,3899007501,212,47.0,3899007503,213,0.7,3899007497,140,69.6,3899007505,1,,3899007499,141,88.6,3899007495,56,Left,504o2odlvra056ouwcgreopgp,S. Szymański,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482404445,6,1,1,0,5,20vymiy7bo8wkyxai3ew494fz,0,69.6,88.6,2022-11-06T13:29:14.831Z,2022-11-08T06:10:10Z,3899007563,56,Center,3899007571,213,4.9,3899007561,3,,3899007569,212,9.8,3903068491,388,,3899007565,140,71.3,3899007567,141,74.4,,,,e0cy0gwf04lohf0xjef0af8fe,Igor Paixão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482404449,3,12,1,0,6,6g9qrm72224jrk6tkxxxi8a9n,1,24,23.8,2022-11-06T13:29:15.965Z,2022-11-08T06:10:23Z,3899007581,212,1.7,3899007583,213,0.1,3899007577,140,25.6,3899007575,56,Back,3903068593,178,,3899007579,141,24.1,,,,,,,c9epkro6fot3km9zak1kswfhm,X. Mbuyamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483169473,1092,67,1,0,6,20vymiy7bo8wkyxai3ew494fz,1,76.4,74,2022-11-06T13:29:16.036Z,2022-11-08T07:34:18Z,3903104117,233,841,,,,,,,,,,,,,,,,,,,,,,4j5hfebi948ggjwexpndrub1m,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483169471,841,67,1,0,6,6g9qrm72224jrk6tkxxxi8a9n,0,23.6,26,2022-11-06T13:29:16.037Z,2022-11-08T07:34:32Z,3903104125,233,1092,,,,,,,,,,,,,,,,,,,,,,dbkr1w2xlwnyssid1tv0jlujt,B. Benamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482404469,7,61,1,0,6,20vymiy7bo8wkyxai3ew494fz,1,70.5,76.9,2022-11-06T13:29:16.087Z,2022-11-08T07:34:21Z,3899007685,56,Center,3903068635,178,,,,,,,,,,,,,,,,,,,,4j5hfebi948ggjwexpndrub1m,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482404495,8,1,1,0,7,20vymiy7bo8wkyxai3ew494fz,0,68.6,95,2022-11-06T13:29:16.991Z,2022-11-08T06:11:31Z,3899007833,141,88.7,3899007831,140,90.0,3899007837,213,6.1,3899268099,3,,3899007829,56,Left,3903069319,388,,3899007835,212,22.9,,,,4fcjml5xkrwp4jykruzrzub1m,Q. Hartman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482404497,4,49,1,0,11,6g9qrm72224jrk6tkxxxi8a9n,1,4.2,4.9,2022-11-06T13:29:20.726Z,2022-11-08T06:11:39Z,,,,,,,,,,,,,,,,,,,,,,,,,8ozlo6qrdavr86guhclwvh84q,B. Plat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482404507,5,1,1,0,12,6g9qrm72224jrk6tkxxxi8a9n,0,3.3,3,2022-11-06T13:29:21.539Z,2022-11-08T06:11:46Z,3899007879,140,4.5,3899007881,141,3.5,3899008133,236,,3899007883,212,1.3,3899007877,56,Back,3899007885,213,0.3,3899008135,233,9,3899008139,286,,8ozlo6qrdavr86guhclwvh84q,B. Plat,3903069487,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482404551,9,74,1,0,12,20vymiy7bo8wkyxai3ew494fz,1,88.9,92.4,2022-11-06T13:29:21.658Z,2022-11-08T06:11:50Z,3903069549,178,,3899008111,56,Left,3899008141,233,5,3899008113,285,,,,,,,,,,,,,,e0cy0gwf04lohf0xjef0af8fe,Igor Paixão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482404549,6,5,1,0,13,6g9qrm72224jrk6tkxxxi8a9n,1,14,-1.8,2022-11-06T13:29:22.964Z,2022-11-08T06:12:01Z,3899008207,233,10,3899008107,56,Back,3899008109,347,,,,,,,,,,,,,,,,,8ozlo6qrdavr86guhclwvh84q,B. Plat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
