id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,assist,qualifier/17/value,qualifier/18/value,qualifier/21/value
2507047409,1,34,16,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2023-02-12T14:45:57.460Z,2023-02-12T15:41:45Z,4028613867,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4028613865,30,"1lgrnaje6y7un5dzzll84p91, 6sg2ot7z9kfyrlgjkmpqvejqi, dafbvyorudvujxw7zswicykmh, 35qg0rrwtl00pycx468s62m3u, bp3apdb2ahzacq45k4mzj5jhl, aqlakf0mo95rlktf6xdbaegh5, 7joybllup4h9oe6zfhcepjy6t, baakmd4ndnulbl9npvmq90mvp, 6m2pk6odyb3atayt6u8cifahh, p7vw4thx5wzo49h6hfabcq5m, 2x44f29a52v8kpkkjsuiiywdm, a91pmdnyzx1i7vx3l19hj4jx1, 4jqgl7x5ewke1u0sy2cbkqfhl, 9c2i7ddl2uh7kuhwq62klkyui, 6w6ewzxircqxk6dsrs1rvc8ru, 29m8py8czo6w0zf2arwolirjd, 1ekkj2b713kjnugsk4dz50q1h, 7w5ivtmbqzi4hfte330r1a505, 2zkaf848fjcdhuii8783pkm7e, b8ixf31bdyfqqcwoy4ulai73e, 80i3boeh7f1ghu4ka7r66izje, bgydmtsi0ngn9k56apo29v0no",4028613869,59,"12, 15, 5, 8, 4, 2, 23, 6, 10, 20, 35, 1, 3, 9, 18, 19, 21, 22, 26, 28, 37, 57",4028613875,194,6m2pk6odyb3atayt6u8cifahh,4028613877,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028613873,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028613871,130,4,4028867007,197,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507049787,1,34,16,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2023-02-12T14:48:41.055Z,2023-02-12T15:43:25Z,4028626365,30,"7wo4627xo1mx5k0vpwhe8hqll, 7a3ik1dbxkirdt58gwvvtyw9, 181us5vol7crxrmejhkqau3t, arahlffwma11d06oqmglwjemt, 8przxwwothu3crflys7ahl4dm, 9787nemt11c372uird332d13p, 93cf9npj6wl6vrxw7hetf6ok5, evexihkozqignope6k57tjgt1, a0i7hc92p5ijqi4jqw8krh8x6, atbvv2os8m7nfs0p128w5a6l1, dbg4ducw8j747foxiexle1iad, aoucm7e5muqfucbv1g4e8hh49, b1o6ctqy1mhjg4iiec8aedat, f1u6wna62ri171clx0pig6dbd, efcq9u93u06hx6578ua3buswl, abnezz7yico2636ucafabz4t0, csov8ibh2n0q2w8j72pft9t5h, 8n2xfmdnievwdeg60kobkoyj9, 9lctm8txbd4n87mk61lwa0rf9, w32h1te98uqq53j053qm3pm2, b23be312oxcbusvpjnnriukq2, ddldrej9an43ky123hqwp22ju, 5cvstzkb7l1zxapx0dt4zjkoa",4028626379,194,8przxwwothu3crflys7ahl4dm,4028626381,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028626377,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028875305,197,535,4028626373,59,"1, 2, 5, 24, 4, 23, 11, 6, 7, 20, 14, 8, 10, 13, 15, 17, 19, 21, 22, 26, 33, 34, 35",4028626369,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4028626375,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507100323,2,32,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2023-02-12T15:47:40.762Z,2023-02-12T15:47:40Z,4028898405,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507100331,2,32,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2023-02-12T15:47:40.762Z,2023-02-14T13:25:39Z,4028898451,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507100413,3,1,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,49.8,50.1,2023-02-12T15:47:40.799Z,2023-02-14T17:52:43Z,4028898881,212,13.9,4028898879,141,56.4,4028898883,213,2.8,4028898885,279,S,4032315773,178,,4028898875,56,Back,4028898877,140,37.2,,,,atbvv2os8m7nfs0p128w5a6l1,M. Seuntjens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507100433,4,1,1,0,2,ed5nwjz5za3oyi20nxzgqivmx,1,33.6,50.3,2023-02-12T15:47:43.039Z,2023-02-14T17:52:50Z,4028899005,56,Center,4028899007,140,52.7,4032315843,178,,4028899013,213,6.1,4028899009,141,44.1,4028899011,212,20.5,,,,,,,evexihkozqignope6k57tjgt1,V. Anita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507151077,348,61,1,0,3,ed5nwjz5za3oyi20nxzgqivmx,1,54.2,45.8,2023-02-12T15:47:43.973Z,2023-02-14T17:53:03Z,4032315931,21,,4032315933,388,,4029163209,56,Center,,,,,,,,,,,,,,,,atbvv2os8m7nfs0p128w5a6l1,M. Seuntjens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507100443,3,52,1,0,6,d0zdg647gvgc95xdtk1vpbkys,1,14.3,53.6,2023-02-12T15:47:46.868Z,2023-02-14T17:53:11Z,4032316029,178,,4030575893,376,,,,,,,,,,,,,,,,,,,,1lgrnaje6y7un5dzzll84p91,G. Rulli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507100513,4,1,1,0,7,d0zdg647gvgc95xdtk1vpbkys,1,14.6,53.6,2023-02-12T15:47:48.461Z,2023-02-14T17:53:15Z,4028899433,140,29.7,4028899437,212,33.6,4028899435,141,10.0,4028899431,56,Back,4032316063,178,,4028899429,123,,4028899439,213,5.2,4028899441,1,,1lgrnaje6y7un5dzzll84p91,G. Rulli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507100553,5,1,1,0,10,d0zdg647gvgc95xdtk1vpbkys,1,31.8,10.1,2023-02-12T15:47:51.218Z,2023-02-14T17:53:21Z,4032316089,178,,4028899721,212,13.1,4028899719,141,26.2,4028899723,213,2.2,4028899715,56,Back,4028899717,140,24.9,,,,,,,6sg2ot7z9kfyrlgjkmpqvejqi,D. Rensch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
