id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/15/value,assist,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2490101967,1,34,16,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2022-12-10T14:15:02.652Z,2022-12-10T14:56:32Z,3939437379,197,16162,3939437371,59,"31, 6, 18, 33, 34, 2, 4, 10, 17, 11, 24, 7, 9, 13, 19, 25, 32, 45",3939437373,130,18,3939437369,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3939437377,194,ekbsso6hq913ss7jerbusyled,3939437381,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939437367,30,"24g3kj5853y2af5ncqhwlfbp, 4mg6kr1jernr98unfp5p8shqt, 3fjobcho19bkofw9h042i2v9x, 3hq7q7p30s923cbbvw1070lp1, c211o2dh2p85auu0008zjxgix, cyrr9517kjkt2l5tuqe966zth, 2gf1wld07zyiuvq7iikfrvoid, ekbsso6hq913ss7jerbusyled, 7f87a26gzayk0bfzbm42huuw9, 4l7yeuoabotmlfo5n719msrmd, 1szy525fae134zxfbt7vyw991, 997jc41apd3dtrwgx79mu67e1, 583ujnml31x2cnl6jxwnbs2xh, btey8i9vnkak8ww7diqnb8lat, 94opm6ljk3l7yqa2rzwq2gw6h, 4c56c2zanbiv8q28f54i5rp3p, dwbbiqw9923azm3rpg2m8aqj9, mpzi06x1j85ahwkrbsa20kmi",3939437375,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490101975,1,34,16,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2022-12-10T14:15:03.745Z,2022-12-12T16:29:13Z,3939437433,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3939437431,30,"3swij7ntrn9x9voc9clilgmvp, 56zd7s72x7izgeiybmmgc8acq, 7qnu4sb2a2vj7nw8gkvv1pxw5, eg2xijdgtcaa44x57pjezy3ft, 1dzmlop3jwm8aeqxkmihjl7xm, 4qg1mpymeaajx8gu7jycw5wph, 2nvu4o5lbowvig5ddb4563n8q, a993483h57leyjrkw3q0th905, 3j78tgfptah530cydckvfsauh, a65axspsu3w38f0dob3aibk5x, adfgsbp3tv9wgatujcr9mfuju, c1hj1hth3xj2f0ax3x6fdwj8q, ev42016zwnwiow3lbefukrbvt, 7djse28rpo31xno7d0exe5pzp, 81d38h08s97e8kl7kxew6si5l, rqdgj7y5b0qjaxpz1i7k3a50, f4p7kokn0a6epac4icy01l9lh, 4krngway5vullnycc785s9fdg",3939437445,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939437439,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3939437435,59,"18, 12, 2, 5, 39, 26, 15, 14, 8, 20, 9, 3, 6, 7, 10, 22, 27, 49",3939437437,130,18,3939437441,194,4qg1mpymeaajx8gu7jycw5wph,3939437443,197,16180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490118007,2,32,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2022-12-10T15:01:33.573Z,2022-12-10T15:01:36Z,3939523825,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490118003,2,32,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2022-12-10T15:01:33.573Z,2022-12-13T04:33:32Z,3939523821,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490118019,3,1,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,50.4,50.1,2022-12-10T15:01:33.689Z,2022-12-13T06:06:33Z,3939523897,212,5.6,3943385875,178,,3939523895,141,54.4,3939523887,56,Back,3939523899,213,2.6,3939523901,279,S,3939523891,140,45.9,,,,4l7yeuoabotmlfo5n719msrmd,J. Windass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490118045,4,1,1,0,2,1musyruv2ufjrjnj6gvdbr8kt,1,43.3,56.6,2022-12-10T15:01:35.782Z,2022-12-13T06:06:38Z,3939524035,140,33.3,3939524037,141,79.9,3939524041,213,2.2,3939524033,56,Back,3943385973,178,,3939524039,212,19.0,,,,,,,ekbsso6hq913ss7jerbusyled,B. Bannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490118065,5,1,1,0,4,1musyruv2ufjrjnj6gvdbr8kt,1,33.4,79.9,2022-12-10T15:01:38.342Z,2022-12-13T06:06:43Z,3939524157,212,19.1,3939524155,141,90.9,3943386045,178,,3939524159,213,0.4,3939524151,56,Left,3939524153,140,50.1,,,,,,,3hq7q7p30s923cbbvw1070lp1,R. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490118109,6,1,1,0,5,1musyruv2ufjrjnj6gvdbr8kt,1,50.1,90.9,2022-12-10T15:01:39.144Z,2022-12-13T06:06:50Z,3939524409,212,20.3,3939524411,213,6.1,3939524403,56,Left,3939524407,141,84.8,3939524405,140,69.0,3943386213,178,,,,,,,,3fjobcho19bkofw9h042i2v9x,M. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490118133,7,1,1,0,9,1musyruv2ufjrjnj6gvdbr8kt,1,63.2,89.9,2022-12-10T15:01:43.208Z,2022-12-13T06:06:57Z,3939524559,213,3.0,3939524553,140,44.9,3939524551,56,Back,3943386331,178,,3939524557,212,19.3,3939524555,141,92.6,,,,,,,1szy525fae134zxfbt7vyw991,M. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490118151,8,1,1,0,10,1musyruv2ufjrjnj6gvdbr8kt,1,44.9,92.6,2022-12-10T15:01:44.350Z,2022-12-13T06:07:01Z,3939524663,140,66.1,3939524661,56,Center,3943386417,178,,3939524669,213,5.9,3939524665,141,77.6,3939524667,212,24.5,,,,,,,3hq7q7p30s923cbbvw1070lp1,R. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
