id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2471998137,1,34,16,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2022-10-15T13:06:57.328Z,2022-10-15T13:06:57Z,3844091377,130,12,3844091381,194,62azuux8vuk6956cuyjjtped,3844091373,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3844091371,30,"ezg39hlg3h14utboy2h3lijmd, 31xl77lt8tax7bta6s45p9fpx, bydla0otire1a58193o1buqjt, dbe9gwg6ggyqh9fvdruelz8wl, 1tkhk7k78uqvkegtn5i9r132t, diw7je3i5mkvwf0kj898yi0gl, ap3mja91coq7mbr6xkqvbss7p, 62azuux8vuk6956cuyjjtped, cmq9t6wadet4rrj3cvkjst7ca, dovxfzsqb5e7by2q6kq0j2z1l, 7joniozhpy10veujjibxmbu2, 79a7csp3rppvt5e5q02zmolhx, 1mj4mnbthdlb1cjjuhvqckded, 4qris4sdzvtlkw5i3cmhhowrt, 6hkzb4vehsx4wwm9y98euwacq, 1g9uh6aokaevbg7s6v2jh8h78, 8ulmmc45jlajkkd0v8qev4w2y, 3fu2g2b7g9e5dvtj7a5qxq238",3844091383,197,4206,3844091385,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844091379,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3844091375,59,"1, 17, 26, 33, 22, 6, 7, 3, 24, 15, 20, 9, 10, 13, 14, 18, 19, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472006287,1,34,16,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2022-10-15T13:13:50.315Z,2022-10-15T13:13:50Z,3844135341,30,"4e1c6yk50fl8hnwv6u1132j85, 5q6s3r5ychv1d3r1tch4sot05, czwcateaukr5r9yibdem642qd, 71or1ne6d9zuo038qdt6vcvoq, 430ffnfs8g98t6tkctdqhhd78, 2eu3cz65piv0j91gi396p9ega, dw7bhxe9mbg94udlycw98gpgp, f1rmwe24zg4697bqpc3z0y40l, 7ht3grz484ru1bcgp9gn7d2i1, a70y8ayeh05hzo5yc8gotsbh0, 3je74tc5emuou6ckwdbscsbu, bg9aayv3d1y0qxgqrdohnrcdm, 6tqiy5a5cfpfm90j8r5udl8bu, 555ikrgh0veemzf7reasmqok5, emuuuhvah1jtq2fqs9ybfovvu, e4xeswr8cpdkmlhijuf7oonsa, 74fouzsgp25muot2pp6as5otl, 937mkgz0gstvxyjiwfe9xiuzu",3844135343,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3844135345,59,"13, 26, 3, 16, 37, 32, 27, 8, 10, 11, 7, 1, 4, 14, 18, 21, 24, 28",3844135349,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3844135355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844135351,194,f1rmwe24zg4697bqpc3z0y40l,3844135347,130,8,3844135353,197,4826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472054799,2,32,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2022-10-15T14:01:11.350Z,2022-10-17T17:54:30Z,3844387861,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472054055,2,32,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2022-10-15T14:01:11.350Z,2022-10-15T14:01:11Z,3844384141,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472054101,3,1,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,50,50,2022-10-15T14:01:11.380Z,2022-10-17T19:16:27Z,3844384391,140,42.2,3844384393,141,50.6,3844384399,213,3.1,3844384385,56,Back,3844384401,279,S,3852668709,178,,3844384397,212,8.2,,,,62azuux8vuk6956cuyjjtped,L. Leahy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472054119,4,1,1,0,1,82kapkjwonlv9j1ui0ytv5sii,1,42.2,50.6,2022-10-15T14:01:12.712Z,2022-10-17T19:16:36Z,3844384535,212,9.9,3844384533,141,47.5,3844384537,213,6.1,3844384527,56,Center,3852668937,178,,3844384529,140,51.4,,,,,,,ap3mja91coq7mbr6xkqvbss7p,C. Winchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472054315,5,1,1,0,2,82kapkjwonlv9j1ui0ytv5sii,1,53.7,46.4,2022-10-15T14:01:13.441Z,2022-10-17T19:16:39Z,3844385569,213,2.0,3852669095,178,,3844385565,141,58.1,3844385563,140,50.1,3844385561,56,Center,3844385567,212,8.8,,,,,,,62azuux8vuk6956cuyjjtped,L. Leahy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473706751,1588,83,1,0,4,8rfydplrc9ki0sirqi0drcybk,1,50.7,46.9,2022-10-15T14:01:15.449Z,2022-10-18T04:18:55Z,3853133259,399,246299,,,,,,,,,,,,,,,,,,,,,,7ht3grz484ru1bcgp9gn7d2i1,C. Morton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473555149,667,1,1,0,4,82kapkjwonlv9j1ui0ytv5sii,0,50.8,55.9,2022-10-15T14:01:15.456Z,2022-10-17T19:17:04Z,3852295099,213,2.8,3852295131,286,,3852452395,233,879,3852669721,389,,3852295129,236,,3852295093,141,56.5,3852295097,212,1.1,3852295089,140,49.8,7joniozhpy10veujjibxmbu2,T. Bayliss,3852295085,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473555151,879,74,1,0,4,8rfydplrc9ki0sirqi0drcybk,1,50.2,43.5,2022-10-15T14:01:15.469Z,2022-10-17T19:16:59Z,3852452399,233,667,3852669569,178,,3852295101,56,Center,3852295103,285,,,,,,,,,,,,,,7ht3grz484ru1bcgp9gn7d2i1,C. Morton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472054397,6,1,1,0,6,82kapkjwonlv9j1ui0ytv5sii,0,36.8,85.7,2022-10-15T14:01:18.339Z,2022-10-17T19:17:09Z,3844385969,140,96.2,3844385965,155,,3852669913,178,,3844385967,56,Center,3844385975,213,6.1,3844385971,141,67.5,3844385973,212,63.6,3844385977,1,,dbe9gwg6ggyqh9fvdruelz8wl,T. Flanagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472054859,3,52,1,0,11,8rfydplrc9ki0sirqi0drcybk,1,8.2,35.8,2022-10-15T14:01:22.616Z,2022-10-17T19:17:15Z,3852295333,377,,3852670165,178,,,,,,,,,,,,,,,,,,,,4e1c6yk50fl8hnwv6u1132j85,J. Lynch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473555289,880,80,1,0,19,8rfydplrc9ki0sirqi0drcybk,0,14.1,47.6,2022-10-15T14:01:30.871Z,2022-10-17T19:17:23Z,3852670357,178,,,,,,,,,,,,,,,,,,,,,,,4e1c6yk50fl8hnwv6u1132j85,J. Lynch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472054971,4,1,1,0,21,8rfydplrc9ki0sirqi0drcybk,1,9.3,32.1,2022-10-15T14:01:32.889Z,2022-10-17T19:17:28Z,3852296007,198,,3844388559,56,Right,3844388565,212,58.8,3844388569,1,,3852670479,178,,3852296005,157,,3844388563,141,20.1,3844388561,140,64.8,4e1c6yk50fl8hnwv6u1132j85,J. Lynch,3844388567,213,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472054981,5,44,1,0,24,8rfydplrc9ki0sirqi0drcybk,1,64.2,22.8,2022-10-15T14:01:36.246Z,2022-10-18T04:01:50Z,3844388603,286,,3844388599,56,Center,3844388807,233,7,,,,,,,,,,,,,,,,dw7bhxe9mbg94udlycw98gpgp,H. Macadam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
