id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId
2524414605,1,34,16,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2023-03-25T14:15:02.806Z,2023-03-25T15:03:13Z,4122736271,194,dqgptypyedqzff38kn24en3s9,4122736261,30,"af0te77bq4mgr7rkkqateiswl, dqgptypyedqzff38kn24en3s9, bydqclpl0ph9brgu0esubx0ph, dhty303ilcb4cocqv68324xk9, cqbxzfg7eb97z1rx01kms6ay1, 1vni33hvf1nchb5gou5n5b2i2, a06js9xdgcoqq2mjjp9bbozu2, 8f5io2957l6ye5u7bsan0ecfe, b6p7xeo6oeep33e6fgt3h3gt1, b9apqidquztaojf6e3my6v7bp, 5x46bjvslvsozkw1o5ddni12h, 3nxrsmys3v8ci6xeqsx8yaac5, a69q0jj7tjwzxpo6b4i1ed3h1, 3ft5brlvxvw8otiyjppxkk6ad, 6s5n6ri7p16dbqb35b2dpl0wl, 2ykne43vtv8c00rvviyr3rre2, 1225w9qp3uzp1fkblmyidsfhm, apgbqplqtvuc1dmdxi5gqhd04",4122736269,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4122736267,130,13,4122736273,197,4868,4122736275,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4122736263,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4122736265,59,"1, 2, 23, 4, 16, 29, 20, 15, 18, 8, 10, 5, 6, 9, 12, 17, 22, 25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524414611,1,34,16,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-03-25T14:15:03.970Z,2023-03-25T15:10:17Z,4122736313,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4122736315,194,5obqs1ezswoc3ns0c9k4qai8l,4122736309,59,"1, 22, 21, 3, 4, 2, 6, 42, 10, 12, 16, 7, 8, 9, 11, 14, 23, 28",4122736317,197,2083,4122736311,130,13,4122736319,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4122736305,30,"32sqctjujedqsab4xwy1pwlbd, 8bx76kurepj0yqe9iixa0zyp6, 9j8icoctjp1icwle91r62q76x, 5obqs1ezswoc3ns0c9k4qai8l, 1vfuzp09s9oj95ruav4ln9ch6, 4k2uxd5rl1u8ctyxh3d765fqh, 8uch2zjj8vxmfi2l544j5ipxx, 3nwvlft28lt3fiirchylvwtm1, 2uids8ea8jv4r62psqj37x3e2, am8ws7w5mpzvbnb8bvvztbpwp, 9mgcugydtvdr5wk7qii9wpd2i, 3jitoqthsisleiprkhni7gycp, 5v9byi3v430ysdqb058eww3c9, 6evqqxq5e0y1uvigg6bss4frp, 299g43uwcj4dblia1bihagmol, 9qeg65oa5skmypxvt73vckfrp, enjlm4kjscxmu04a1tz7vo3fu, bhtwzoyaqug2p0ezr7c6wxuui",4122736307,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425459,2,32,1,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-03-25T15:01:02.047Z,2023-03-27T23:06:11Z,4122791411,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425457,2,32,1,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2023-03-25T15:01:02.047Z,2023-03-25T15:01:02Z,4122791409,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425473,3,1,1,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,49.8,49.9,2023-03-25T15:01:02.216Z,2023-03-28T02:08:16Z,4122791493,279,S,4122791489,212,16.5,4122791491,213,3.1,4122791487,141,50.0,4122791485,140,34.1,4138769663,178,,4122791483,56,Back,,,,b9apqidquztaojf6e3my6v7bp,D. Crowley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425501,4,1,1,0,2,8xeuwzxnm7hdlbjjuezgfkz3w,1,41.9,46.4,2023-03-25T15:01:04.216Z,2023-03-28T02:08:22Z,4122791625,212,44.1,4122791619,140,68.4,4122791623,141,96.8,4122791627,213,0.9,4138769689,178,,4122791629,1,,4122791613,155,,4122791617,56,Left,8f5io2957l6ye5u7bsan0ecfe,J. Weir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425507,5,61,1,0,5,8xeuwzxnm7hdlbjjuezgfkz3w,1,68,96.8,2023-03-25T15:01:07.288Z,2023-03-28T02:08:28Z,4122791655,56,Left,4138769713,388,,,,,,,,,,,,,,,,,,,,bydqclpl0ph9brgu0esubx0ph,P. Souaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425555,3,5,1,0,6,8w89tsles26jm12aoelwvlttt,1,24.4,-2,2023-03-25T15:01:08.368Z,2023-03-28T02:08:33Z,4122791807,347,,4122791805,56,Back,4122791823,233,6,,,,,,,,,,,,,,,,32sqctjujedqsab4xwy1pwlbd,J. Cumming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425509,6,5,1,0,6,8xeuwzxnm7hdlbjjuezgfkz3w,0,75.6,102,2023-03-25T15:01:08.368Z,2023-03-28T02:08:33Z,4122791667,347,,4122791665,56,Left,4122791827,233,3,,,,,,,,,,,,,,,,bydqclpl0ph9brgu0esubx0ph,P. Souaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425697,4,1,1,0,24,8w89tsles26jm12aoelwvlttt,1,20.4,0,2023-03-25T15:01:26.273Z,2023-03-28T02:08:39Z,4122792439,56,Back,4122792441,140,26.1,4122792447,213,0.9,4122792437,107,,4122792445,212,9.2,4122792443,141,8.3,,,,,,,4k2uxd5rl1u8ctyxh3d765fqh,T. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425717,5,1,1,0,26,8w89tsles26jm12aoelwvlttt,1,25.2,9.4,2023-03-25T15:01:28.207Z,2023-03-28T02:09:30Z,4122792541,212,9.1,4122792531,56,Back,4138770049,178,,4122792533,140,17.4,4122792543,213,3.6,4122792537,141,3.7,,,,,,,3nwvlft28lt3fiirchylvwtm1,P. Maghoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
