id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/11/value,qualifier/16/value
2506233151,1,34,16,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-02-11T14:15:22.888Z,2023-02-11T17:22:15Z,4024413085,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4024413087,194,e3ff2af2lxs0rl8c4r5ns4wd1,4024413089,197,17032,4024413083,130,18,4024413079,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4024413081,59,"1, 2, 28, 6, 21, 23, 4, 24, 26, 10, 9, 3, 14, 15, 18, 25, 27, 37",4024413091,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024413073,30,"3j589r3jhjkgpxxopsfit7aad, 61aryp2zoj2ymcd318t9i70lx, 58yhuku61yc06xpc55v5cdtec, 9c3iyi7y3hdraso115kxmd87p, 6s4sb4st1ploeraxawlckr4r9, asy3qn4557iy3r55yl4v9xj9x, e3ff2af2lxs0rl8c4r5ns4wd1, b6ctnwazqrxkw1639gn3vbahh, b3cehdu46pljqap9xw1j7pcyx, 5kyyaapya2gv5awlfgckmwpux, aral6zvx8qxkfqkqwb7ldfk5x, 2tu177su3bplnt4ru7bn3vsh5, 7b7ca1dklnp7reqcs5s4aauei, bkpr0uwpx5kbu2ms41uxoljah, 4lws9jepuxzs33zbt3w1ff9ih, 886i2kpcsn38tt7wqios1ip5, 2u4m2ja4yhgtqjgwns2om5y7e, 9gh28gs9i4hfnqqwymzc7s36c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506233187,1,34,16,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-02-11T14:15:24.776Z,2023-02-11T14:15:24Z,4024413291,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024413279,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4024413277,30,"eirc5i9gcpe0ap6gntxoomcix, 4nm1tx8buxym4bf9f2pti2fhl, 3k9tjd5wgpufcbq4od8jpo89h, dwrnys3htjlb3asfou6425g16, 49ca952ot1c3ytut2s281ds6h, 5raent8a0bdt01n7769n3dw16, cruhiz25b3bbd4unocpu9bvf9, canpue729cozt0cw6a1dpi7ai, acvgu9prqaeucmvi9fx070i22, 32crcj18u4qnf8f07fbsopvpx, 1iy0goeaf5btyw09tr2ywbe8l, 9gfxdw176mc8yn7dowedmvtgp, 1r9aj50371x6f0xf7mmvldz9x, 23gglwejp456bifnwkk9xi0a, dn7t1mhie8papl90qlp4rljhl, 3yadun7x7dpb4tirvfx4oxuui, n4ml5xifvll22bpq68ld4auh, i1bzoqwi1u382l4yx3n864x6",4024413281,59,"1, 2, 7, 5, 6, 12, 30, 48, 47, 44, 8, 3, 9, 14, 17, 20, 23, 26",4024413283,130,10,4024413285,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4024413289,197,16169,4024413287,194,49ca952ot1c3ytut2s281ds6h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506280679,2,32,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-02-11T15:04:07.402Z,2023-02-14T00:13:40Z,4024646283,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506280659,2,32,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-02-11T15:04:07.402Z,2023-02-11T15:04:07Z,4024646177,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506280785,3,1,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,50.3,50.3,2023-02-11T15:04:07.423Z,2023-02-14T04:43:49Z,4024646809,56,Back,4031763261,178,,4024646811,140,24.6,4024646813,141,49.7,4024646815,212,27.0,4024646819,279,S,4024646817,213,3.2,,,,5kyyaapya2gv5awlfgckmwpux,S. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506280909,4,1,1,0,3,dmz37633qbsvl7gncq5s51yjw,0,24.6,49.7,2023-02-11T15:04:11.070Z,2023-02-14T04:44:02Z,4024647525,140,66.1,4031763349,178,,4024647529,212,56.0,4024647527,141,100.0,4024647523,56,Left,4024647533,1,,4024647531,213,0.7,4024647521,157,,3j589r3jhjkgpxxopsfit7aad,D. Mitov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506281335,3,5,1,0,6,9db4t34qy4owglhvvgwf5l22i,1,34.1,-1.7,2023-02-11T15:04:14.112Z,2023-02-14T04:44:21Z,4024649587,233,5,4024649575,347,,4024649573,56,Back,,,,,,,,,,,,,,,,5raent8a0bdt01n7769n3dw16,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506280923,5,5,1,0,6,dmz37633qbsvl7gncq5s51yjw,0,65.9,101.7,2023-02-11T15:04:14.112Z,2023-02-14T04:44:22Z,4024647587,347,,4024647585,56,Left,4024649649,233,3,,,,,,,,,,,,,,,,3j589r3jhjkgpxxopsfit7aad,D. Mitov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506281535,4,1,1,0,18,9db4t34qy4owglhvvgwf5l22i,1,34.3,0,2023-02-11T15:04:25.534Z,2023-02-14T04:44:25Z,4024650561,212,23.7,4024650571,213,0.2,4024650553,141,5.2,4024650581,1,,4024650543,107,,4024650545,56,Right,4024650549,140,56.4,,,,5raent8a0bdt01n7769n3dw16,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506281563,5,61,1,0,20,9db4t34qy4owglhvvgwf5l22i,0,56.4,5.2,2023-02-11T15:04:27.764Z,2023-02-14T04:44:35Z,4024650709,56,Right,4031763603,21,,4031763605,178,,,,,,,,,,,,,,,,,acvgu9prqaeucmvi9fx070i22,M. Watters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
