id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2536905177,1,34,16,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-04-22T09:20:12.204Z,2023-04-22T10:03:29Z,4207683121,30,"5zhcjr5kxyxd2jmq1wel3ug9h, ent5lfgq42d5ngi3ebyy7p1w5, b3dvkkzdpggax4btpycd1oe3u, 5kio1iodx7cq9i9p9kql1nuuh, 5xlqh4i9zb5daj4khs1mbbxpm, 2dsgmfs9crnzz3425si3m9uj9, 1nhju64j5loikn6t0j9m6au39, 1cfjcoum4z07r1p3uyy2p9x49, 9742qffzdwiz9y3y7et40863t, et6offb5y91ch6mlol3dwcd0p, 6aodvgoc9sh27cjwelwsm3qw9, 63atfboq056luh7gzplxooyui, 24bz5vlm76nrqcnblyxfkt8x6, 8i42x5mpk5bpm1i0gvgubx9pm, 67i9jwkech61ihpglnmpzygvd, 31mhclmjwpn7zik6nphr4pwtm, 3z91j68ij26ar4vifyqyp34k, hf67c0ip1chljjy1udsjpt2i",4207705993,197,12190,4207683125,59,"1, 22, 6, 7, 11, 19, 20, 15, 12, 10, 17, 2, 4, 8, 9, 14, 18, 24",4207683123,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4207683133,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207683127,130,23,4207683129,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4207683131,194,5xlqh4i9zb5daj4khs1mbbxpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536905497,1,34,16,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2023-04-22T09:22:13.123Z,2023-04-22T10:01:37Z,4207684337,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207684325,30,"7yjvzelaq5iir99b4631uiyg9, 982xo55a6ehu6960fxwr3bfje, 5ic26p6vixiy9kqtxniuh9zh1, 80bmdjixjy34wx3e5fb8re961, c7phsuwshglgu1nud007agqnd, 42t82kh0hqfa7h92x1ujdz97u, eno0e1nmkn4ts5yy103k7inzd, 1au0af90j09ol6827vodhg1k9, buqygjztmnvmul49w3grzuo5x, 3rob14yal0zrzxj2tdpp4sewa, yay5mq8trvoxv9mwm4mqzn8q, 5v4jjtqwg9sjoyzoehbwpvris, 8jok7wopda70yus7gj5qwi1nt, 9le3udqhtfsbnlr6py67cj71m, 5ql8n3lw656v4i4wk74cselm1, aoy956n72pya0cc6bqj5x736x, cndbae3p3ag0t2qpt22wafo8a, f20f6etew7qc0bgwp7j1bgyne, 1giboljeo8fr7td6pvjyg70gk, er041hrvisziwqn5c7fiozxlh",4207684333,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207705587,197,3985,4207684327,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4207684335,194,42t82kh0hqfa7h92x1ujdz97u,4207684331,130,2,4207684329,59,"13, 16, 23, 14, 3, 22, 8, 12, 10, 6, 24, 32, 1, 4, 31, 17, 19, 21, 27, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536911005,2,32,1,0,0,9ouh98eyf6u69lbxc13mllm7f,1,0,0,2023-04-22T10:00:23.308Z,2023-04-22T10:00:25Z,4207708051,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536910993,2,32,1,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2023-04-22T10:00:23.308Z,2023-04-22T10:00:23Z,4207708011,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536911011,3,1,1,0,0,djz9e25b9zuiu5rmv1zha3i6f,1,50.4,49.3,2023-04-22T10:00:23.408Z,2023-04-22T10:53:54Z,4207708077,213,3.1,4207708069,56,Back,4207708071,140,30.1,4207708075,212,21.3,4207708079,279,S,4207708073,141,50.0,,,,,,,6aodvgoc9sh27cjwelwsm3qw9,Rosa Márquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536911025,4,1,1,0,2,djz9e25b9zuiu5rmv1zha3i6f,0,30.1,50,2023-04-22T10:00:25.969Z,2023-04-22T10:00:28Z,4207708159,213,0.4,4207708157,212,51.6,4207708153,140,75.1,4207708155,141,80.6,4207708161,1,,4207708151,56,Left,4207708149,155,,,,,5kio1iodx7cq9i9p9kql1nuuh,Ángela Sosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536911049,3,1,1,0,7,9ouh98eyf6u69lbxc13mllm7f,0,25.2,18.6,2023-04-22T10:00:31.154Z,2023-04-22T10:00:32Z,4207708267,140,51.7,4207708273,213,5.9,4207708263,3,,4207708265,56,Right,4207708271,212,29.7,4207708269,141,3.2,,,,,,,982xo55a6ehu6960fxwr3bfje,Claudia Blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536911063,5,1,1,0,8,djz9e25b9zuiu5rmv1zha3i6f,0,50.4,88.7,2023-04-22T10:00:32.242Z,2023-04-22T10:00:35Z,4207708365,1,,4207708353,56,Center,4207708363,213,5.7,4207708349,157,,4207708361,212,32.4,4207708359,141,60.6,4207708357,140,75.3,,,,b3dvkkzdpggax4btpycd1oe3u,Leire Peña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536911069,4,1,1,0,12,9ouh98eyf6u69lbxc13mllm7f,0,19.8,44.8,2023-04-22T10:00:35.697Z,2023-04-22T10:00:37Z,4207708387,140,29.6,4207708393,213,5.4,4207708383,3,,4207708391,212,15.7,4207708385,56,Back,4207708389,141,27.3,,,,,,,42t82kh0hqfa7h92x1ujdz97u,Patri Gavira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536911111,6,1,1,0,14,djz9e25b9zuiu5rmv1zha3i6f,1,66.2,82,2023-04-22T10:00:37.474Z,2023-04-22T10:00:43Z,4207708573,141,88.4,4207708567,3,,4207708575,212,30.2,4207708571,140,94.7,4207708569,56,Left,4207708577,213,0.1,,,,,,,1nhju64j5loikn6t0j9m6au39,Leles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
