id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/11/value
2533360399,1,34,16,0,0,5pol481515zvirmk6t00kerbc,1,0,0,2023-04-15T05:05:57.304Z,2023-04-15T06:04:46Z,4188927819,130,8,4188927827,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4188927817,59,"1, 13, 2, 49, 3, 29, 26, 8, 41, 14, 33, 5, 6, 16, 17, 18, 20, 99",4188927823,194,dmg39rv08bjlkilby5aycpsve,4188927825,197,5040,4188927821,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4188927813,30,"8psi8rr64yq7ovzua6ekiznpx, 5olu4s7w7nn9wy1219grd6z8p, a2lga77euo3am1ltgxstfnpp1, bp9o855yj8bdkyictup27h2ad, awckr8ajqo4vstzghb59rkwkp, dvic19ojqq6erwene0ijta61g, 5y3an7p93mnw69cuxe1wqr6z8, dmg39rv08bjlkilby5aycpsve, 3o2up44nguwivaltm6d2hdhw5, 1zajsokdkegr6kia745i27omi, 3h1911weob775j3n3r77gjlrd, 55plbq48ahcbaz5maex325nv8, edb7mugbc0u6ke0rk67po87o5, e8vzy09iw6420p567rmrcj3vu, 1m492fb1pd8amxhgextvoonsa, 5u3kbu3dqrij1mnzy6ismu6z9, 2ingh41ma0grign63tygcgaok, 88d8c6vvmo62h0lnbbo1t9i39",4188927815,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533360491,1,34,16,0,0,18c8ibslzapz40lfb8y5vygcs,1,0,0,2023-04-15T05:06:33.367Z,2023-04-15T06:03:47Z,4188928497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4188928489,194,a6mikq97x6ldarn4j7i16gatx,4188928487,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4188928479,30,"jywyirljzj827gq6pkgb34k5, dg1wh53t8qyb8l2dkeibtnkkp, 8u07m36pydqgg68citu7pilii, ecdovu3igm2rwrf6mwannhwmi, dnwwsdy1tfz0o7t0odssfstsl, 4q09fnw7soqo8q1u50wfde76d, a6mikq97x6ldarn4j7i16gatx, 5c3w3zdu6bojrfd8gt8u35o7p, 4o4vrnjw7c3g7j5aw5utyw1cl, 1enckn6zmewa3nupsm95mgkb9, dnvqxvpw9c21y0mb2wdxyua51, 96c2ojt4sgo4gfxs7vt1qfxed, b9q7re294ul5aq3jxch5oomol, an0ry25y0g1r231rva3xbgs15, 3g0uy8yhevhod17kgrtho63th, iu0xfgqmdqhn8vpgbqwpbnit, ecl5pqdpqewobefggvbc3ukgk, 365fyu3119amhqhcr0odemuad",4188928493,197,5030,4188928481,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4188928483,59,"1, 34, 17, 13, 4, 2, 15, 6, 77, 10, 18, 3, 5, 7, 9, 16, 21, 92",4188928485,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373255,2,32,1,0,0,5pol481515zvirmk6t00kerbc,1,0,0,2023-04-15T06:04:22.635Z,2023-04-20T14:53:26Z,4189001997,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373263,2,32,1,0,0,18c8ibslzapz40lfb8y5vygcs,1,0,0,2023-04-15T06:04:22.635Z,2023-04-15T06:04:25Z,4189002017,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373285,3,1,1,0,0,5pol481515zvirmk6t00kerbc,1,49.8,50,2023-04-15T06:04:22.735Z,2023-04-15T06:04:27Z,4189002097,56,Back,4189002101,141,38.3,4189002099,140,27.8,4189002103,212,24.4,4189002105,213,3.5,4189002107,279,S,,,,,,,3o2up44nguwivaltm6d2hdhw5,A. Ienaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373307,4,1,1,0,4,5pol481515zvirmk6t00kerbc,0,27.9,39.2,2023-04-15T06:04:27.520Z,2023-04-15T06:04:32Z,4189002205,1,,4189002203,213,0.9,4189002197,140,58.9,4189002199,141,94.5,4189002201,212,49.7,4189002193,155,,4189002195,56,Left,,,,awckr8ajqo4vstzghb59rkwkp,T. Ominami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373315,3,44,1,0,7,18c8ibslzapz40lfb8y5vygcs,1,39.2,6.6,2023-04-15T06:04:30.344Z,2023-04-15T06:04:31Z,4189002233,233,5,4189002221,56,Back,4189002223,285,,,,,,,,,,,,,,,,,4q09fnw7soqo8q1u50wfde76d,Y. Nogami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373313,5,44,1,0,7,5pol481515zvirmk6t00kerbc,0,60.8,93.4,2023-04-15T06:04:30.345Z,2023-04-15T06:04:32Z,4189002219,286,,4189002261,233,3,4189002217,56,Left,,,,,,,,,,,,,,,,3h1911weob775j3n3r77gjlrd,T. Miyashiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373319,4,1,1,0,8,18c8ibslzapz40lfb8y5vygcs,1,37,7.5,2023-04-15T06:04:31.159Z,2023-04-15T06:34:08Z,4189002247,140,41.7,4189002251,212,13.8,4189002249,141,26.4,4189002253,213,1.2,4189002243,3,,4189002245,56,Back,,,,,,,4q09fnw7soqo8q1u50wfde76d,Y. Nogami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373333,5,1,1,0,10,18c8ibslzapz40lfb8y5vygcs,1,44.6,19.4,2023-04-15T06:04:32.969Z,2023-04-15T06:04:34Z,4189002311,141,24.5,4189002307,56,Back,4189002309,140,41.0,4189002315,213,2.4,4189002313,212,5.1,4189002305,3,,,,,,,,4o4vrnjw7c3g7j5aw5utyw1cl,K. Junker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373337,6,49,1,0,11,18c8ibslzapz40lfb8y5vygcs,1,40.7,29.9,2023-04-15T06:04:34.248Z,2023-04-15T06:04:34Z,,,,,,,,,,,,,,,,,,,,,,,,,1enckn6zmewa3nupsm95mgkb9,Mateus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373357,7,1,1,0,11,18c8ibslzapz40lfb8y5vygcs,1,40.7,29.9,2023-04-15T06:04:34.456Z,2023-04-15T06:04:36Z,4189002403,213,3.6,4189002395,56,Back,4189002401,212,10.9,4189002399,141,23.0,4189002397,140,31.3,,,,,,,,,,1enckn6zmewa3nupsm95mgkb9,Mateus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373369,8,1,1,0,13,18c8ibslzapz40lfb8y5vygcs,0,32.1,23,2023-04-15T06:04:36.490Z,2023-04-15T06:04:38Z,4189002471,1,,4189002459,56,Center,4189002465,141,43.6,4189002463,140,86.8,4189002469,213,0.2,4189002455,157,,4189002467,212,59.1,,,,a6mikq97x6ldarn4j7i16gatx,S. Inagaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373387,6,1,1,0,15,5pol481515zvirmk6t00kerbc,1,24.4,65.8,2023-04-15T06:04:37.791Z,2023-04-15T06:04:39Z,4189002521,140,11.2,4189002523,141,65.5,4189002525,212,13.9,4189002517,3,,4189002527,213,3.2,4189002519,56,Back,,,,,,,dvic19ojqq6erwene0ijta61g,K. Takai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373393,7,52,1,0,17,5pol481515zvirmk6t00kerbc,1,10.5,62.6,2023-04-15T06:04:39.776Z,2023-04-20T15:00:30Z,4204497219,377,,,,,,,,,,,,,,,,,,,,,,,8psi8rr64yq7ovzua6ekiznpx,Jung Sung-Ryong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373447,8,80,1,0,25,5pol481515zvirmk6t00kerbc,0,12.9,52.8,2023-04-15T06:04:48Z,2023-04-15T06:04:48Z,,,,,,,,,,,,,,,,,,,,,,,,,8psi8rr64yq7ovzua6ekiznpx,Jung Sung-Ryong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373513,9,1,1,0,34,5pol481515zvirmk6t00kerbc,0,13.3,48.5,2023-04-15T06:04:56.736Z,2023-04-20T15:00:44Z,4189003021,140,57.7,4189003023,141,69.6,4189003025,212,48.8,4204497615,155,,4189003029,1,,4189003027,213,0.3,4189003019,56,Center,,,,8psi8rr64yq7ovzua6ekiznpx,Jung Sung-Ryong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373515,9,44,1,0,36,18c8ibslzapz40lfb8y5vygcs,1,40.8,27.2,2023-04-15T06:04:58.649Z,2023-04-15T06:05:00Z,4189003065,233,10,4189003035,285,,4189003033,56,Back,,,,,,,,,,,,,,,,a6mikq97x6ldarn4j7i16gatx,S. Inagaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533373517,10,44,1,0,36,5pol481515zvirmk6t00kerbc,0,59.2,72.8,2023-04-15T06:04:58.650Z,2023-04-15T06:05:00Z,4189003117,233,9,4189003039,286,,4189003037,56,Center,,,,,,,,,,,,,,,,bp9o855yj8bdkyictup27h2ad,K. Kozuka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
