id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,assist,qualifier/14/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2540449765,1,34,16,0,0,6bus1cl4b6zdm93290r02o7cx,1,0,0,2023-04-29T05:08:56.497Z,2023-04-29T05:58:41Z,4233556187,30,"7j7c0l6xctuoauvg1tpni3ysp, 23ejdwwhvzovvi7jmek50dyol, 3qguujjae7411ruqhztrfojys, 1ohbb8qqo4atptaijs269i6i2, 82f876uvvivzq5hspoy6vpfmy, 12ndgojwoabbe9igew1ymcnop, dsg6lclcyu8gvsyyn6jnoii95, dqvxvzeffd8u9xssgp195ydbd, 3dcmvl6ile1c42e7zzw4e139x, 5y6uy0cw3emtxukzgl1xeb4l, 5cwzgbnlpamgpiwjlgn61i8k5, 6vkppmpdrvrujfp035ucpib8q, 39ix1ftjgermlkf4i12c80u7d, 7csua09fwbprxmixvu567yvv9, f0yeq2v114x8is6rbrj6xxrhm, a9lb9wl7lf9lxpmwril1pyfop, 8m7y7kmzgy3aqwvlt1ywp1tjp, c4gfngqz8qeae1xayhyiwg7l6",4233556193,130,4,4233556203,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233556189,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4233556191,59,"1, 14, 44, 33, 4, 3, 10, 39, 11, 23, 17, 7, 8, 9, 18, 24, 26, 47",4233556199,197,15337,4233556195,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4233556197,194,3dcmvl6ile1c42e7zzw4e139x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449837,1,34,16,0,0,3lyo0vqgndy4fuzlfo5l9ql30,1,0,0,2023-04-29T05:09:10.956Z,2023-04-29T06:07:18Z,4233556599,130,2,4233556597,59,"46, 16, 2, 28, 50, 4, 41, 6, 9, 19, 10, 22, 5, 11, 14, 21, 24, 49",4233556603,194,bcqjrpgcfyzggcts863ck11bd,4233556595,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4233556593,30,"5ha4d9cmkfc0zdfjtmqt3mg6i, h84l7hezwweq4hmxnb0q7651, 4dcx2psoevoocmxjm4mrokyqx, exhzpkx6j2ffgblv06ummy356, aju96fh38fg93pp3dasz29hwp, bcqjrpgcfyzggcts863ck11bd, 3vw44ny2hu4m11p3ik9y0lk2x, b1yiwq0bmix3nvs4snp5gmmsp, 6vedxvw1nzhkl23yi0wkxaaj9, 7zxscftntxqon7k8h7ozac3fu, 1d57az0nmca33zgcta21912p5, 60744zxlgn1dnrd2r9o76tc5x, cgv10p2fly70zfpm74nmyx8bu, 3n5ebr69aqovbxiw13g2zymeh, 9bk61hqoeloi792bgxkq0owyd, 5e8x9ph9g69u29zz3u7xwsm0a, cq5sbfpf2mphplrzyb2tmsxxx, 842vz92cwiccjvr2q9iyca3md",4233556605,197,5064,4233556607,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233556601,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461439,2,32,1,0,0,6bus1cl4b6zdm93290r02o7cx,1,0,0,2023-04-29T06:03:17.913Z,2023-04-29T06:03:20Z,4233613375,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461437,2,32,1,0,0,3lyo0vqgndy4fuzlfo5l9ql30,1,0,0,2023-04-29T06:03:17.913Z,2023-05-03T14:36:49Z,4233613373,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461447,3,1,1,0,1,3lyo0vqgndy4fuzlfo5l9ql30,1,49.9,49.4,2023-04-29T06:03:19.013Z,2023-05-03T14:37:58Z,4233613407,56,Back,4233613413,212,18.8,4233613409,140,32.0,4233613417,279,S,4233613415,213,3.2,4233613411,141,49.0,,,,,,,6vedxvw1nzhkl23yi0wkxaaj9,Y. Muto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461457,4,1,1,0,4,3lyo0vqgndy4fuzlfo5l9ql30,0,30.1,46.6,2023-04-29T06:03:22.518Z,2023-04-29T06:03:24Z,4233613453,141,23.6,4233613449,56,Center,4233613451,140,64.0,4233613459,1,,4233613457,213,5.9,4233613447,155,,4233613455,212,38.9,,,,aju96fh38fg93pp3dasz29hwp,Y. Tatsuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461461,3,8,1,0,7,6bus1cl4b6zdm93290r02o7cx,1,33.5,85.4,2023-04-29T06:03:25.485Z,2023-05-03T14:38:52Z,4247034955,384,,4233613465,56,Back,,,,,,,,,,,,,,,,,,,3qguujjae7411ruqhztrfojys,K. Sato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461465,4,49,1,0,8,6bus1cl4b6zdm93290r02o7cx,1,36.5,83.5,2023-04-29T06:03:26.698Z,2023-04-29T06:03:26Z,,,,,,,,,,,,,,,,,,,,,,,,,1ohbb8qqo4atptaijs269i6i2,N. Misawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461471,5,61,1,0,9,6bus1cl4b6zdm93290r02o7cx,1,38.1,82.1,2023-04-29T06:03:27.665Z,2023-04-29T06:03:27Z,4233613493,56,Back,,,,,,,,,,,,,,,,,,,,,,1ohbb8qqo4atptaijs269i6i2,N. Misawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461479,6,1,1,0,11,6bus1cl4b6zdm93290r02o7cx,0,41.6,76.6,2023-04-29T06:03:29.050Z,2023-04-29T06:03:30Z,4233613517,140,73.6,4233613521,212,43.9,4233613515,56,Center,4233613525,1,,4233613519,141,35.1,4233613523,213,5.6,4233613513,155,,,,,3qguujjae7411ruqhztrfojys,K. Sato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540461485,5,49,1,0,13,3lyo0vqgndy4fuzlfo5l9ql30,1,31.6,76,2023-04-29T06:03:31.154Z,2023-04-29T06:03:31Z,,,,,,,,,,,,,,,,,,,,,,,,,4dcx2psoevoocmxjm4mrokyqx,H. Mitsumaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
