id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/11/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,keyPass,qualifier/13/value,qualifier/15/value,qualifier/14/value,qualifier/18/value
2499128315,1,34,16,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2023-01-21T14:09:42.668Z,2023-01-22T09:29:49Z,3987175217,30,"59doy2i09c6fgoh7w9m3l5tcl, 8jn4wq3d1ro8f89lttw4b9rzd, 5f13ro5hgmago2bmqtzjw5ey, 8xr7cy8cy89qfxyi1n3egt82c, 6w1hily3yj7vvidhhgi4fqdat, 7u76uh9164fs8tx6zqw0icqtx, 77wkqbxkqix367lc0ccnym86h, bhn5mxfek9byb7m8sovpizzkl, 5l6a4uxq1vzo91ugdcjq3jw7p, a375qgbjxnpucpz3hprf2fkr9, cg748vqllo7gdcz5id1gvqggl, c3jbxepn3kto8fqtdewnghp05, 3ve1os3e9tjd2isgxt11vzaei, az21s916gcylcjy5riyia9239, 5i4hanhs1igx4grc5rt6cj4oa, 9e6u0dxjpjoyfc0f87vtem85x, 7ojr3svfuiak6zm6pjrc18mhh, trfphpn8we6pjhp5dm8dp2j8",3987175229,197,12041,3987175225,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3987175219,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3987175221,59,"1, 11, 7, 26, 4, 22, 6, 25, 93, 12, 20, 3, 5, 9, 16, 23, 38, 46",3987175227,194,59doy2i09c6fgoh7w9m3l5tcl,3987175231,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987175223,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499131183,1,34,16,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2023-01-21T14:13:53.489Z,2023-01-21T16:17:43Z,3987190781,130,13,3987190779,59,"1, 32, 11, 24, 33, 22, 7, 8, 9, 39, 45, 4, 5, 14, 17, 20, 23, 25",3987190785,194,auqy1bigw2a1owxg441wojzyt,3987190783,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3987190787,197,8173,3987190777,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3987190775,30,"6qlfe04qjldj3rkeeme6gdi39, 9qm1adecprlczxw7ldbpvoi51, bjhjz96omjukrg6tj3mny39t6, 9kywhmzih4xhuz5d1rrxjcpd6, 5ujoracvgg00kzd0a8rh8oa1h, e2z19y8is5m24brpa3gzn02qx, auqy1bigw2a1owxg441wojzyt, 7xs1rx9jos4ls85u362y9hqeh, 21545vwheo9a30u5hgnsrecmi, dd711ekg0nlaosmsy2lz13syy, 96xomdtz505yoaz35i5bb8f84, 8hl43dvm1d57g011yacyoooa1, 2j8y06wuinnx87eetadj55zo5, 12c7rhdjh6rja1d2j45n3exyi, 5zpg8fnqc4luuhlonsn5nbw4q, 2aemkadh3bhtgm5db8r89pvit, bxcrdkrcljgx6l4o0uy4rom3t, 7y2fbdkqsz35hgsib6rail1hx",3987190789,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167499,2,32,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2023-01-21T15:01:03.685Z,2023-01-21T20:57:46Z,3987372671,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167505,2,32,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2023-01-21T15:01:03.685Z,2023-01-21T15:01:04Z,3987372719,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167567,3,1,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,49.8,50,2023-01-21T15:01:03.706Z,2023-01-21T21:15:23Z,3987372979,213,2.9,3987372981,279,S,3988948719,178,,3987372977,212,20.3,3987372973,140,31.2,3987372975,141,58.1,3987372971,56,Back,,,,21545vwheo9a30u5hgnsrecmi,L. Foster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167639,4,1,1,0,2,2nhn3ikl1ciq34w3hcp883d6p,1,29.9,58.6,2023-01-21T15:01:06.604Z,2023-01-22T04:24:54Z,3987373339,141,16.2,3987373341,212,29.3,3987373343,213,4.5,3987373337,140,24.8,3987373335,56,Back,3988950787,178,,,,,,,,9kywhmzih4xhuz5d1rrxjcpd6,R. Tagir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167651,5,1,1,0,6,2nhn3ikl1ciq34w3hcp883d6p,0,21.1,12.3,2023-01-21T15:01:10.652Z,2023-01-22T04:24:53Z,3988951015,178,,3987373403,141,14.3,3987373385,155,,3987373407,212,25.8,3987373411,213,0.1,3987373397,140,45.6,3987373391,56,Back,,,,e2z19y8is5m24brpa3gzn02qx,B. Reynolds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167681,3,1,1,0,8,547zzwqbiugzphhnrhj3z5k5i,0,52.8,84,2023-01-21T15:01:11.927Z,2023-01-22T04:24:52Z,3987373541,3,,3987373553,213,5.0,3987373545,140,58.2,3987373543,56,Center,3987373547,141,56.4,3988951213,388,,3987373549,212,19.6,,,,8xr7cy8cy89qfxyi1n3egt82c,N. Dismas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167739,6,1,1,0,10,2nhn3ikl1ciq34w3hcp883d6p,0,38.6,35.5,2023-01-21T15:01:13.713Z,2023-01-22T04:24:52Z,3987373807,56,Center,3987373805,157,,3987373809,140,65.1,3987373817,1,,3987373813,212,27.9,3988951377,178,,3987373815,213,0.1,3987373811,141,38.5,auqy1bigw2a1owxg441wojzyt,L. Van Eenoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167743,4,1,1,0,12,547zzwqbiugzphhnrhj3z5k5i,0,36.1,58.8,2023-01-21T15:01:15.960Z,2023-01-22T04:24:51Z,3987373843,213,0.0,3987373835,56,Center,3987373833,3,,3987373841,212,25.6,3988951627,178,,3987373837,140,60.5,3987373839,141,59.3,,,,7u76uh9164fs8tx6zqw0icqtx,B. Sørmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
