id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/10/value,assist,qualifier/16/value,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2504616489,1,34,16,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2023-02-05T17:24:35.539Z,2023-02-06T12:23:35Z,4015887111,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4015887117,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4015887107,59,"49, 2, 11, 28, 16, 26, 23, 10, 18, 7, 20, 6, 8, 21, 29, 44, 85, 94",4015887115,197,5945,4015887103,30,"a8kdcx3797ityilpw31jaj4r9, aajft01g5yggw0is5fbfh3105, ai5p5wgft6c09bjbldz9sfeac, 4rh8xwozidxiwvl4wi2rn0fe1, 5w0ohhrm0ojscyjh3e0o8ffmd, f0ean6buvvp9l4rh1ayvnnill, di9k6xr6j4arjoltl7s9yp6cq, 6xam5bquregefbepxd9rwfdh, 81sfrpdzz1nymxg1b5noo67ai, a6cke0ad2pvuyahweuch772ay, 39tod1iad3ztq17qveh8pwp9l, 7a6hqi5iy91onh9u7l7t88tbe, 5j13tgvpwi7m3y6rjd8q08tt5, 1a9u2g4hynrz2e93sz1evhpzp, 15odj8wui8136996wi2d5t7md, 1i1xcco82x0ppbac6j5z59x49, 2fbq6ac2mma2tyjc2kqrpfms4, e44w6g1c1ojf854svzswpl0x5",4015887109,130,12,4015887105,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4015887113,194,6xam5bquregefbepxd9rwfdh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504617465,1,34,16,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2023-02-05T17:26:34.766Z,2023-02-05T18:13:24Z,4015892169,197,12041,4015892151,30,"59doy2i09c6fgoh7w9m3l5tcl, 2s28r7f625hrj5fioyxn6apd5, 3ve1os3e9tjd2isgxt11vzaei, 8xr7cy8cy89qfxyi1n3egt82c, c3jbxepn3kto8fqtdewnghp05, 4ju2soyxqa6hu0oo007ej8wdl, cg748vqllo7gdcz5id1gvqggl, a375qgbjxnpucpz3hprf2fkr9, 9e6u0dxjpjoyfc0f87vtem85x, ezud7bjx19v8omsscz0z8fywa, 77wkqbxkqix367lc0ccnym86h, az21s916gcylcjy5riyia9239, 5i4hanhs1igx4grc5rt6cj4oa, 7u76uh9164fs8tx6zqw0icqtx, bhn5mxfek9byb7m8sovpizzkl, eatq6far6quj8ihqxt3a4iuc4, 7ojr3svfuiak6zm6pjrc18mhh, trfphpn8we6pjhp5dm8dp2j8",4015892165,194,59doy2i09c6fgoh7w9m3l5tcl,4015892163,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4015892159,130,12,4015892155,59,"1, 14, 5, 26, 3, 19, 20, 12, 23, 35, 6, 9, 16, 22, 25, 34, 38, 46",4015892173,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4015892153,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504645275,2,32,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2023-02-05T18:15:48.152Z,2023-02-05T18:15:48Z,4016046857,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504645283,2,32,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2023-02-05T18:15:48.152Z,2023-02-06T06:37:46Z,4016046883,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504645341,3,1,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,49.8,50.1,2023-02-05T18:15:48.551Z,2023-02-06T06:54:45Z,4016974997,178,,4016047125,279,S,4016047117,140,29.7,4016047123,213,3.5,4016047121,212,22.7,4016047119,141,37.7,4016047115,56,Back,,,,6xam5bquregefbepxd9rwfdh,T. Teuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504645385,4,1,1,0,2,ecj1gmc7pqcjo4sc9hvghj5u3,1,28.3,46.9,2023-02-05T18:15:50.972Z,2023-02-06T12:11:34Z,4016975031,178,,4016047329,212,29.9,4016047325,140,43.4,4016047323,56,Back,4016047327,141,9.7,4016047331,213,5.3,,,,,,,5w0ohhrm0ojscyjh3e0o8ffmd,C. Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504645407,5,1,1,0,7,ecj1gmc7pqcjo4sc9hvghj5u3,1,49.6,10.1,2023-02-05T18:15:55.791Z,2023-02-06T12:11:33Z,4016975099,178,,4016047425,213,6.0,4016047417,56,Right,4016047423,212,11.0,4016047419,140,59.5,4016047421,141,4.9,,,,,,,f0ean6buvvp9l4rh1ayvnnill,R. Sykes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504645421,6,1,1,0,8,ecj1gmc7pqcjo4sc9hvghj5u3,1,56.7,2.3,2023-02-05T18:15:57.114Z,2023-02-06T12:11:32Z,4016047487,140,44.9,4016047491,212,13.8,4016975167,178,,4016047485,56,Back,4016047489,141,11.3,4016047493,213,2.7,,,,,,,aajft01g5yggw0is5fbfh3105,B. Nieuwkoop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504645443,7,1,1,0,10,ecj1gmc7pqcjo4sc9hvghj5u3,0,49.6,9.4,2023-02-05T18:15:58.323Z,2023-02-06T12:11:31Z,4016047591,56,Right,4016047611,1,,4016047607,212,33.3,4016975193,178,,4016047595,140,81.2,4016047603,141,14.0,4016047589,155,,4016047609,213,0.1,6xam5bquregefbepxd9rwfdh,T. Teuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504645501,3,1,1,0,11,547zzwqbiugzphhnrhj3z5k5i,1,24.1,89.7,2023-02-05T18:16:00.094Z,2023-02-06T12:11:31Z,4016047863,3,,4016047871,212,12.5,4016047865,56,Back,4016047869,141,92.9,4016047873,213,0.2,4016975241,388,,4016047867,140,35.8,,,,8xr7cy8cy89qfxyi1n3egt82c,N. Dismas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
