id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2495928239,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-01-08T14:12:15.536Z,2023-01-08T14:57:22Z,3970290979,30,"calut2wcnvfps97uj7dartf4l, 4kuxth5k98x4cgfrfweu1u51, mlqit2c8my1ewqy6avrfhf8q, 1df9uegp2hsbc4813no3mdvx1, btz2lf5s3h6svre1o5jgmvf85, cne8uwbnrwbwqjpj3pme1kbmx, ezg4lhvy2z4pkyvfrmi17y11x, 25ey2mcvgwz6ls2612os5hzv9, evktllmp3l6mfb6o4im0ag0ve, 3eywxsna9qzi1egis1uj4l6mt, 9aafa664l1husrkrgqv25l42d, b6hva6wki38za3hipscirr4h6, 5egzwt11xlx1vz5dk9yu29q1g, 4lvn9721huirh2vvjvb07mdqs, 9ov7tj31hixo7xp0tfffuhpn8, bihng5zkoeutve0fpxrwo5yj8, a0do5nhxesd0a4gp1gpsmpwd0, cxuqd5jlug75nm2blahmxek2c",3970290993,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970290983,59,"15, 5, 18, 22, 27, 14, 66, 16, 10, 7, 11, 6, 28, 31, 34, 35, 38, 39",3970290991,197,1947,3970290981,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3970290987,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3970290985,130,4,3970290989,194,25ey2mcvgwz6ls2612os5hzv9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495939457,1,34,16,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2023-01-08T14:33:06.569Z,2023-01-08T16:01:01Z,3970351789,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3970351799,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3970351793,59,"1, 14, 7, 26, 4, 22, 6, 20, 12, 93, 25, 3, 10, 11, 23, 69, 27, 46",3970351805,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970351797,130,12,3970351785,30,"59doy2i09c6fgoh7w9m3l5tcl, 2s28r7f625hrj5fioyxn6apd5, 5f13ro5hgmago2bmqtzjw5ey, 8xr7cy8cy89qfxyi1n3egt82c, 6w1hily3yj7vvidhhgi4fqdat, 7u76uh9164fs8tx6zqw0icqtx, 77wkqbxkqix367lc0ccnym86h, cg748vqllo7gdcz5id1gvqggl, a375qgbjxnpucpz3hprf2fkr9, 5l6a4uxq1vzo91ugdcjq3jw7p, bhn5mxfek9byb7m8sovpizzkl, c3jbxepn3kto8fqtdewnghp05, cngitl9unybpxpdle1nlc5qms, 8jn4wq3d1ro8f89lttw4b9rzd, 9e6u0dxjpjoyfc0f87vtem85x, 7ojr3svfuiak6zm6pjrc18mhh, 55uupregn272wdtpnundb8z1m, trfphpn8we6pjhp5dm8dp2j8",3970351801,194,59doy2i09c6fgoh7w9m3l5tcl,3970351803,197,12041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955231,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-01-08T15:00:35.612Z,2023-01-08T15:00:38Z,3970443965,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955225,2,32,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2023-01-08T15:00:35.612Z,2023-01-08T21:40:32Z,3970443921,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955235,3,1,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,49.9,50.1,2023-01-08T15:00:35.633Z,2023-01-09T06:31:58Z,3970443977,212,16.9,3970443975,141,53.6,3971336715,178,,3970443973,140,34.0,3970443971,56,Back,3970443979,213,3.0,3970443981,279,S,,,,25ey2mcvgwz6ls2612os5hzv9,R. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955281,4,1,1,0,2,b7jmo07lqav0wfe2mtlzyspak,0,33.9,54.6,2023-01-08T15:00:38.007Z,2023-01-09T07:08:10Z,3970444209,56,Right,3970444215,212,63.2,3970444217,213,5.6,3970444211,140,82.1,3970444213,141,0.0,3971336727,178,,3970444207,155,,3970444219,1,,cne8uwbnrwbwqjpj3pme1kbmx,D. Lavalée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955345,3,5,1,0,7,547zzwqbiugzphhnrhj3z5k5i,1,16.2,101.4,2023-01-08T15:00:43.437Z,2023-01-09T00:52:45Z,3970444551,56,Back,3970444553,347,,3970444555,233,5,,,,,,,,,,,,,,,,5f13ro5hgmago2bmqtzjw5ey,A. Fadera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955285,5,5,1,0,7,b7jmo07lqav0wfe2mtlzyspak,0,83.8,-1.4,2023-01-08T15:00:43.437Z,2023-01-09T00:52:46Z,3970444227,347,,3970444559,233,3,3970444225,56,Right,,,,,,,,,,,,,,,,cne8uwbnrwbwqjpj3pme1kbmx,D. Lavalée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955361,4,1,1,0,18,547zzwqbiugzphhnrhj3z5k5i,0,21,100,2023-01-08T15:00:54.173Z,2023-01-09T07:08:10Z,3970444643,141,97.2,3970444641,140,56.9,3970444645,212,37.8,3970444639,56,Left,3970444647,213,6.2,3970444649,1,,3970444637,107,,,,,8xr7cy8cy89qfxyi1n3egt82c,N. Dismas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955369,6,1,1,0,21,b7jmo07lqav0wfe2mtlzyspak,1,45.4,6.2,2023-01-08T15:00:57.449Z,2023-01-09T07:08:09Z,3970444673,56,Right,3970444671,3,,3970444675,140,51.6,3970444677,141,8.6,3970444681,213,0.2,3971337029,388,,3970444679,212,6.7,,,,cne8uwbnrwbwqjpj3pme1kbmx,D. Lavalée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955371,7,1,1,0,23,b7jmo07lqav0wfe2mtlzyspak,0,49.9,5.1,2023-01-08T15:00:58.658Z,2023-01-09T07:08:09Z,3970444689,140,58.1,3971337089,178,,3970444691,141,5.6,3970444693,212,8.6,3970444697,1,,3970444687,56,Right,3970444695,213,0.0,3970444685,157,,4kuxth5k98x4cgfrfweu1u51,S. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955381,5,1,1,0,24,547zzwqbiugzphhnrhj3z5k5i,0,38.3,96.1,2023-01-08T15:01:00.437Z,2023-01-09T07:08:08Z,3970444727,140,41.6,3970444733,213,0.9,3970444731,212,5.3,3970444725,56,Back,3971337303,388,,3970444723,3,,3970444729,141,100.0,,,,8xr7cy8cy89qfxyi1n3egt82c,N. Dismas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955387,6,5,1,0,26,547zzwqbiugzphhnrhj3z5k5i,0,44.1,102,2023-01-08T15:01:02.563Z,2023-01-09T00:53:40Z,3970444737,56,Back,3970444873,233,8,3970444739,347,,,,,,,,,,,,,,,,,8xr7cy8cy89qfxyi1n3egt82c,N. Dismas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955409,8,5,1,0,26,b7jmo07lqav0wfe2mtlzyspak,1,55.9,-2,2023-01-08T15:01:02.563Z,2023-01-09T00:53:40Z,3970444865,233,6,3970444863,347,,3970444861,56,Right,,,,,,,,,,,,,,,,ezg4lhvy2z4pkyvfrmi17y11x,B. Verstraete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955451,9,1,1,0,33,b7jmo07lqav0wfe2mtlzyspak,1,59.7,0,2023-01-08T15:01:08.642Z,2023-01-09T07:08:08Z,3970445045,213,0.2,3970445039,140,87.1,3970445043,212,29.7,3970445041,141,8.9,3970445035,107,,3970445049,1,,3970445037,56,Right,,,,4kuxth5k98x4cgfrfweu1u51,S. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955447,7,4,1,0,37,547zzwqbiugzphhnrhj3z5k5i,1,8.1,90.5,2023-01-08T15:01:12.660Z,2023-01-09T07:08:08Z,3970445021,13,,3970445023,294,,3970445089,233,10,3970445027,152,,3970445025,56,Back,3970445029,285,,,,,,,,6w1hily3yj7vvidhhgi4fqdat,T. Derijck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955455,10,4,1,0,37,b7jmo07lqav0wfe2mtlzyspak,0,91.9,9.5,2023-01-08T15:01:12.661Z,2023-01-09T07:08:07Z,3970445071,294,,3970445073,56,Right,3970445075,152,,3970445077,286,,3971337645,178,,3970445069,13,,3970445107,233,7,,,,evktllmp3l6mfb6o4im0ag0ve,Y. Malede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955565,8,1,1,1,0,547zzwqbiugzphhnrhj3z5k5i,1,11.3,76.4,2023-01-08T15:01:35.916Z,2023-01-09T07:08:07Z,3971337715,178,,3970445783,140,62.4,3970445789,213,0.0,3970445777,155,,3970445775,5,,3970445779,152,,3970445791,1,,3970445781,56,Center,59doy2i09c6fgoh7w9m3l5tcl,S. Bossut,3970445787,212,53.7,3970445785,141,77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955571,9,1,1,1,3,547zzwqbiugzphhnrhj3z5k5i,0,59.6,72.1,2023-01-08T15:01:38.918Z,2023-01-09T07:08:06Z,3970445819,141,73.9,3970445823,213,0.1,3970445821,212,15.6,3970445817,140,74.4,3970445815,56,Center,3971337769,388,,3970445813,168,,3970445811,3,,5l6a4uxq1vzo91ugdcjq3jw7p,Zinho Gano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955573,12,1,1,1,4,b7jmo07lqav0wfe2mtlzyspak,0,30.2,30.5,2023-01-08T15:01:39.698Z,2023-01-09T07:08:06Z,3970445841,1,,3970445829,157,,3971337809,178,,3970445839,213,1.2,3970445835,141,68.5,3970445837,212,28.3,3970445833,140,41.2,3970445831,56,Back,btz2lf5s3h6svre1o5jgmvf85,D. Bates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955563,11,43,1,1,4,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-01-08T15:01:40.225Z,2023-01-08T18:26:13Z,3970979723,144,1,3970445759,140,26.1,3970445765,213,3.1,3970445757,56,Back,3970445755,3,0,3970445763,212,13.7,3970445761,141,32.5,,,,1df9uegp2hsbc4813no3mdvx1,Alessio Da Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495955595,10,61,1,1,7,547zzwqbiugzphhnrhj3z5k5i,0,55.9,29.6,2023-01-08T15:01:42.657Z,2023-01-09T07:08:05Z,3970445979,56,Center,3971337895,388,,3971337893,21,,,,,,,,,,,,,,,,,2s28r7f625hrj5fioyxn6apd5,A. Ciranni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
