id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2465674945,1,34,16,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2022-10-01T15:09:16.548Z,2022-10-03T10:15:04Z,3810306199,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3810306211,194,6qlfe04qjldj3rkeeme6gdi39,3810306209,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3810405791,197,8173,3810306197,30,"6qlfe04qjldj3rkeeme6gdi39, e2z19y8is5m24brpa3gzn02qx, bjhjz96omjukrg6tj3mny39t6, f3wwl40dd2xm8oeof6n6y7rhl, bxcrdkrcljgx6l4o0uy4rom3t, 9kywhmzih4xhuz5d1rrxjcpd6, 1kr8slemziskw8bm2ir4shlud, 7xs1rx9jos4ls85u362y9hqeh, 21545vwheo9a30u5hgnsrecmi, 5zpg8fnqc4luuhlonsn5nbw4q, 2j8y06wuinnx87eetadj55zo5, 8hl43dvm1d57g011yacyoooa1, 12c7rhdjh6rja1d2j45n3exyi, 2aemkadh3bhtgm5db8r89pvit, 9qm1adecprlczxw7ldbpvoi51, 5ujoracvgg00kzd0a8rh8oa1h, 96xomdtz505yoaz35i5bb8f84, 1ezai0a0n3xem17lwhtxwaml1",3810306213,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3810306203,59,"1, 22, 11, 6, 23, 24, 35, 8, 9, 17, 5, 4, 14, 20, 32, 33, 45, 55",3810306207,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465689785,1,34,16,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2022-10-01T15:15:11.811Z,2022-10-03T10:15:13Z,3810383203,59,"1, 2, 5, 31, 18, 4, 6, 20, 9, 7, 11, 8, 14, 25, 26, 27, 34, 47",3810383207,130,13,3810383201,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3810383209,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3810433223,197,12041,3810383199,30,"59doy2i09c6fgoh7w9m3l5tcl, 1ida40i5ob58takouu5a7r2l1, 3ve1os3e9tjd2isgxt11vzaei, 9urqzncna9izqyoaysnjq52lm, 7yek1fu5x7yoqc4raxja0i5uc, 6w1hily3yj7vvidhhgi4fqdat, 77wkqbxkqix367lc0ccnym86h, cg748vqllo7gdcz5id1gvqggl, az21s916gcylcjy5riyia9239, 5f13ro5hgmago2bmqtzjw5ey, 8jn4wq3d1ro8f89lttw4b9rzd, 8k4wwchytdstpn0yhrxd5nbv9, 2s28r7f625hrj5fioyxn6apd5, 7ojr3svfuiak6zm6pjrc18mhh, 8xr7cy8cy89qfxyi1n3egt82c, 55uupregn272wdtpnundb8z1m, eatq6far6quj8ihqxt3a4iuc4, fu4y7y6dd3uxi42dk4woxm38",3810383215,194,59doy2i09c6fgoh7w9m3l5tcl,3810383219,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465791407,2,32,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2022-10-01T16:15:21.148Z,2022-10-01T16:15:23Z,3810933291,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465791385,2,32,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2022-10-01T16:15:21.148Z,2022-10-01T19:51:26Z,3810933257,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465791457,3,1,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,50.1,50.3,2022-10-01T16:15:21.160Z,2022-10-02T05:36:58Z,3810933517,141,29.4,3810933513,56,Back,3810933523,279,S,3810933519,212,18.9,3810933515,140,38.2,3810933521,213,4.0,3813416477,178,,,,,5zpg8fnqc4luuhlonsn5nbw4q,M. Gümüşkaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465791515,4,1,1,0,2,2nhn3ikl1ciq34w3hcp883d6p,1,41.7,57.2,2022-10-01T16:15:23.687Z,2022-10-02T10:02:48Z,3810933865,212,17.5,3810933861,140,25.0,3810933859,56,Back,3810933867,213,3.1,3810933863,141,57.9,3813416553,178,,,,,,,,f3wwl40dd2xm8oeof6n6y7rhl,Lucas Mineiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465791539,5,1,1,0,5,2nhn3ikl1ciq34w3hcp883d6p,1,27.7,61.2,2022-10-01T16:15:26.778Z,2022-10-02T10:02:48Z,3810933995,56,Back,3810933999,141,19.4,3810934003,213,4.6,3813416589,178,,3810934001,212,28.5,3810933997,140,25.5,,,,,,,9kywhmzih4xhuz5d1rrxjcpd6,R. Tagir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465791557,6,1,1,0,8,2nhn3ikl1ciq34w3hcp883d6p,1,25.5,24.8,2022-10-01T16:15:29.536Z,2022-10-02T10:02:47Z,3810934099,212,16.9,3810934095,140,38.2,3810934101,213,5.6,3810934093,56,Back,3810934097,141,9.5,3813416659,178,,,,,,,,bxcrdkrcljgx6l4o0uy4rom3t,R. Seigers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465791603,7,1,1,0,10,2nhn3ikl1ciq34w3hcp883d6p,1,30.3,7.3,2022-10-01T16:15:31.766Z,2022-10-02T10:02:46Z,3810934363,213,2.1,3810934357,140,25.5,3810934361,212,10.4,3813416779,178,,3810934355,56,Back,3810934359,141,20.7,,,,,,,e2z19y8is5m24brpa3gzn02qx,B. Reynolds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465791637,8,1,1,0,13,2nhn3ikl1ciq34w3hcp883d6p,1,15.9,18.2,2022-10-01T16:15:34.201Z,2022-10-02T10:02:45Z,3810934547,213,1.8,3810934543,141,36.1,3813416883,178,,3810934541,140,13.0,3810934545,212,12.5,3810934539,56,Back,,,,,,,bxcrdkrcljgx6l4o0uy4rom3t,R. Seigers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465791741,9,1,1,0,16,2nhn3ikl1ciq34w3hcp883d6p,1,15.5,53.9,2022-10-01T16:15:37.327Z,2022-10-02T10:02:45Z,3810934975,213,1.0,3810934971,141,86.3,3810934969,140,27.7,3810934973,212,25.5,3813416963,178,,3810934967,56,Back,,,,,,,6qlfe04qjldj3rkeeme6gdi39,S. Bolat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465791779,10,1,1,0,20,2nhn3ikl1ciq34w3hcp883d6p,1,40.6,92.7,2022-10-01T16:15:41.745Z,2022-10-02T10:02:44Z,3810935189,212,21.0,3810935177,56,Back,3810935181,140,29.8,3810935185,141,66.7,3810935191,213,4.1,3813417019,178,,,,,,,,bjhjz96omjukrg6tj3mny39t6,M. De Cuyper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465791865,11,1,1,0,23,2nhn3ikl1ciq34w3hcp883d6p,1,29.9,70.8,2022-10-01T16:15:44.382Z,2022-10-02T10:02:43Z,3810935623,213,4.8,3810935617,140,31.8,3810935621,212,36.4,3810935615,56,Back,3810935619,141,17.3,3813704691,1,,3813417129,178,,,,,f3wwl40dd2xm8oeof6n6y7rhl,Lucas Mineiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465791929,12,1,1,0,26,2nhn3ikl1ciq34w3hcp883d6p,1,28.4,20.7,2022-10-01T16:15:47.750Z,2022-10-02T10:02:42Z,3810935957,212,14.2,3810935953,140,38.0,3813417243,178,,3810935959,213,5.5,3810935951,56,Back,3810935955,141,5.9,,,,,,,bxcrdkrcljgx6l4o0uy4rom3t,R. Seigers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465791969,13,1,1,0,30,2nhn3ikl1ciq34w3hcp883d6p,1,39.1,8.3,2022-10-01T16:15:51.452Z,2022-10-02T10:02:41Z,3810936131,141,15.9,3810936135,213,2.8,3810936127,56,Back,3810936133,212,15.9,3813417385,178,,3810936129,140,24.8,,,,,,,e2z19y8is5m24brpa3gzn02qx,B. Reynolds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465792079,14,1,1,0,32,2nhn3ikl1ciq34w3hcp883d6p,1,22.2,18.3,2022-10-01T16:15:54.034Z,2022-10-02T10:02:40Z,3810936667,140,23.1,3810936673,213,1.5,3810936669,141,57.2,3810936665,56,Back,3813417457,178,,3810936671,212,26.5,,,,,,,bxcrdkrcljgx6l4o0uy4rom3t,R. Seigers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465792119,15,1,1,0,37,2nhn3ikl1ciq34w3hcp883d6p,1,23.2,70.9,2022-10-01T16:15:58.208Z,2022-10-02T10:02:39Z,3810936925,213,1.2,3810936919,141,93.6,3810936907,56,Back,3810936923,212,16.4,3810936913,140,28.6,3813417573,178,,,,,,,,9kywhmzih4xhuz5d1rrxjcpd6,R. Tagir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465792173,16,1,1,0,39,2nhn3ikl1ciq34w3hcp883d6p,1,35,91.1,2022-10-01T16:16:00.200Z,2022-10-02T10:02:39Z,3810937235,212,16.6,3810937231,140,24.8,3810937237,213,4.0,3810937233,141,72.4,3813417651,178,,3810937229,56,Back,,,,,,,bjhjz96omjukrg6tj3mny39t6,M. De Cuyper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
