id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,keyPass,assist,qualifier/15/value,qualifier/17/value,qualifier/18/value
2446334825,1,34,16,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2022-08-14T18:14:26.147Z,2022-08-15T08:32:13Z,3707550647,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707550633,30,"59doy2i09c6fgoh7w9m3l5tcl, 2s28r7f625hrj5fioyxn6apd5, 3ve1os3e9tjd2isgxt11vzaei, cg748vqllo7gdcz5id1gvqggl, 7yek1fu5x7yoqc4raxja0i5uc, c3jbxepn3kto8fqtdewnghp05, 77wkqbxkqix367lc0ccnym86h, 8k4wwchytdstpn0yhrxd5nbv9, az21s916gcylcjy5riyia9239, 5f13ro5hgmago2bmqtzjw5ey, 5g5ml1wwa9dfhsh55hv7br45x, 1ida40i5ob58takouu5a7r2l1, cngitl9unybpxpdle1nlc5qms, 9e6u0dxjpjoyfc0f87vtem85x, 7ojr3svfuiak6zm6pjrc18mhh, 8xr7cy8cy89qfxyi1n3egt82c, 9urqzncna9izqyoaysnjq52lm, eatq6far6quj8ihqxt3a4iuc4",3707550639,130,4,3707550635,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3707550645,197,12041,3707550641,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3707550643,194,59doy2i09c6fgoh7w9m3l5tcl,3707550637,59,"1, 14, 5, 20, 18, 3, 6, 8, 9, 7, 17, 2, 10, 23, 25, 26, 31, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446338313,1,34,16,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2022-08-14T18:22:16.289Z,2022-08-14T18:22:16Z,3707571593,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3707571601,194,a8k3ubqsi0duc3g4u5jnvcoa1,3707571605,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707571595,59,"26, 23, 5, 8, 46, 2, 28, 17, 35, 34, 11, 4, 10, 18, 40, 77, 22, 25",3707571599,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3707571591,30,"jflu7a5n4f3ezoj20z0kje5m, 3yb66hal4fvr04bawz0y3efhl, d1rgv9cgncdgr1h61phrxoc89, a8k3ubqsi0duc3g4u5jnvcoa1, 68vmg4qgr11vppc48hs8402jt, 5enjhxrx2jrjqtgb9wwq0baax, 1b6ab1mqzvhk547p0bdzbccfd, ama1ibpjcfu206icrfmkgfavp, 561pn6ha3pwbofjt8gbqhj0iy, 7jpasvui43tnyao6ijyuuyuqc, 9pvc7e65cfgtuipfen5zt463t, cma24hkdklib8007a42cso38q, 14w9q2mu6yq235ic55fxs0w2y, 7wh91ajt4v3w9kfdpp5hf5mmt, 7zmgaactx19n77j9fl08pahyi, c8m4ox6n1v89qbbjq73s5ezmx, an7okg1fciccqu6300k8phisq, 43nbjlhluajhnansrk7xmirkk",3707571597,130,8,3707571603,197,3313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446358995,2,32,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2022-08-14T19:00:55.479Z,2022-08-15T05:08:57Z,3707693767,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446359007,2,32,1,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2022-08-14T19:00:55.479Z,2022-08-14T19:00:58Z,3707693803,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446359037,3,1,1,0,0,89xivtxk59uzvhdsd6miao6tm,1,49.9,50.1,2022-08-14T19:00:55.607Z,2022-08-15T05:32:43Z,3707693961,279,S,3708986339,178,,3707693953,140,40.0,3707693957,212,11.0,3707693959,213,2.8,3707693951,56,Back,3707693955,141,55.3,,,,7jpasvui43tnyao6ijyuuyuqc,B. El Khannouss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446359069,4,1,1,0,1,89xivtxk59uzvhdsd6miao6tm,1,38.5,51.6,2022-08-14T19:00:57.260Z,2022-08-15T11:08:37Z,3708986429,178,,3707694163,56,Back,3707694169,212,17.7,3707694165,140,28.0,3707694167,141,31.3,3707694171,213,4.0,,,,,,,ama1ibpjcfu206icrfmkgfavp,P. Hrošovský,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446359111,5,1,1,0,3,89xivtxk59uzvhdsd6miao6tm,1,32.8,33.2,2022-08-14T19:00:59.408Z,2022-08-15T11:08:36Z,3707694419,140,40.0,3707694433,213,5.1,3707694425,141,7.1,3708986561,178,,3707694429,212,19.3,3707694409,56,Back,,,,,,,68vmg4qgr11vppc48hs8402jt,C. Cuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446359135,6,1,1,0,6,89xivtxk59uzvhdsd6miao6tm,1,45.9,3.1,2022-08-14T19:01:02.400Z,2022-08-15T11:08:35Z,3707694557,140,63.9,3708986613,178,,3707694563,213,0.1,3707694555,56,Right,3707694559,141,6.1,3707694561,212,19.0,,,,,,,3yb66hal4fvr04bawz0y3efhl,D. Muñoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446359199,7,1,1,0,9,89xivtxk59uzvhdsd6miao6tm,1,60,3.2,2022-08-14T19:01:04.549Z,2022-08-15T11:08:35Z,3708986669,178,,3707694967,213,1.2,3707694965,212,12.9,3707694961,140,64.4,3707694963,141,20.9,3707694959,56,Right,,,,,,,7jpasvui43tnyao6ijyuuyuqc,B. El Khannouss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446561599,768,3,1,0,11,89xivtxk59uzvhdsd6miao6tm,1,68.2,20.2,2022-08-14T19:01:06.975Z,2022-08-15T11:08:33Z,3708938917,233,852,3708847071,56,Right,3708986783,178,,3708847073,286,,3708847155,465,,,,,,,,,,,3yb66hal4fvr04bawz0y3efhl,D. Muñoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
