id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/17/value
2519166549,1,34,16,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2023-03-12T14:02:50.697Z,2023-03-12T15:15:22Z,4092717309,59,"1, 14, 26, 31, 4, 19, 20, 12, 93, 9, 7, 6, 11, 15, 16, 22, 38, 59",4092717307,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4092717305,30,"59doy2i09c6fgoh7w9m3l5tcl, 2s28r7f625hrj5fioyxn6apd5, 8xr7cy8cy89qfxyi1n3egt82c, 9urqzncna9izqyoaysnjq52lm, 6w1hily3yj7vvidhhgi4fqdat, 4ju2soyxqa6hu0oo007ej8wdl, cg748vqllo7gdcz5id1gvqggl, a375qgbjxnpucpz3hprf2fkr9, 5l6a4uxq1vzo91ugdcjq3jw7p, az21s916gcylcjy5riyia9239, 5f13ro5hgmago2bmqtzjw5ey, 77wkqbxkqix367lc0ccnym86h, 8jn4wq3d1ro8f89lttw4b9rzd, 4rd074ih7brltyckdrhx1they, 5i4hanhs1igx4grc5rt6cj4oa, 7u76uh9164fs8tx6zqw0icqtx, 7ojr3svfuiak6zm6pjrc18mhh, dh3x40maobrrxyk5as6batl3o",4092717311,130,17,4092717319,194,59doy2i09c6fgoh7w9m3l5tcl,4092717327,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092717323,197,12041,4092717315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519171563,1,34,16,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-03-12T14:06:31.184Z,2023-03-12T15:26:39Z,4092743053,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092743037,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4092743043,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4092743049,197,3312,4092743041,130,18,4092743039,59,"1, 18, 14, 25, 5, 4, 24, 13, 7, 11, 20, 8, 10, 19, 27, 29, 33, 38",4092743035,30,"6q53ei01tbb5kxjr1mhfjysph, 7s4ws0u4erq1jfobqpsj0aoes, 7dayrhr0c60zbc1b6lig8pm8l, c517lc5fmsd9ugk638s2o9iad, etos5xv3v2ptiktdk5yuhrjkl, bhh6z1ezmsngsu3isbsur2mp6, 18pgjfpl9s8qy32mblzygsyc5, 99tf4co0pm09ayca13ma3lql1, 8fs5klbsyx06c5ds9s1i3xu96, 1khy4w78z012p8z20gcp0nrvt, adrn1x15rsehvnava8q9ofuvo, 9hiut57u02lly1nfdixef8bth, 7dnxkce4kn8qchaavv6e4tm21, 2igz499o21aihmkugktp3nyms, 6dq0jj1p2nozaqiqxlt95cd1w, b9wew8z92aj36vvxfj3q7kxcl, be0ws51ws5cm9wzmcp3ozmklx, 8g1g0ssh8m3lvxjuquov5nk0k",4092743045,194,18pgjfpl9s8qy32mblzygsyc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519233995,2,32,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2023-03-12T15:01:00.423Z,2023-03-13T00:41:06Z,4093070517,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519233997,2,32,1,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-03-12T15:01:00.423Z,2023-03-12T15:01:02Z,4093070519,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519234019,3,1,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,50,49.9,2023-03-12T15:01:00.435Z,2023-03-13T04:45:42Z,4093070607,56,Back,4093070611,140,41.2,4095313281,178,,4093070621,213,3.5,4093070623,279,S,4093070617,212,10.0,4093070613,141,44.3,,,,5l6a4uxq1vzo91ugdcjq3jw7p,Zinho Gano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519234037,4,1,1,0,1,547zzwqbiugzphhnrhj3z5k5i,1,41.4,46.9,2023-03-12T15:01:02.232Z,2023-03-13T10:00:09Z,4093070679,140,35.2,4093070685,213,1.8,4093070677,56,Back,4093070681,141,83.6,4093070683,212,25.8,4095313313,178,,,,,,,,cg748vqllo7gdcz5id1gvqggl,N. Rommens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519234067,5,1,1,0,5,547zzwqbiugzphhnrhj3z5k5i,0,39.3,90,2023-03-12T15:01:05.465Z,2023-03-13T10:00:08Z,4093070845,212,54.5,4093070843,141,58.8,4093070847,213,5.9,4095313377,178,,4093070837,155,,4093070839,56,Center,4093070849,1,,4093070841,140,87.1,8xr7cy8cy89qfxyi1n3egt82c,N. Dismas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519234071,3,52,1,0,8,8y3iucyxguipljcmf87a11bk9,1,14.4,42.1,2023-03-12T15:01:08.856Z,2023-03-13T10:00:07Z,4095313661,178,,4094622803,377,,,,,,,,,,,,,,,,,,,,6q53ei01tbb5kxjr1mhfjysph,P. Nardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519234131,4,1,1,0,13,8y3iucyxguipljcmf87a11bk9,1,13.1,43.6,2023-03-12T15:01:13.569Z,2023-03-13T10:00:07Z,4095314161,178,,4093071125,123,,4093071135,213,1.2,4093071127,56,Back,4093071131,141,72.8,4093071133,212,20.9,4093071129,140,19.4,,,,6q53ei01tbb5kxjr1mhfjysph,P. Nardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519234185,5,1,1,0,15,8y3iucyxguipljcmf87a11bk9,1,21,71.5,2023-03-12T15:01:16.314Z,2023-03-13T10:00:06Z,4093071405,212,22.2,4093071401,140,35.2,4093071403,141,95.6,4093071407,213,0.8,4095314201,178,,4093071399,56,Back,,,,,,,c517lc5fmsd9ugk638s2o9iad,Núrio Fortuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
