id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2502148153,1,34,16,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2023-01-29T16:37:14.439Z,2023-01-29T18:01:23Z,4002929885,30,"59doy2i09c6fgoh7w9m3l5tcl, 8jn4wq3d1ro8f89lttw4b9rzd, 5f13ro5hgmago2bmqtzjw5ey, c3jbxepn3kto8fqtdewnghp05, 6w1hily3yj7vvidhhgi4fqdat, 2s28r7f625hrj5fioyxn6apd5, 77wkqbxkqix367lc0ccnym86h, cg748vqllo7gdcz5id1gvqggl, az21s916gcylcjy5riyia9239, a375qgbjxnpucpz3hprf2fkr9, 8xr7cy8cy89qfxyi1n3egt82c, 3ve1os3e9tjd2isgxt11vzaei, 5i4hanhs1igx4grc5rt6cj4oa, 7u76uh9164fs8tx6zqw0icqtx, 9e6u0dxjpjoyfc0f87vtem85x, 55uupregn272wdtpnundb8z1m, 7ojr3svfuiak6zm6pjrc18mhh, trfphpn8we6pjhp5dm8dp2j8",4002929897,197,12041,4002929887,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4002929895,194,59doy2i09c6fgoh7w9m3l5tcl,4002929899,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002929889,59,"1, 11, 7, 3, 4, 14, 6, 20, 9, 12, 26, 5, 16, 22, 23, 27, 38, 46",4002929891,130,12,4002929893,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502149149,1,34,16,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-01-29T16:38:40.473Z,2023-01-29T17:32:46Z,4002935139,59,"22, 77, 14, 27, 28, 6, 7, 15, 9, 20, 10, 19, 21, 26, 32, 44, 70, 94",4002935143,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4002935141,130,8,4002935149,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002935137,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4002935135,30,"byfrgpc6tgz8lto1gor03y5sl, 6tvnsmtj9mma96e8famksevv9, 16o074zua15qkk7x0me7gi1w4, ecnh65kkhku5mdkr3il4fl6tx, 99jqn2osue4tyo1l7yb93s639, bgzvhtk50gvmq6noheadmc34l, 5asv6uc3a4xxsr9u30kdfc0ve, mkq18lpl3d44wxq974mci5wq, 9mlj7fxon5zy1qmktvvcwjrl6, x3g0yyxs0j4o8fxphxtf0st1, 7ew7g18qo649t8ld44omgib55, 4f8xb5sbyksacxmifi375h7qi, 3q6jhwert6ah0ll2wq69k93ah, 13d7ao0j091449ia61cuut87p, 8mkkchf0ysdf78r0lncd73klw, l6y4o9t2b0jxaxo85oztok45, 32eyq4xvy8s1ng11jnavvh32t, cn6uwymow3ewbnr6niqumao0k",4002935145,194,x3g0yyxs0j4o8fxphxtf0st1,4002935147,197,16049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502186867,2,32,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2023-01-29T17:30:32.142Z,2023-01-30T00:32:44Z,4003135033,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502186859,2,32,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-01-29T17:30:32.142Z,2023-01-29T17:30:32Z,4003135009,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502186889,3,1,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,50.2,49.9,2023-01-29T17:30:32.161Z,2023-01-30T06:00:10Z,4004079021,178,,4003135139,140,45.9,4003135143,212,5.8,4003135149,279,S,4003135141,141,44.6,4003135137,56,Back,4003135145,213,3.8,,,,ecnh65kkhku5mdkr3il4fl6tx,C. Nielsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502186905,4,1,1,0,2,1oyb7oym5nwzny8vxf03szd2h,1,44.7,46.4,2023-01-29T17:30:34.285Z,2023-01-30T11:00:05Z,4003135235,140,41.1,4003135237,141,28.8,4003135239,212,12.6,4004079075,178,,4003135233,56,Back,4003135241,213,4.4,,,,,,,x3g0yyxs0j4o8fxphxtf0st1,H. Vanaken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502186953,5,1,1,0,4,1oyb7oym5nwzny8vxf03szd2h,1,38.8,26.2,2023-01-29T17:30:36.193Z,2023-01-30T11:00:04Z,4003135519,141,53.9,4004079103,178,,4003135521,212,20.3,4003135523,213,2.0,4003135517,140,31.6,4003135515,56,Back,,,,,,,99jqn2osue4tyo1l7yb93s639,D. Boyata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502186969,6,1,1,0,7,1oyb7oym5nwzny8vxf03szd2h,1,33.9,53.2,2023-01-29T17:30:39.388Z,2023-01-30T11:00:03Z,4003135597,213,1.5,4003135595,212,23.7,4004079143,178,,4003135589,56,Back,4003135591,140,35.0,4003135593,141,88.0,,,,,,,bgzvhtk50gvmq6noheadmc34l,D. Odoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502186999,7,1,1,0,9,1oyb7oym5nwzny8vxf03szd2h,0,30.7,90.9,2023-01-29T17:30:41.924Z,2023-01-30T11:00:02Z,4003135757,56,Back,4003135765,213,0.4,4003135759,140,48.0,4004079189,178,,4003135763,212,19.4,4003135761,141,100.0,,,,,,,16o074zua15qkk7x0me7gi1w4,B. Meijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502187077,3,5,1,0,11,547zzwqbiugzphhnrhj3z5k5i,1,52.1,-1.2,2023-01-29T17:30:43.456Z,2023-01-30T06:00:24Z,4003136213,233,8,4003136197,347,,4003136195,56,Right,,,,,,,,,,,,,,,,8jn4wq3d1ro8f89lttw4b9rzd,A. Ndour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
