id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,assist,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,keyPass,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2484730005,1,34,16,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2022-11-12T16:06:54.543Z,2022-11-14T09:16:08Z,3911137003,194,az21s916gcylcjy5riyia9239,3911137007,197,12041,3911136995,130,8,3911137011,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3911136985,30,"7ojr3svfuiak6zm6pjrc18mhh, 2s28r7f625hrj5fioyxn6apd5, 8xr7cy8cy89qfxyi1n3egt82c, cg748vqllo7gdcz5id1gvqggl, 7yek1fu5x7yoqc4raxja0i5uc, 9urqzncna9izqyoaysnjq52lm, cngitl9unybpxpdle1nlc5qms, 8k4wwchytdstpn0yhrxd5nbv9, 5l6a4uxq1vzo91ugdcjq3jw7p, az21s916gcylcjy5riyia9239, 5f13ro5hgmago2bmqtzjw5ey, 59doy2i09c6fgoh7w9m3l5tcl, c3jbxepn3kto8fqtdewnghp05, 3ve1os3e9tjd2isgxt11vzaei, 7midzsc4xu11dxhw22s9b5e6s, 55uupregn272wdtpnundb8z1m, eatq6far6quj8ihqxt3a4iuc4, ezud7bjx19v8omsscz0z8fywa",3911136999,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3911136987,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3911136991,59,"25, 14, 26, 20, 18, 31, 10, 8, 93, 9, 7, 1, 3, 5, 17, 27, 34, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484735125,1,34,16,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2022-11-12T16:09:16.181Z,2022-11-12T17:21:40Z,3911163231,30,"6sdv4s8oz558wfhx72vwlpvu2, 6wt29oce6gsthhpmhq705vl9m, 2xletuhhaxmfqbjbgq4ehpyol, ditnpqgspoih5ich7c5vn44fe, c1grrjf29wtfgbni2qkydf9ey, 8qa4s74yhn2u9n5tm4mfi934k, 1ekfu3u2d9vh73lw2dzdcr1wq, eiqmp3nbc50r40bl86u2sj55h, 8xjlysmwl5vnhcnvsynftjd62, 77fldfqlxps1xbdg29anv4vai, 1fu9y7gemoii89ejj7bkex78p, 87aix2c3m5x08nsurhjql51p1, 4rkl9bef513htcb8toe8lvkyx, a67xx4g0dvxgvnqn86taup9ii, 7abgw25wb5amn0uq347d4x61h, 6pmuxgyfaqn2h0x69o5l1mq22, dxnhp97vrepkx0kcr0d46yb1m, 20oiek3wd33mihfp13csvq6i2",3911163245,194,eiqmp3nbc50r40bl86u2sj55h,3911163243,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3911163247,197,4954,3911163237,59,"1, 2, 3, 15, 35, 28, 7, 8, 11, 17, 10, 4, 21, 22, 23, 25, 29, 99",3911163233,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3911163249,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3911163241,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484845875,2,32,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2022-11-12T17:16:28.558Z,2022-11-13T03:41:30Z,3911759705,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484845881,2,32,1,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2022-11-12T17:16:28.558Z,2022-11-12T17:16:30Z,3911759729,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484845913,3,1,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,50,50,2022-11-12T17:16:28.581Z,2022-11-13T05:59:10Z,3911759881,212,13.9,3911759879,141,52.1,3913132799,178,,3911759877,140,36.8,3911759887,279,S,3911759883,213,3.0,3911759875,56,Back,,,,az21s916gcylcjy5riyia9239,J. Vossen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484845951,4,1,1,0,1,547zzwqbiugzphhnrhj3z5k5i,1,39.5,49.4,2022-11-12T17:16:30.497Z,2022-11-13T11:21:49Z,3911760141,212,46.4,3911760137,140,72.6,3911760135,56,Left,3911760145,1,,3911760143,213,0.7,3913132821,178,,3911760131,155,,3911760139,141,94.7,cg748vqllo7gdcz5id1gvqggl,N. Rommens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484845967,5,1,1,0,4,547zzwqbiugzphhnrhj3z5k5i,0,72.9,92,2022-11-12T17:16:33.395Z,2022-11-13T11:21:49Z,3911760209,140,64.6,3911760213,212,8.7,3911760215,213,3.1,3911760211,141,92.3,3911760207,56,Left,3911760205,3,,3913132859,178,,,,,5l6a4uxq1vzo91ugdcjq3jw7p,Zinho Gano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484845991,3,1,1,0,6,9njsy633rh1tyri7l2jaju5o,1,30.5,12.9,2022-11-12T17:16:35.221Z,2022-11-13T11:21:49Z,3911760319,157,,3911760329,213,6.0,3911760321,56,Back,3913132893,178,,3911760323,140,44.4,3911760325,141,7.6,3911760327,212,15.0,3911760331,1,,eiqmp3nbc50r40bl86u2sj55h,S. Peeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484845997,4,49,1,0,8,9njsy633rh1tyri7l2jaju5o,1,41.9,9.2,2022-11-12T17:16:36.558Z,2022-11-13T11:21:48Z,,,,,,,,,,,,,,,,,,,,,,,,,1ekfu3u2d9vh73lw2dzdcr1wq,I. Nuhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484846025,5,1,1,0,9,9njsy633rh1tyri7l2jaju5o,0,46.2,1.7,2022-11-12T17:16:37.865Z,2022-11-13T11:21:47Z,3913133041,178,,3911760529,141,25.9,3911760533,213,0.4,3911760535,1,,3911760531,212,38.7,3911760527,140,79.6,3911760525,56,Center,,,,1ekfu3u2d9vh73lw2dzdcr1wq,I. Nuhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
