id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,assist
2530346809,1,34,16,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2023-04-08T15:28:16.532Z,2023-04-08T16:19:51Z,4172792831,194,az21s916gcylcjy5riyia9239,4172792823,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4172792827,130,8,4172792829,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4172792821,30,"7ojr3svfuiak6zm6pjrc18mhh, 4ju2soyxqa6hu0oo007ej8wdl, 8xr7cy8cy89qfxyi1n3egt82c, 77wkqbxkqix367lc0ccnym86h, 9urqzncna9izqyoaysnjq52lm, c3jbxepn3kto8fqtdewnghp05, 8jn4wq3d1ro8f89lttw4b9rzd, bhn5mxfek9byb7m8sovpizzkl, 5l6a4uxq1vzo91ugdcjq3jw7p, az21s916gcylcjy5riyia9239, 5f13ro5hgmago2bmqtzjw5ey, 59doy2i09c6fgoh7w9m3l5tcl, a375qgbjxnpucpz3hprf2fkr9, 4rd074ih7brltyckdrhx1they, 7yek1fu5x7yoqc4raxja0i5uc, cg748vqllo7gdcz5id1gvqggl, eatq6far6quj8ihqxt3a4iuc4, a2tdd3sxu7nckqe44al7to7pw",4172792837,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172792825,59,"38, 19, 26, 6, 31, 3, 11, 25, 93, 9, 7, 1, 12, 15, 18, 20, 34, 54",4172792833,197,12041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530347153,1,34,16,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2023-04-08T15:28:39.189Z,2023-04-08T16:20:18Z,4172794553,194,8zz5lnxo7twq8ntb7e0qfvbv9,4172794557,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172794541,59,"16, 38, 7, 3, 25, 21, 26, 6, 99, 10, 9, 12, 17, 18, 28, 39, 55, 66",4172794555,197,11586,4172794533,30,"btyk45f7gmz3ck2dafpp22yg9, 39bcswfqnpa07b4afevezejo4, 87d73x3gkomc4soukr5uweqc5, 3bhmh2ks5ma4rqda9zff6w251, c4brcsqfli5mds4vhma627yl1, ae26s08xs4l50sfm0r6jbsley, 8zz5lnxo7twq8ntb7e0qfvbv9, 5ecklu1u6t21rhh8fh4zoq2cq, 72xzl0yjdetvqp2n1pmzyqvze, bz77hr28a1yskifpuvzu8smsq, dqazrm2wmu9zqpvp8xbeeb7jd, 4pbx40gvdmacim2n0k2qt41cl, b6iptgqyakgohlyuyk3d807ah, 14xb29tv90y8uataijmh03rah, 6n1rvd0axpp159h9wkkd7lwfe, 2vfn5yoblw7s4q6lc5np08iz8, 8az60zju3zh4ksk9w3p1jyxp0, 164kbzdgdvclxn5zikw5hug6i",4172794551,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4172794537,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4172794547,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530384177,2,32,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2023-04-08T16:15:35.033Z,2023-04-08T16:15:37Z,4172993245,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530384169,2,32,1,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2023-04-08T16:15:35.033Z,2023-04-09T05:39:54Z,4172993225,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530384181,3,1,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,50,50.1,2023-04-08T16:15:35.056Z,2023-04-09T05:54:23Z,4172993283,212,18.7,4172993287,279,S,4172993277,56,Back,4175335083,178,,4172993279,140,32.2,4172993281,141,49.5,4172993285,213,3.2,,,,az21s916gcylcjy5riyia9239,J. Vossen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530384325,4,1,1,0,3,547zzwqbiugzphhnrhj3z5k5i,1,33.5,57.3,2023-04-08T16:15:38.665Z,2023-04-09T12:32:46Z,4172993945,213,5.5,4172993939,140,61.2,4172993941,141,11.4,4172993947,1,,4172993943,212,42.7,4172993933,155,,4175335193,178,,4172993937,56,Right,c3jbxepn3kto8fqtdewnghp05,Borja López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530384367,5,1,1,0,7,547zzwqbiugzphhnrhj3z5k5i,1,61.9,13.2,2023-04-08T16:15:42.277Z,2023-04-09T12:32:45Z,4172994183,141,25.3,4172994187,213,2.9,4172994189,1,,4175335547,178,,4172994179,56,Back,4172994181,140,27.2,4172994185,212,37.4,,,,8jn4wq3d1ro8f89lttw4b9rzd,A. Ndour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530384397,6,1,1,0,13,547zzwqbiugzphhnrhj3z5k5i,1,25.8,29.4,2023-04-08T16:15:49.020Z,2023-04-09T12:32:44Z,4172994331,212,16.3,4172994323,56,Back,4172994327,140,40.5,4172994329,141,21.8,4175335637,178,,4172994333,213,6.0,,,,,,,9urqzncna9izqyoaysnjq52lm,L. Willen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530384471,7,1,1,0,18,547zzwqbiugzphhnrhj3z5k5i,1,38.1,18.4,2023-04-08T16:15:53.876Z,2023-04-09T12:32:43Z,4172994701,213,6.3,4172994695,140,79.6,4172994699,212,43.6,4172994691,155,,4175335703,178,,4172994693,56,Right,4172994697,141,18.3,4172994703,1,,bhn5mxfek9byb7m8sovpizzkl,R. Vormer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530384479,8,61,1,0,21,547zzwqbiugzphhnrhj3z5k5i,0,77.3,19.3,2023-04-08T16:15:56.488Z,2023-04-09T12:32:42Z,4175335903,178,,4172994723,56,Right,,,,,,,,,,,,,,,,,,,8jn4wq3d1ro8f89lttw4b9rzd,A. Ndour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
