id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,assist,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,keyPass,qualifier/15/value,qualifier/14/value,qualifier/18/value,qualifier/19/value,qualifier/17/value
2498490285,1,34,16,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-01-18T18:57:21.287Z,2023-01-18T19:51:59Z,3983808407,59,"1, 5, 70, 25, 4, 44, 33, 18, 20, 10, 9, 12, 16, 17, 21, 23, 29, 30",3983808413,194,8b95khn8h8qz3y4u4coajs5at,3983808411,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3983808403,30,"6yegi163rq5fsloppfubi3sh5, bf22is04tealb92h075c7u356, 3pr51w08wkrl03rpafmsouj85, 5zdapzrncz7vch3yrgftfp5g, 6fdwd71dx2qu7uzzs3ozm9x7u, 5n522jpifzyf9qu0z41kuf7my, 4o8lvm1ffxrywogokfztc6sb9, 5np1ksd9qkmc511ihzvikhy0a, 9n5wjnjloy0c2euwhsu9u1y39, 8b95khn8h8qz3y4u4coajs5at, 93weoj4q60xtxdntko7hobg4q, bd4cjnn4k45ry7ci5tsaawf10, eczyz1c2lgqelhp13xiqb0vhm, 6437iwpplyfh71o9b7uxdylii, eb1rih67f03kwljbge37id1ck, 7hdyeeejo7h9kvqt7x8jlrlec, bcfayigqu8oygm1xvpgl9akt1, 6vh5n14h1knmx7yut84q2f2l1",3983808417,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3983808409,130,13,3983808405,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3983808415,197,8054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498490373,1,34,16,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2023-01-18T18:57:53.256Z,2023-01-18T19:51:02Z,3983808901,194,1acbm9228tfggjx7htxjtcvrp,3983808891,30,"3j1vhujla834m422svmrdh3pw, 5oa6glaxweluggb6odyxb4uz9, 187qa5icsve3oak3t90r6rhsl, 1acbm9228tfggjx7htxjtcvrp, 6iu350lkyhy6tcll5gfo4vy3u, a52575bcqr3acuweauiyzsb56, 9bnvh1i6mu45yvkz257c0x1at, apusqhva0hdbf7zqb3twgeoa2, 7ruin2kz9zjzba57tdbec7n4l, 4e5jvz1t60a2l67c5a9r2qne, 8ic5et3o15rkxyebpxy6y4mhh, af8gj4w5eg8rdl4iq7fi8aa96, e44sv1k4belucgkkem7qtkpd6, cahevdu5yhhnh8qlj969b6dw, 6cztmz0yq3ifdkkz4hpe47krt, 6h8nr55ieqsaiscoxje2ihmhg, 7nlpu8ocv423vqaooks0hifze, bpxafwc30rerxmgju6rcau8kp",3983808897,130,7,3983808903,197,9282,3983808893,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3983808899,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3983808905,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3983808895,59,"16, 40, 18, 23, 4, 99, 21, 5, 7, 6, 12, 2, 14, 17, 27, 29, 30, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498506971,2,32,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2023-01-18T19:46:51.140Z,2023-01-18T19:46:53Z,3983889861,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498506969,2,32,1,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-01-18T19:46:51.140Z,2023-01-19T05:38:18Z,3983889859,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498506973,3,1,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,50.1,50.1,2023-01-18T19:46:51.161Z,2023-01-19T05:53:32Z,3983889871,140,30.1,3983889877,213,3.4,3983889869,56,Back,3983889873,141,40.9,3983889879,279,S,3984301183,178,,3983889875,212,21.9,,,,7ruin2kz9zjzba57tdbec7n4l,Vagner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507011,4,1,1,0,3,jb4xejoxjfk5a0a50bo8hvst,0,35.3,43.7,2023-01-18T19:46:54.398Z,2023-01-19T09:51:02Z,3983890059,140,73.6,3983890055,196,,3983890061,141,100.0,3984301401,178,,3983890065,212,56.4,3983890057,56,Left,3983890069,213,0.8,3983890053,155,,6iu350lkyhy6tcll5gfo4vy3u,M. Tshibuabua,3983890071,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507069,3,5,1,0,6,1uk609mhtsfhokhaewjapb26,1,21.9,-1.9,2023-01-18T19:46:57.930Z,2023-01-19T05:54:22Z,3983890317,347,,3983891787,233,5,3983890315,56,Back,,,,,,,,,,,,,,,,bf22is04tealb92h075c7u356,C. Atemona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507015,5,5,1,0,6,jb4xejoxjfk5a0a50bo8hvst,0,78.1,101.9,2023-01-18T19:46:57.930Z,2023-01-19T05:54:22Z,3983890093,56,Left,3983891803,233,3,3983890095,347,,,,,,,,,,,,,,,,,6iu350lkyhy6tcll5gfo4vy3u,M. Tshibuabua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507131,4,1,1,0,17,1uk609mhtsfhokhaewjapb26,0,28.7,0,2023-01-18T19:47:08.298Z,2023-01-19T09:51:02Z,3983890563,56,Right,3983890567,141,10.4,3983890571,213,0.2,3983890573,1,,3983890565,140,57.5,3983890569,212,31.2,3983906937,107,,,,,bf22is04tealb92h075c7u356,C. Atemona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507143,6,1,1,0,19,jb4xejoxjfk5a0a50bo8hvst,0,48.2,94.3,2023-01-18T19:47:10.432Z,2023-01-19T09:51:01Z,3983890617,3,,3983890623,141,93.2,3983890621,140,65.9,3983890627,213,6.2,3984301643,388,,3983890619,56,Left,3983890625,212,18.6,,,,1acbm9228tfggjx7htxjtcvrp,C. Lepoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507147,5,1,1,0,20,1uk609mhtsfhokhaewjapb26,0,42.6,4.3,2023-01-18T19:47:11.891Z,2023-01-19T09:51:01Z,3984301663,178,,3983890665,213,0.3,3983890657,141,12.0,3983890653,56,Right,3983890655,140,58.5,3983890661,212,17.5,,,,,,,bf22is04tealb92h075c7u356,C. Atemona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498575037,942,49,1,0,21,1uk609mhtsfhokhaewjapb26,1,46.2,4.9,2023-01-18T19:47:12.273Z,2023-01-19T09:51:00Z,,,,,,,,,,,,,,,,,,,,,,,,,5np1ksd9qkmc511ihzvikhy0a,A. Kadri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507157,7,1,1,0,22,jb4xejoxjfk5a0a50bo8hvst,1,47.6,92.9,2023-01-18T19:47:13.323Z,2023-01-19T09:50:59Z,3983890725,212,14.4,3984301717,178,,3983890719,56,Center,3983890721,140,56.2,3983890727,213,5.4,3983890723,141,76.4,,,,,,,187qa5icsve3oak3t90r6rhsl,M. Poaty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507161,8,1,1,0,23,jb4xejoxjfk5a0a50bo8hvst,0,52.5,80.3,2023-01-18T19:47:14.632Z,2023-01-19T09:50:59Z,3983890787,236,,3983890793,286,,3983890733,56,Center,3984301743,178,,3983890737,141,74.2,3983890741,213,5.7,3983890789,233,6,3983890739,212,7.7,4e5jvz1t60a2l67c5a9r2qne,M. Cachbach,3983890735,140,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507171,6,74,1,0,23,1uk609mhtsfhokhaewjapb26,1,46.1,20,2023-01-18T19:47:14.694Z,2023-01-19T09:50:58Z,3983890783,56,Back,3984301915,178,,3983890795,233,8,3983890785,285,,,,,,,,,,,,,,4o8lvm1ffxrywogokfztc6sb9,S. Lončar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498587587,844,67,1,0,25,jb4xejoxjfk5a0a50bo8hvst,1,47.7,65.4,2023-01-18T19:47:16.341Z,2023-01-19T09:50:58Z,3984321063,233,1035,,,,,,,,,,,,,,,,,,,,,,apusqhva0hdbf7zqb3twgeoa2,S. Mvoué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498587585,1035,67,1,0,25,1uk609mhtsfhokhaewjapb26,0,52.3,34.6,2023-01-18T19:47:16.342Z,2023-01-19T09:50:57Z,3984321075,233,844,,,,,,,,,,,,,,,,,,,,,,5np1ksd9qkmc511ihzvikhy0a,A. Kadri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507175,9,1,1,0,25,jb4xejoxjfk5a0a50bo8hvst,0,49,64.2,2023-01-18T19:47:16.351Z,2023-01-19T09:50:57Z,3983890813,56,Back,3983890821,213,3.1,3983890817,141,65.8,3984302025,178,,3983890815,140,37.1,3983890819,212,12.5,,,,,,,apusqhva0hdbf7zqb3twgeoa2,S. Mvoué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498575039,943,61,1,0,26,1uk609mhtsfhokhaewjapb26,1,41.5,41.9,2023-01-18T19:47:17.249Z,2023-01-19T11:28:23Z,3984302069,178,,3984255915,56,Back,,,,,,,,,,,,,,,,,,,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507195,10,1,1,0,28,jb4xejoxjfk5a0a50bo8hvst,1,32.6,66.4,2023-01-18T19:47:19.514Z,2023-01-19T09:50:56Z,3983890919,56,Back,3983890925,212,7.9,3983890923,141,75.4,3984302135,178,,3983890921,140,37.3,3983890927,213,0.9,,,,,,,a52575bcqr3acuweauiyzsb56,M. Mbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507207,11,1,1,0,30,jb4xejoxjfk5a0a50bo8hvst,1,39.3,76.3,2023-01-18T19:47:21.235Z,2023-01-19T09:50:55Z,3983890977,56,Back,3984302163,178,,3983890991,213,1.9,3983890979,140,36.0,3983890981,141,91.8,3983890987,212,11.1,,,,,,,4e5jvz1t60a2l67c5a9r2qne,M. Cachbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507221,12,1,1,0,31,jb4xejoxjfk5a0a50bo8hvst,1,41.1,95.3,2023-01-18T19:47:22.877Z,2023-01-19T09:50:54Z,3983891085,212,36.2,3983891089,1,,3984302185,178,,3983891077,155,,3983891087,213,5.9,3983891081,140,72.6,3983891079,56,Center,3983891083,141,73.8,187qa5icsve3oak3t90r6rhsl,M. Poaty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507225,13,61,1,0,33,jb4xejoxjfk5a0a50bo8hvst,1,65.5,85.2,2023-01-18T19:47:24.431Z,2023-01-19T09:50:54Z,3984302233,388,,3983891105,56,Left,3984302231,15,,,,,,,,,,,,,,,,,7ruin2kz9zjzba57tdbec7n4l,Vagner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507239,7,52,1,0,37,1uk609mhtsfhokhaewjapb26,1,15.9,36,2023-01-18T19:47:28.566Z,2023-01-19T09:50:53Z,3984255919,376,,3984302271,178,,,,,,,,,,,,,,,,,,,,6yegi163rq5fsloppfubi3sh5,T. Vandenberghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507301,8,1,1,0,40,1uk609mhtsfhokhaewjapb26,1,15.9,39.3,2023-01-18T19:47:31.251Z,2023-01-19T09:50:53Z,3983891493,212,20.0,3983891487,56,Back,3984302307,178,,3983891491,141,67.8,3983891489,140,20.7,3983891485,123,,3983891495,213,1.3,,,,6yegi163rq5fsloppfubi3sh5,T. Vandenberghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
