id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/19/value
2474708235,1,34,16,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2022-10-20T17:55:13.513Z,2022-10-23T12:01:46Z,3858437749,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3858437761,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3858437759,197,3044,3858437755,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3858437751,59,"30, 62, 5, 14, 4, 56, 29, 61, 99, 76, 21, 7, 10, 11, 16, 18, 27, 70",3858437747,30,"3z37ancgteqhbhpygl0brzzdh, b3vvxolwxcukqk76hb4scvh79, 6rarodhofviwmh5jd0ly8lp4a, 78fx1xqqtcqm2g4h1dj8beml1, av0ok8e56osu0z8sxtlvvw9ud, 88nmn961vtb3bnt9v9rye1h0q, 8lj9hc8u1351oczzu81mryluc, 7je01bs3a4q6c2gd02ee6da3u, 7snt4uu7f2d0g7utjm2xfis8a, rao8xq2rg3beoc418zv1gzro, 143brmwsfow8o0svtdq98tiw9, 5don85s7097g5df42m429b8ix, bu7cw3305zs2u7uj2ed5t867e, 5yw1c3i4j9zyt52vomrfbxyol, 3wwi5vf2l1qbz7e5zdjoy8yga, 8f77xyqg4womglj1o8udq77qh, dwnd8j9ok6ncbp69gmchw953o, c4n7kjp8c47trslpssnyqjo16",3858437753,130,12,3858437757,194,3z37ancgteqhbhpygl0brzzdh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474709117,1,34,16,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2022-10-20T17:59:42.997Z,2022-10-23T12:00:47Z,3858442721,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3858442725,197,12041,3858442719,130,4,3858442715,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3858442727,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3858442713,30,"7ojr3svfuiak6zm6pjrc18mhh, 2s28r7f625hrj5fioyxn6apd5, 8xr7cy8cy89qfxyi1n3egt82c, 7yek1fu5x7yoqc4raxja0i5uc, 6w1hily3yj7vvidhhgi4fqdat, 9urqzncna9izqyoaysnjq52lm, cg748vqllo7gdcz5id1gvqggl, 8k4wwchytdstpn0yhrxd5nbv9, 55uupregn272wdtpnundb8z1m, az21s916gcylcjy5riyia9239, 5f13ro5hgmago2bmqtzjw5ey, 59doy2i09c6fgoh7w9m3l5tcl, 1ida40i5ob58takouu5a7r2l1, 3ve1os3e9tjd2isgxt11vzaei, 77wkqbxkqix367lc0ccnym86h, 8jn4wq3d1ro8f89lttw4b9rzd, 7u76uh9164fs8tx6zqw0icqtx, 5l6a4uxq1vzo91ugdcjq3jw7p",3858442717,59,"25, 14, 26, 18, 4, 31, 20, 8, 27, 9, 7, 1, 2, 5, 6, 11, 22, 93",3858442723,194,az21s916gcylcjy5riyia9239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474732359,2,32,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2022-10-20T18:45:31.859Z,2022-10-21T02:45:33Z,3858564759,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474732343,2,32,1,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2022-10-20T18:45:31.859Z,2022-10-20T18:45:32Z,3858564699,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474732379,3,1,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,50,50,2022-10-20T18:45:31.919Z,2022-10-21T03:23:42Z,3859093309,178,,3858564853,213,4.0,3858564847,140,41.2,3858564851,212,14.2,3858564855,279,S,3858564849,141,34.2,3858564845,56,Back,,,,az21s916gcylcjy5riyia9239,J. Vossen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474732391,4,1,1,0,2,547zzwqbiugzphhnrhj3z5k5i,1,40.6,45.3,2022-10-20T18:45:34.056Z,2022-10-21T12:35:23Z,3859093361,178,,3858564915,141,95.1,3858564913,140,69.9,3858564909,196,,3858564917,212,45.8,3858564907,155,,3858564921,1,,3858564911,56,Left,cg748vqllo7gdcz5id1gvqggl,N. Rommens,3858564919,213,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474831731,678,43,1,0,4,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2022-10-20T18:45:36.402Z,2022-10-21T03:56:00Z,3859108805,21,0,3859108811,144,82,3859108803,178,0,,,,,,,,,,,,,,,,55uupregn272wdtpnundb8z1m,C. Offor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474732393,5,61,1,0,4,547zzwqbiugzphhnrhj3z5k5i,0,64.9,94.7,2022-10-20T18:45:36.434Z,2022-10-21T12:35:22Z,3858564925,56,Left,3859093375,21,,3859093377,178,,,,,,,,,,,,,,,,,55uupregn272wdtpnundb8z1m,C. Offor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474732425,3,5,1,0,4,6vyr13j6kbwdtxjwm1m4m8nu2,1,27.4,-1,2022-10-20T18:45:36.565Z,2022-10-21T03:23:56Z,3858565115,233,6,3858565087,56,Back,3858565089,347,,,,,,,,,,,,,,,,,7snt4uu7f2d0g7utjm2xfis8a,Fábio Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474732407,6,5,1,0,4,547zzwqbiugzphhnrhj3z5k5i,0,72.6,101,2022-10-20T18:45:36.565Z,2022-10-21T03:23:57Z,3858565131,233,3,3858564977,347,,3858564975,56,Left,,,,,,,,,,,,,,,,55uupregn272wdtpnundb8z1m,C. Offor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
