id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/15/value,qualifier/17/value,qualifier/12/value,qualifier/18/value
2449289859,1,34,16,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2022-08-21T13:16:21.761Z,2022-08-22T12:37:05Z,3723186979,30,"59doy2i09c6fgoh7w9m3l5tcl, 2s28r7f625hrj5fioyxn6apd5, 3ve1os3e9tjd2isgxt11vzaei, cg748vqllo7gdcz5id1gvqggl, 7yek1fu5x7yoqc4raxja0i5uc, c3jbxepn3kto8fqtdewnghp05, 77wkqbxkqix367lc0ccnym86h, 8xr7cy8cy89qfxyi1n3egt82c, az21s916gcylcjy5riyia9239, 9e6u0dxjpjoyfc0f87vtem85x, 5f13ro5hgmago2bmqtzjw5ey, 1ida40i5ob58takouu5a7r2l1, 8k4wwchytdstpn0yhrxd5nbv9, cngitl9unybpxpdle1nlc5qms, 7ojr3svfuiak6zm6pjrc18mhh, 9urqzncna9izqyoaysnjq52lm, eatq6far6quj8ihqxt3a4iuc4, ezud7bjx19v8omsscz0z8fywa",3723186983,59,"1, 14, 5, 20, 18, 3, 6, 26, 9, 23, 7, 2, 8, 10, 25, 31, 34, 35",3723186991,197,12041,3723186993,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3723186981,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3723186987,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3723186985,130,4,3723186989,194,59doy2i09c6fgoh7w9m3l5tcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449296611,1,34,16,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-08-21T13:22:52.505Z,2022-08-21T14:01:23Z,3723219885,197,9121,3723219871,59,"16, 28, 38, 5, 21, 2, 26, 6, 45, 8, 18, 1, 7, 10, 12, 25, 44, 70",3723219891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3723219877,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3723219869,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3723219879,194,8zz5lnxo7twq8ntb7e0qfvbv9,3723219867,30,"btyk45f7gmz3ck2dafpp22yg9, 6n1rvd0axpp159h9wkkd7lwfe, 39bcswfqnpa07b4afevezejo4, 7t9bynn5mbmy3b0v9cduifxex, ae26s08xs4l50sfm0r6jbsley, 7hi9yit8aifyojt7i0kg69as5, 8zz5lnxo7twq8ntb7e0qfvbv9, 5ecklu1u6t21rhh8fh4zoq2cq, 8o0a3k1bbim9y2kd6ljyoiwpg, 7xw0h0pegzhoix5hb4hipj2l1, 14xb29tv90y8uataijmh03rah, aspoedbe2vkfbqaz67fc2ftg5, 87d73x3gkomc4soukr5uweqc5, bz77hr28a1yskifpuvzu8smsq, 4pbx40gvdmacim2n0k2qt41cl, c4brcsqfli5mds4vhma627yl1, e2nb1takpw6q7f6txp8xbfkk5, 7a7fh24imj9q522a58dsg6up5",3723219875,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449319547,2,32,1,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-08-21T14:00:09.253Z,2022-08-21T14:00:09Z,3723333347,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449319553,2,32,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2022-08-21T14:00:09.253Z,2022-08-22T00:38:15Z,3723333369,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449319563,3,1,1,0,0,920raeoumft3q2wmvc296uceo,1,50.1,50,2022-08-21T14:00:09.284Z,2022-08-22T01:10:30Z,3723333425,279,S,3725453973,178,,3723333421,212,13.2,3723333417,140,39.3,3723333423,213,3.7,3723333419,141,40.0,3723333415,56,Back,,,,7xw0h0pegzhoix5hb4hipj2l1,A. Gholizadeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449319579,4,1,1,0,1,920raeoumft3q2wmvc296uceo,0,38.9,46.8,2022-08-21T14:00:10.995Z,2022-08-22T09:03:09Z,3723333507,1,,3723333489,157,,3723333505,213,0.0,3723333493,56,Center,3725454051,178,,3723333497,140,75.4,3723333503,212,38.4,3723333499,141,49.4,8zz5lnxo7twq8ntb7e0qfvbv9,M. Ilaimaharitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449319605,3,1,1,0,5,547zzwqbiugzphhnrhj3z5k5i,0,25.6,33.9,2022-08-21T14:00:14.268Z,2022-08-22T09:03:09Z,3723333627,212,16.7,3723333621,56,Back,3723333629,213,6.1,3723333625,141,28.5,3723333619,3,,3723333623,140,41.1,3725460217,388,,,,,7yek1fu5x7yoqc4raxja0i5uc,M. Tambedou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449319615,5,44,1,0,7,920raeoumft3q2wmvc296uceo,1,57.1,55.4,2022-08-21T14:00:16.555Z,2022-08-22T09:03:08Z,3723333667,286,,3723333665,56,Center,3723333683,233,4,,,,,,,,,,,,,,,,8zz5lnxo7twq8ntb7e0qfvbv9,M. Ilaimaharitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449319607,4,44,1,0,7,547zzwqbiugzphhnrhj3z5k5i,0,42.9,44.6,2022-08-21T14:00:16.556Z,2022-08-22T09:03:08Z,3723333687,233,5,3723333635,285,,3723333633,56,Back,,,,,,,,,,,,,,,,az21s916gcylcjy5riyia9239,J. Vossen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449319619,6,1,1,0,7,920raeoumft3q2wmvc296uceo,0,56.9,58.1,2022-08-21T14:00:16.609Z,2022-08-22T09:03:08Z,3723333691,3,,3723333697,141,52.4,3723333699,212,3.9,3723333695,140,57.0,3725460857,388,,3723333693,56,Center,3723333701,213,4.7,,,,8zz5lnxo7twq8ntb7e0qfvbv9,M. Ilaimaharitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
