id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,assist,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2476538077,1,34,16,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-10-23T18:04:39.410Z,2022-10-23T19:02:35Z,3868048573,194,2hj88r72bbwnhqx12tv13jmqx,3868048563,30,"d0itp0eyxewvnm2shm0manw7p, 5ghjnuqhf7kvbwqlo8jqv0bqi, 2rn8mnhlrtrbm6du97f54zckq, czsmg1hjqbmzhz8x91y3b0yc5, 2hj88r72bbwnhqx12tv13jmqx, ew1thxs8j5mwwqh075kzsjq0a, 3s0tyude1pghox634ij87srft, 92ajo8iiqwlmjwndtf7yt6l05, b3y2ov2ju75fr5u5e2rerj1ex, mzrka1w28qc7vgr5xmcngqg9, 65js4yds9vyg0iyck8xh10frp, 9ncn3cmp9hd451mjt54t8axn9, 6y2s58f539ax7s9np2jao0tn8, 1yq8ig3ffq1j5imjci3g3tfdg, 99eumu17h5sxriw5vfczvdb6d, 58qrdtv5emnvcojqkmnpx5ffu, 9m3bkbdedtddfeix57rj2f7c9, 78n7z9tmen93v4l0nj1vnlujt",3868048565,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3868048571,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3868048575,197,8908,3868048577,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3868048567,59,"1, 29, 18, 27, 33, 2, 16, 8, 9, 11, 68, 5, 19, 20, 28, 34, 77, 99",3868048569,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476538827,1,34,16,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2022-10-23T18:05:42.874Z,2022-10-23T20:11:57Z,3868052495,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3868052507,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3868052493,30,"7ojr3svfuiak6zm6pjrc18mhh, 2s28r7f625hrj5fioyxn6apd5, 8xr7cy8cy89qfxyi1n3egt82c, 9urqzncna9izqyoaysnjq52lm, 7yek1fu5x7yoqc4raxja0i5uc, 1ida40i5ob58takouu5a7r2l1, az21s916gcylcjy5riyia9239, 8k4wwchytdstpn0yhrxd5nbv9, 55uupregn272wdtpnundb8z1m, cg748vqllo7gdcz5id1gvqggl, 5f13ro5hgmago2bmqtzjw5ey, 59doy2i09c6fgoh7w9m3l5tcl, c3jbxepn3kto8fqtdewnghp05, 3ve1os3e9tjd2isgxt11vzaei, cngitl9unybpxpdle1nlc5qms, 8jn4wq3d1ro8f89lttw4b9rzd, 7u76uh9164fs8tx6zqw0icqtx, 5l6a4uxq1vzo91ugdcjq3jw7p",3868052503,194,az21s916gcylcjy5riyia9239,3868052497,59,"25, 14, 26, 31, 18, 2, 9, 8, 27, 20, 7, 1, 3, 5, 10, 11, 22, 93",3868052499,130,11,3868052505,197,16304,3868052501,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476575149,2,32,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2022-10-23T19:00:12.675Z,2022-10-23T19:00:12Z,3868247589,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476575157,2,32,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-10-23T19:00:12.675Z,2022-10-24T05:50:28Z,3868247629,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476575181,3,1,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,50,50,2022-10-23T19:00:12.956Z,2022-10-24T06:02:43Z,3869315833,178,,3868247739,279,S,3868247737,213,3.2,3868247733,141,49.1,3868247729,56,Back,3868247735,212,15.0,3868247731,140,35.7,,,,az21s916gcylcjy5riyia9239,J. Vossen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476575189,4,1,1,0,2,547zzwqbiugzphhnrhj3z5k5i,0,38.3,49.3,2022-10-23T19:00:14.931Z,2022-10-24T09:04:52Z,3868247801,212,37.3,3868247805,1,,3868247799,141,87.4,3868247797,140,63.9,3869315875,178,,3868247803,213,0.8,3868247795,56,Left,3868247793,155,,cg748vqllo7gdcz5id1gvqggl,N. Rommens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476575203,3,1,1,0,4,2b57rbw94i9ohnbch52owvqtq,0,29.8,16.8,2022-10-23T19:00:17.318Z,2022-10-24T09:04:52Z,3868247855,56,Back,3868247863,213,1.1,3868247853,3,,3869316003,388,,3868247861,212,6.5,3868247857,140,32.7,3868247859,141,25.2,,,,92ajo8iiqwlmjwndtf7yt6l05,C. McGeehan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476575249,5,1,1,0,6,547zzwqbiugzphhnrhj3z5k5i,1,67.6,49.3,2022-10-23T19:00:19.493Z,2022-10-24T09:04:52Z,3868248083,140,86.7,3868248085,141,71.1,3868248081,56,Center,3869316065,388,,3868248079,155,,3868248089,213,0.6,3868248087,212,24.9,,,,az21s916gcylcjy5riyia9239,J. Vossen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476575251,6,61,1,0,8,547zzwqbiugzphhnrhj3z5k5i,0,85.1,69.9,2022-10-23T19:00:21.345Z,2022-10-24T09:04:51Z,3869316129,178,,3868248095,56,Center,,,,,,,,,,,,,,,,,,,5f13ro5hgmago2bmqtzjw5ey,A. Fadera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476575239,4,1,1,0,9,2b57rbw94i9ohnbch52owvqtq,0,15.8,33.4,2022-10-23T19:00:22.630Z,2022-10-24T09:04:51Z,3868248057,1,,3868248045,157,,3869316159,178,,3868248055,213,5.2,3868248051,141,0.0,3868248049,140,29.1,3868248047,56,Back,3868248053,212,27.7,ew1thxs8j5mwwqh075kzsjq0a,O. Urhoghide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
