id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,assist,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,keyPass,qualifier/12/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value
2507180641,1,34,16,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2023-02-12T17:35:16.019Z,2023-02-13T09:02:36Z,4029323445,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4029323437,130,18,4029323435,59,"1, 14, 7, 26, 4, 19, 25, 6, 12, 9, 93, 3, 5, 20, 22, 23, 35, 38",4029323433,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4029323441,194,59doy2i09c6fgoh7w9m3l5tcl,4029323439,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4029323443,197,12041,4029323431,30,"59doy2i09c6fgoh7w9m3l5tcl, 2s28r7f625hrj5fioyxn6apd5, 5f13ro5hgmago2bmqtzjw5ey, 8xr7cy8cy89qfxyi1n3egt82c, 6w1hily3yj7vvidhhgi4fqdat, 4ju2soyxqa6hu0oo007ej8wdl, bhn5mxfek9byb7m8sovpizzkl, 77wkqbxkqix367lc0ccnym86h, a375qgbjxnpucpz3hprf2fkr9, az21s916gcylcjy5riyia9239, 5l6a4uxq1vzo91ugdcjq3jw7p, c3jbxepn3kto8fqtdewnghp05, 3ve1os3e9tjd2isgxt11vzaei, cg748vqllo7gdcz5id1gvqggl, 7u76uh9164fs8tx6zqw0icqtx, 9e6u0dxjpjoyfc0f87vtem85x, ezud7bjx19v8omsscz0z8fywa, 7ojr3svfuiak6zm6pjrc18mhh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507182599,1,34,16,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-02-12T17:37:55.141Z,2023-02-12T18:31:25Z,4029334163,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4029334175,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4029334169,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4029334161,30,"99eumu17h5sxriw5vfczvdb6d, 17x4fqsde2cdp2s9q5odmkr8p, 2rn8mnhlrtrbm6du97f54zckq, 2hj88r72bbwnhqx12tv13jmqx, 7y7wrtvktvxfki86p41ptoell, ew1thxs8j5mwwqh075kzsjq0a, 8thfkx6q306ewh6mlba8ztqzt, b81lneik0objvk15uf6m4cewa, b3y2ov2ju75fr5u5e2rerj1ex, 58qrdtv5emnvcojqkmnpx5ffu, 65js4yds9vyg0iyck8xh10frp, c8ikdrxdufewp5jzds3s24xjp, d0itp0eyxewvnm2shm0manw7p, 92ajo8iiqwlmjwndtf7yt6l05, mzrka1w28qc7vgr5xmcngqg9, 3s0tyude1pghox634ij87srft, 3zkgg98u1fvuospd2avl4qy2, czsmg1hjqbmzhz8x91y3b0yc5",4029334171,194,2hj88r72bbwnhqx12tv13jmqx,4029334167,130,13,4029334165,59,"28, 26, 18, 33, 88, 2, 23, 80, 9, 34, 68, 4, 1, 8, 11, 16, 17, 27",4029334173,197,10068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507205967,2,32,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-02-12T18:17:40.545Z,2023-02-12T18:17:40Z,4029459393,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507205975,2,32,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2023-02-12T18:17:40.545Z,2023-02-13T04:13:36Z,4029459425,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507206009,3,1,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,50.1,50,2023-02-12T18:17:40.580Z,2023-02-13T05:40:27Z,4029459601,212,18.4,4029459599,141,49.3,4029459603,213,3.2,4030431419,178,,4029459605,279,S,4029459597,140,32.6,4029459595,56,Back,,,,58qrdtv5emnvcojqkmnpx5ffu,N. Bätzner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507206031,4,1,1,0,3,2b57rbw94i9ohnbch52owvqtq,1,34.5,42.8,2023-02-12T18:17:43.728Z,2023-02-13T09:50:36Z,4030431451,178,,4029459697,140,80.4,4029459705,1,,4029459695,56,Left,4029459701,212,55.5,4029459699,141,83.2,4029459703,213,0.5,4029958749,155,,7y7wrtvktvxfki86p41ptoell,M. Rodin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507206035,5,44,1,0,5,2b57rbw94i9ohnbch52owvqtq,1,69.9,79.6,2023-02-12T18:17:46.308Z,2023-02-13T09:50:36Z,4029459715,56,Left,4029459717,286,,4029459719,233,3,,,,,,,,,,,,,,,,b3y2ov2ju75fr5u5e2rerj1ex,F. Hornby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507206033,3,44,1,0,5,547zzwqbiugzphhnrhj3z5k5i,0,30.1,20.4,2023-02-12T18:17:46.309Z,2023-02-13T09:50:35Z,4029459725,233,5,4029459711,56,Back,4029459713,285,,,,,,,,,,,,,,,,,bhn5mxfek9byb7m8sovpizzkl,R. Vormer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507206051,6,1,1,0,5,2b57rbw94i9ohnbch52owvqtq,1,71,82,2023-02-12T18:17:46.357Z,2023-02-13T09:50:35Z,4029459827,212,12.9,4029459825,141,65.1,4029459823,140,65.5,4029459819,3,,4029459829,213,4.2,4030431483,388,,4029459821,56,Center,,,,b3y2ov2ju75fr5u5e2rerj1ex,F. Hornby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507397303,1170,83,1,0,8,547zzwqbiugzphhnrhj3z5k5i,1,34,33,2023-02-12T18:17:49.040Z,2023-02-13T09:50:34Z,4030480453,399,492983,,,,,,,,,,,,,,,,,,,,,,a375qgbjxnpucpz3hprf2fkr9,C. Brüls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507206061,7,1,1,0,8,2b57rbw94i9ohnbch52owvqtq,1,66,67,2023-02-12T18:17:49.041Z,2023-02-13T09:50:33Z,4029459877,141,80.9,4029459881,213,1.1,4029459871,56,Left,4029459873,140,70.4,4030431507,178,,4029459879,212,10.5,,,,,,,b81lneik0objvk15uf6m4cewa,P. Dwomoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507206111,8,1,1,0,10,2b57rbw94i9ohnbch52owvqtq,1,67.5,82.8,2023-02-12T18:17:50.803Z,2023-02-13T09:50:32Z,4029460147,212,12.0,4030431519,178,,4029460145,141,95.6,4029460143,140,75.4,4029460149,213,0.8,4029460141,56,Left,,,,,,,b3y2ov2ju75fr5u5e2rerj1ex,F. Hornby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507206209,9,1,1,0,14,2b57rbw94i9ohnbch52owvqtq,1,72.8,90.9,2023-02-12T18:17:54.726Z,2023-02-13T09:50:30Z,4030431543,178,,4029460629,141,95.1,4029460633,213,0.2,4029460625,56,Left,4029460627,140,87.3,4029460631,212,15.5,,,,,,,2rn8mnhlrtrbm6du97f54zckq,T. Sakamoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507206217,10,1,1,0,20,2b57rbw94i9ohnbch52owvqtq,0,96.1,83.8,2023-02-12T18:18:00.903Z,2023-02-13T09:50:27Z,4029460723,286,,4029460719,233,4,4029460683,213,3.7,4029460679,141,81.5,4029460681,212,2.9,4029460675,56,Left,4029960247,72,,4029460715,236,,65js4yds9vyg0iyck8xh10frp,T. Ambrose,4029460671,2,4029460677,140,93.8,4030431591,178,4029960245,224,,,,,,,,,,,,,,,,,,,,,,,,,,
2507206211,4,12,1,0,20,547zzwqbiugzphhnrhj3z5k5i,1,16.9,21,2023-02-12T18:18:01.059Z,2023-02-13T09:25:57Z,4029460639,56,Back,4029460637,185,,4029460755,233,10,4030431617,178,,,,,,,,,,,,,,4ju2soyxqa6hu0oo007ej8wdl,K. Fila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507206269,5,6,1,0,21,547zzwqbiugzphhnrhj3z5k5i,0,0,21,2023-02-12T18:18:01.557Z,2023-02-13T05:41:05Z,4029461257,233,11,4029460991,56,Back,4029461061,73,,,,,,,,,,,,,,,,,4ju2soyxqa6hu0oo007ej8wdl,K. Fila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507206289,11,6,1,0,21,2b57rbw94i9ohnbch52owvqtq,1,100,79,2023-02-12T18:18:01.557Z,2023-02-13T05:41:04Z,4029461103,73,,4029461101,56,Left,4029461145,233,5,,,,,,,,,,,,,,,,65js4yds9vyg0iyck8xh10frp,T. Ambrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507206645,12,1,1,0,54,2b57rbw94i9ohnbch52owvqtq,1,99.5,99.5,2023-02-12T18:18:35.316Z,2023-02-13T05:41:09Z,4030431645,178,,4029463015,56,Center,4029960951,72,,4029463021,212,32.8,4029463023,213,4.3,4029463019,141,55.2,4029463009,6,,4029463025,1,,2rn8mnhlrtrbm6du97f54zckq,T. Sakamoto,4029463007,2,4029463017,140,87.1,4029463011,155,4029463013,224,,,,,,,,,,,,,,,,,,,,,,,,,,
2507206609,7,4,1,0,56,547zzwqbiugzphhnrhj3z5k5i,1,7.6,51.2,2023-02-12T18:18:36.672Z,2023-02-13T09:50:27Z,4029462871,56,Back,4029463083,233,13,4029462873,152,,4029462869,13,,4029463423,294,,4029462877,285,,,,,,,,2s28r7f625hrj5fioyxn6apd5,A. Ciranni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
