id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2540137265,1,34,16,0,0,aekjg4wbxaixtwu4aicmiju92,1,0,0,2023-04-28T14:57:45.951Z,2023-04-28T16:16:02Z,4231876933,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4231876929,194,d9pwgddm81gw3caq3njscahud,4231876931,197,615,4231876919,30,"26dlb4txygf7qzukjikr23mxh, 4oiynjwt22nwpmy0oyx5q6jh0, 7tct6lamqw703ndfo60ruh6fp, 6b717wlx0q8d73hsbgsp90no5, 9twzw7onygiy3indxm8rtjvu1, mnfpjrfb77nre55z4ha7b9p1, aqe0o77dv6114gsbpw3t1iymt, d9pwgddm81gw3caq3njscahud, 3a2ef34105eqoes4s6zu1310p, 1vpmf7p9xsaynj1t9g5wm1qz9, zdrtch0slexakz6exy86cid, emt3e6x1c9howgtee0hr1hucp, etvu2javyjbzekaw2ro994iqd, 3qjdcqc4mo21w0au4rveeenkl, 30dor76ut58qzf8ah4sgeqj1l, 92qhzmz7bik9yiyhpt9fcvqzu, 41re9c0uwnzb5v3nkmxi6azmx, 2h2r99zztgquxzs5it347aitx, 9mqv7fxmzkj5jalxi1ju34jdg, cvlg8sqmyklrh34h1dbad8s9g",4231876925,130,8,4231876921,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4231876923,59,"1, 3, 25, 6, 87, 4, 11, 14, 9, 91, 37, 7, 8, 16, 18, 19, 22, 27, 42, 99",4231876927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540137827,1,34,16,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2023-04-28T15:00:55.989Z,2023-05-02T08:59:37Z,4231880009,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4231879999,59,"1, 23, 3, 4, 17, 6, 88, 87, 9, 74, 76, 2, 13, 24, 27, 28, 29, 49, 80, 90",4231880003,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4231880007,197,5787,4231879995,30,"8qps88s8g1c8xw5uiz5gyh4ut, dr08g6m75jde8h9p96jfwojit, 3a591b3l0o7ucdb8w72vjz4kp, bl117o6ogkgnnbv2gl0ozpn85, 2gwlr4pwk004ck0jrgn7z6ytx, a9yimyxegu9sx46hqvwswjs2d, 6wto8d6jcd41bo451wwbjng89, 5fpfdgzit3468e1a04ooetsr9, aotysrmw0ffmznm2u4ya487o5, b21fztzyrqua7i6lkfk7wh979, ciw54ghi1jv1xb5dmtv558xjp, 8po9k5w3ds7hoai833haglrf8, 64122p1l6bayb1x6lfi9w85m2, 6rsym2764y5k4vw569ab62x3o, 7fjkirlsme7wdpjibaw136s4, 84a84u8p0tc4v0rsnwjtdw8np, bx7lsguu67h38eanl7xf0hclw, c79pr94ulryjygvurdgku45w5, a9xl33f68np358angkw5o606i, c7da9wqhoce68v0tvfhb4itjo",4231879997,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4231880005,194,bl117o6ogkgnnbv2gl0ozpn85,4231880001,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540157533,2,32,1,0,0,aekjg4wbxaixtwu4aicmiju92,1,0,0,2023-04-28T16:00:24.988Z,2023-05-02T08:26:12Z,4231994497,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540157543,2,32,1,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2023-04-28T16:00:24.988Z,2023-04-28T16:00:26Z,4231994561,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540157545,3,1,1,0,0,aekjg4wbxaixtwu4aicmiju92,1,50,50,2023-04-28T16:00:25.088Z,2023-04-28T16:00:27Z,4231994567,141,59.6,4231994571,213,2.8,4231994563,56,Back,4231994569,212,20.9,4231994565,140,31.1,4231994573,279,S,,,,,,,3a2ef34105eqoes4s6zu1310p,Feras Al Brikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540157565,4,1,1,0,4,aekjg4wbxaixtwu4aicmiju92,1,32.4,60.5,2023-04-28T16:00:29.007Z,2023-04-28T16:00:30Z,4231994641,56,Back,4231994645,141,39.1,4231994643,140,33.3,4231994647,212,14.6,4231994649,213,4.8,,,,,,,,,,6b717wlx0q8d73hsbgsp90no5,Petros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540157583,5,1,1,0,4,aekjg4wbxaixtwu4aicmiju92,1,33.3,39.1,2023-04-28T16:00:29.968Z,2023-04-28T16:00:33Z,4231994739,140,30.0,4231994743,212,23.2,4231994745,213,4.6,4231994737,56,Back,4231994741,141,5.3,,,,,,,,,,d9pwgddm81gw3caq3njscahud,Mohammed Al Fuhaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540157633,6,1,1,0,8,aekjg4wbxaixtwu4aicmiju92,1,30,5.3,2023-04-28T16:00:33.312Z,2023-04-28T16:00:39Z,4231995015,141,4.9,4231995011,56,Right,4231995013,140,52.4,4231995017,212,23.5,4231995019,213,6.3,,,,,,,,,,4oiynjwt22nwpmy0oyx5q6jh0,Ziyad Al Jari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540157637,7,50,1,0,13,aekjg4wbxaixtwu4aicmiju92,1,43.2,3.8,2023-04-28T16:00:38.889Z,2023-04-28T16:00:54Z,4231995037,286,,4231995935,233,7,4231995035,56,Back,,,,,,,,,,,,,,,,aqe0o77dv6114gsbpw3t1iymt,M. Batna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540157801,7,7,1,0,13,2xl3g56k2mbuwdbre46s29vt4,0,56.8,96.2,2023-04-28T16:00:38.890Z,2023-05-02T08:27:12Z,4231995881,285,,4244304969,385,,4231995879,56,Left,4231995909,233,7,,,,,,,,,,,,,5fpfdgzit3468e1a04ooetsr9,Anselmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540183951,422,61,1,0,14,aekjg4wbxaixtwu4aicmiju92,1,38.6,3.1,2023-04-28T16:00:38.988Z,2023-04-28T16:52:39Z,4232138509,56,Back,,,,,,,,,,,,,,,,,,,,,,aqe0o77dv6114gsbpw3t1iymt,M. Batna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540157663,3,49,1,0,16,2xl3g56k2mbuwdbre46s29vt4,1,57,92.7,2023-04-28T16:00:41.588Z,2023-04-28T16:56:48Z,,,,,,,,,,,,,,,,,,,,,,,,,ciw54ghi1jv1xb5dmtv558xjp,F. Fajr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540157679,4,1,1,0,17,2xl3g56k2mbuwdbre46s29vt4,1,46.6,95.4,2023-04-28T16:00:42.730Z,2023-04-28T16:56:55Z,4231995259,213,4.7,4231995253,140,46.7,4231995257,212,9.1,4231995251,56,Back,4231995255,141,82.0,,,,,,,,,,ciw54ghi1jv1xb5dmtv558xjp,F. Fajr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540157731,5,1,1,0,18,2xl3g56k2mbuwdbre46s29vt4,1,46,85.3,2023-04-28T16:00:43.362Z,2023-04-28T16:57:19Z,4231995527,141,77.9,4231995523,56,Center,4231995525,140,59.4,4231995531,213,5.9,4231995529,212,14.9,,,,,,,,,,bl117o6ogkgnnbv2gl0ozpn85,Waleed Bakshwn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540186063,412,1,1,0,19,2xl3g56k2mbuwdbre46s29vt4,0,55.2,80.4,2023-04-28T16:00:43.988Z,2023-04-28T16:57:17Z,4232149807,140,57.5,4232149811,212,7.9,4232149809,141,91.5,4232149813,213,1.3,4232149805,56,Left,,,,,,,,,,6wto8d6jcd41bo451wwbjng89,Alaa Hejji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540157719,8,8,1,0,20,aekjg4wbxaixtwu4aicmiju92,1,33,7.5,2023-04-28T16:00:45.193Z,2023-05-02T08:27:45Z,4231995441,56,Back,4244305497,385,,,,,,,,,,,,,,,,,,,,4oiynjwt22nwpmy0oyx5q6jh0,Ziyad Al Jari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540157737,9,43,1,0,21,aekjg4wbxaixtwu4aicmiju92,1,0,0,2023-04-28T16:00:46.001Z,2023-04-28T16:53:45Z,4231995547,56,Right,4232140973,144,61,,,,,,,,,,,,,,,,,,,1vpmf7p9xsaynj1t9g5wm1qz9,T. Dingomé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540157763,6,5,1,0,22,2xl3g56k2mbuwdbre46s29vt4,1,53,100.8,2023-04-28T16:00:47.922Z,2023-04-28T16:00:50Z,4231995683,347,,4231995681,56,Left,4231995691,233,10,,,,,,,,,,,,,,,,bl117o6ogkgnnbv2gl0ozpn85,Waleed Bakshwn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540157751,10,5,1,0,22,aekjg4wbxaixtwu4aicmiju92,0,47,-0.8,2023-04-28T16:00:47.922Z,2023-04-28T16:05:28Z,4231995613,56,Back,4231995701,233,6,4231995615,347,,,,,,,,,,,,,,,,,1vpmf7p9xsaynj1t9g5wm1qz9,T. Dingomé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540157851,8,1,1,0,31,2xl3g56k2mbuwdbre46s29vt4,1,56,100,2023-04-28T16:00:56.387Z,2023-04-28T16:57:41Z,4231996107,56,Left,4231996105,107,,4231996111,141,90.9,4231996109,140,73.9,4231996115,213,5.9,4231996113,212,20.0,,,,,,,3a591b3l0o7ucdb8w72vjz4kp,Abdulelah Al Bukhari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
