id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/8/value,qualifier/10/value,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,keyPass,qualifier/14/value,qualifier/15/value,qualifier/13/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2521386563,1,34,16,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-03-18T12:11:29.994Z,2023-03-18T13:06:36Z,4104490417,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104490419,194,4upzspmuautmtl51yxe3kva39,4104490411,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4104490409,30,"5il4uc7d941ndwjl0qu97y7dh, 56umgnm066b18r5v5m7xduead, bg3kdsod1j0u3yk1jw5ndu9sk, cfjp3mf7meekpcsx7hjrql79, 82t3ag5zwejftjmznthvsjtn9, 4upzspmuautmtl51yxe3kva39, 29i4ruk1vkwrl1w9vg9ggqpqt, 6lpj04km1rma60n8l66q0hd5h, aatjvj13ffwrj81vcfy68fnit, 1omzj46rrvsev6v03nd72dgwl, 1cpbxhov5ypi6ez7k09oxo5w5, eqdev00exzhrls89wj77cdzp, du6wgayjqw7jqjh770c43vvmd, 79n11s84csv7ur8atv9qbi3o4, d3sjamk5urj3zpdece4bopadx, 38qgiazulsyaxmvqqrdjlw2l0, e002yhrou49zglsk4sydbem1g, 7us8hoqv66v0fqos94zxijk2y, 1ow25k1m9n3pf4r5s0erkqw2d, dfp7gtib09b9l0bdqfl89m356",4104490421,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104490415,130,8,4104674437,197,620,4104490413,59,"34, 33, 12, 19, 20, 26, 17, 10, 9, 24, 90, 5, 11, 14, 21, 36, 40, 70, 80, 95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521390191,1,34,16,0,0,aekjg4wbxaixtwu4aicmiju92,1,0,0,2023-03-18T12:15:08.859Z,2023-03-18T13:02:44Z,4104507727,194,d9pwgddm81gw3caq3njscahud,4104507729,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104507721,59,"1, 27, 83, 14, 4, 17, 11, 6, 9, 28, 19, 3, 7, 8, 16, 18, 26, 87, 91, 99",4104681193,197,615,4104507717,30,"26dlb4txygf7qzukjikr23mxh, 2h2r99zztgquxzs5it347aitx, 73sjrd456fd075zz1gmoutpuc, d9pwgddm81gw3caq3njscahud, mnfpjrfb77nre55z4ha7b9p1, 6y9gieuehyt2l41jeh0cucrmd, aqe0o77dv6114gsbpw3t1iymt, 6b717wlx0q8d73hsbgsp90no5, 3a2ef34105eqoes4s6zu1310p, cee8klv6kur6xp1v57uikihg5, 92qhzmz7bik9yiyhpt9fcvqzu, 4oiynjwt22nwpmy0oyx5q6jh0, emt3e6x1c9howgtee0hr1hucp, etvu2javyjbzekaw2ro994iqd, 3qjdcqc4mo21w0au4rveeenkl, 30dor76ut58qzf8ah4sgeqj1l, jzdzefumhn1ch49i21rc2385, 9twzw7onygiy3indxm8rtjvu1, 1vpmf7p9xsaynj1t9g5wm1qz9, cvlg8sqmyklrh34h1dbad8s9g",4104507719,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4104507725,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104507723,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521425545,2,32,1,0,0,aekjg4wbxaixtwu4aicmiju92,1,0,0,2023-03-18T13:01:25.781Z,2023-03-31T10:26:28Z,4104683735,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521425603,2,32,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-03-18T13:01:25.781Z,2023-03-18T13:01:28Z,4104684063,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521425599,3,1,1,0,0,aekjg4wbxaixtwu4aicmiju92,1,50.2,49.9,2023-03-18T13:01:25.808Z,2023-03-31T10:34:23Z,4149769857,178,,4104684035,213,3.2,4104684033,212,9.7,4104684039,279,S,4104684027,56,Back,4104684029,140,41.0,4104684031,141,49.6,,,,3a2ef34105eqoes4s6zu1310p,Feras Al Brikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521425641,4,1,1,0,2,aekjg4wbxaixtwu4aicmiju92,1,41,49.6,2023-03-18T13:01:28.530Z,2023-03-31T10:34:26Z,4104684285,140,39.3,4104684291,213,4.7,4104684283,56,Back,4104684289,212,30.8,4104684287,141,4.4,4149770099,178,,,,,,,,6b717wlx0q8d73hsbgsp90no5,Petros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521425675,5,1,1,0,5,aekjg4wbxaixtwu4aicmiju92,1,39.3,4.4,2023-03-18T13:01:31.500Z,2023-03-31T10:34:30Z,4104684469,56,Right,4104684475,212,30.5,4104684473,141,3.5,4104684477,213,6.3,4149770131,178,,4104684471,140,68.3,,,,,,,2h2r99zztgquxzs5it347aitx,Ali Al Zubaidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521425725,6,1,1,0,8,aekjg4wbxaixtwu4aicmiju92,1,68.3,3.5,2023-03-18T13:01:33.914Z,2023-03-31T10:34:35Z,4104684833,212,15.7,4104684835,213,1.9,4149770221,178,,4104684831,141,24.9,4104684827,56,Center,4104684829,140,62.8,,,,,,,aqe0o77dv6114gsbpw3t1iymt,M. Batna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521425809,7,1,1,0,12,aekjg4wbxaixtwu4aicmiju92,1,63.6,25.9,2023-03-18T13:01:38.303Z,2023-03-31T10:34:38Z,4104685223,140,68.0,4104685225,141,4.0,4104685221,56,Right,4149770245,178,,4104685229,213,5.0,4104685227,212,15.6,,,,,,,d9pwgddm81gw3caq3njscahud,Mohammed Al Fuhaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523295521,667,45,1,0,15,2kzl64gp8x37bon8tyxojqrr1,0,36.9,94.5,2023-03-18T13:01:41.038Z,2023-03-31T10:34:44Z,4114621295,56,Back,4114651215,233,958,4114621297,285,,,,,,,,,,,,,,,,,cfjp3mf7meekpcsx7hjrql79,Bruno Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523295517,958,3,1,0,15,aekjg4wbxaixtwu4aicmiju92,1,63.1,5.5,2023-03-18T13:01:41.038Z,2023-03-31T10:34:43Z,4114621225,56,Right,4114621229,465,,4114651211,233,667,4114621227,286,,4149770329,178,,,,,,,,,,,aqe0o77dv6114gsbpw3t1iymt,M. Batna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523291829,648,43,1,0,15,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-03-18T13:01:41.049Z,2023-03-21T16:59:39Z,4114621205,144,3,4114596191,465,0,4114596143,286,0,4114596141,56,Back,,,,,,,,,,,,,du6wgayjqw7jqjh770c43vvmd,Abdulaziz Al Bishi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523291833,941,43,1,0,15,aekjg4wbxaixtwu4aicmiju92,1,0,0,2023-03-18T13:01:41.169Z,2023-03-21T16:59:48Z,4114596153,56,Right,4114621231,144,45,4114596155,285,0,,,,,,,,,,,,,,,,92qhzmz7bik9yiyhpt9fcvqzu,Khalid Al Ghannam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521425837,8,1,1,0,17,aekjg4wbxaixtwu4aicmiju92,1,78.1,7.7,2023-03-18T13:01:43.175Z,2023-03-31T10:34:51Z,4104685385,56,Right,4104685391,212,10.6,4104685387,140,88.1,4104685389,141,5.8,4149770537,178,,4104685393,213,6.2,,,,,,,aqe0o77dv6114gsbpw3t1iymt,M. Batna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521425859,9,3,1,0,19,aekjg4wbxaixtwu4aicmiju92,0,88.6,4.9,2023-03-18T13:01:44.960Z,2023-03-31T10:34:55Z,4149770617,178,,4104685495,56,Right,4114596649,465,,4104685759,233,3,4104685497,286,,,,,,,,,,,2h2r99zztgquxzs5it347aitx,Ali Al Zubaidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521425897,3,7,1,0,19,2kzl64gp8x37bon8tyxojqrr1,1,11.4,95.1,2023-03-18T13:01:45.116Z,2023-03-31T10:34:58Z,4104685665,56,Back,4104685663,167,,4114596755,385,,4104685667,285,,4149770655,178,,4104685703,233,9,,,,,,,bg3kdsod1j0u3yk1jw5ndu9sk,Zakaria Al Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521425925,4,6,1,0,20,2kzl64gp8x37bon8tyxojqrr1,0,11.4,95.1,2023-03-18T13:01:46.450Z,2023-03-31T10:35:02Z,4104685807,73,,4104685883,233,10,4104685805,56,Back,,,,,,,,,,,,,,,,bg3kdsod1j0u3yk1jw5ndu9sk,Zakaria Al Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521425891,10,6,1,0,20,aekjg4wbxaixtwu4aicmiju92,1,88.6,4.9,2023-03-18T13:01:46.450Z,2023-03-31T10:35:02Z,4104685853,233,4,4104685641,75,,4104685639,56,Right,,,,,,,,,,,,,,,,2h2r99zztgquxzs5it347aitx,Ali Al Zubaidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521426215,11,1,1,0,39,aekjg4wbxaixtwu4aicmiju92,0,99.5,0.5,2023-03-18T13:02:05.403Z,2023-03-31T10:35:05Z,4104687333,155,,4104687347,1,,4104687335,223,,4114596961,72,,4104687337,56,Center,4104687343,212,34.6,4104687345,213,1.8,4104687341,141,50.4,aqe0o77dv6114gsbpw3t1iymt,M. Batna,4149770819,178,4104687331,6,4104687329,2,4104687339,140,93.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
