id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/15/value,keyPass,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2486658249,1,34,16,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2022-11-19T14:15:06.243Z,2022-11-19T14:15:06Z,3921229879,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3921229863,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3921229869,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3921229861,30,"c3nbdw1440h1uwwmixrjxwclx, 4nm1tx8buxym4bf9f2pti2fhl, 3k9tjd5wgpufcbq4od8jpo89h, dwrnys3htjlb3asfou6425g16, 49ca952ot1c3ytut2s281ds6h, 5r55bc61sgthojep749axb6y1, 1iy0goeaf5btyw09tr2ywbe8l, canpue729cozt0cw6a1dpi7ai, 32crcj18u4qnf8f07fbsopvpx, 878xi84rsiw5uj1doiy894lwp, cruhiz25b3bbd4unocpu9bvf9, a97lovkim5o3xqd92bc80l5ux, 1r9aj50371x6f0xf7mmvldz9x, 4nph9aqyr2kz1gmdh7v9n3w89, 23gglwejp456bifnwkk9xi0a, d25ilw75uqbnk15v383e1kxrd, i1bzoqwi1u382l4yx3n864x6, 2evuc5me085gt0aeky191cduc",3921229865,59,"40, 2, 7, 5, 6, 3, 8, 48, 44, 27, 30, 1, 9, 10, 14, 24, 26, 29",3921229875,197,16169,3921229871,194,49ca952ot1c3ytut2s281ds6h,3921229867,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486658329,1,34,16,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2022-11-19T14:15:21.708Z,2022-11-19T15:11:55Z,3921230437,30,"32sqctjujedqsab4xwy1pwlbd, 4k2uxd5rl1u8ctyxh3d765fqh, 8bx76kurepj0yqe9iixa0zyp6, 9r28zj6fz3z8dzojktwambsut, 5obqs1ezswoc3ns0c9k4qai8l, 2hhatd33vvokrbemn4echivhl, 8uch2zjj8vxmfi2l544j5ipxx, 9qeg65oa5skmypxvt73vckfrp, 2uids8ea8jv4r62psqj37x3e2, 299g43uwcj4dblia1bihagmol, 9y8gvjzrsvgxkcfvq99mivdyi, 1vfuzp09s9oj95ruav4ln9ch6, 6evqqxq5e0y1uvigg6bss4frp, am1da6dm0zympt2yt120h94yy, 9mgcugydtvdr5wk7qii9wpd2i, 7wgynxj11urhizi5r3girip2i, enjlm4kjscxmu04a1tz7vo3fu, bhtwzoyaqug2p0ezr7c6wxuui",3921230451,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3921230443,130,13,3921230449,197,2083,3921230445,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3921230441,59,"1, 2, 22, 33, 3, 5, 6, 14, 10, 11, 19, 4, 9, 12, 16, 20, 23, 28",3921230447,194,5obqs1ezswoc3ns0c9k4qai8l,3921230439,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486677305,2,32,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2022-11-19T15:09:04.100Z,2022-11-21T22:12:10Z,3921327579,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486677301,2,32,1,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2022-11-19T15:09:04.100Z,2022-11-19T15:09:04Z,3921327557,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486677387,3,1,1,0,0,8w89tsles26jm12aoelwvlttt,1,50.2,50,2022-11-19T15:09:04.129Z,2022-11-22T05:08:25Z,3921327911,141,51.5,3921327915,213,3.1,3921327907,56,Back,3921327917,279,S,3923780967,178,,3921327913,212,23.4,3921327909,140,27.9,,,,9y8gvjzrsvgxkcfvq99mivdyi,L. Barry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486677449,4,1,1,0,4,8w89tsles26jm12aoelwvlttt,1,27,59.9,2022-11-19T15:09:08.661Z,2022-11-22T05:08:31Z,3921328215,212,21.7,3921328211,140,6.7,3921328217,213,3.3,3923781035,178,,3921328213,141,53.9,3921328209,56,Back,,,,,,,5obqs1ezswoc3ns0c9k4qai8l,D. Lewington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486677507,5,1,1,0,7,8w89tsles26jm12aoelwvlttt,0,8.2,52.1,2022-11-19T15:09:11.422Z,2022-11-22T05:13:44Z,3921328575,155,,3921328583,212,56.5,3921328577,56,Right,3923782659,178,,3921328581,141,16.1,3921328585,213,5.8,3921328579,140,56.7,3921328587,1,,32sqctjujedqsab4xwy1pwlbd,J. Cumming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486677561,3,1,1,0,10,9db4t34qy4owglhvvgwf5l22i,0,45.9,84.8,2022-11-19T15:09:14.520Z,2022-11-22T05:13:51Z,3921328853,140,71.0,3921328859,213,5.9,3923782675,388,,3921328851,56,Center,3921328855,141,70.6,3921328849,3,,3921328857,212,28.1,,,,dwrnys3htjlb3asfou6425g16,L. Kitching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486677591,7,1,1,0,12,8w89tsles26jm12aoelwvlttt,1,30.8,36.9,2022-11-19T15:09:16.951Z,2022-11-22T05:14:04Z,3921329029,56,Back,3923782723,178,,3921329033,141,15.3,3921329037,213,5.1,3921329027,3,,3921329035,212,16.2,3921329031,140,37.2,,,,5obqs1ezswoc3ns0c9k4qai8l,D. Lewington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486677573,6,43,1,0,13,8w89tsles26jm12aoelwvlttt,1,0,0,2022-11-19T15:09:17.153Z,2022-11-19T15:09:53Z,3921328913,140,31.9,3921328909,3,0,3921328919,213,5.6,3921328915,141,37.7,3921328911,56,Back,3921328917,212,0.5,3921332297,144,1,,,,32sqctjujedqsab4xwy1pwlbd,J. Cumming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
