id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/18/value,qualifier/17/value
2499122445,1,34,16,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2023-01-21T14:00:14.711Z,2023-01-21T16:23:23Z,3987142551,30,"1um5sa7iogc29aadvkabadyad, 80bmtj7l07ohb2h475w955n9, 918sxflcvngsy0xvc9dh3jaei, 2u0613a3yx2fk1pefmb722rbp, e6la6wx7o6x7k4srpq8tdsafp, 7gyfpskzbb3r5nhiniky22o6h, dg4782hj9xdqg46w225kzph5g, 6gxyeuqjnyj9bl4n8kz14sv6d, efq6i6kz6ca3u91snwmptef2t, cr4c6htcw2jewsvboj6s8p045, 8cmkqkrjme3wb0gegzn1e6xre, 12l99v9rpet6ug6n121tg6ay1, bvlkh4zxfuo5frhj7ogpnecbt, bzjzvw54k5cmo93wdkjv89knp, b187awt0wdxh20fx1rn5vgewa, 2ubxzcc4zioelrh0cvxnae4lx, 95pzsjfh0wf6isp6qpf9lddyh, brtrhngpuholh79z6p8tgjx4a, 1n1iqt63gkt8nly9lia2wbkt0, 3jm69rca8lhbkxsw6l5zdrjtg",3987142553,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3987142565,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987142561,194,7gyfpskzbb3r5nhiniky22o6h,3987142563,197,2071,3987142555,59,"13, 15, 33, 14, 3, 5, 11, 8, 21, 10, 32, 1, 6, 17, 20, 22, 25, 41, 49, 51",3987142559,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987142557,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499122469,1,34,16,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2023-01-21T14:00:20.010Z,2023-01-21T14:00:20Z,3987142689,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987142687,197,16649,3987142675,30,"8bhdwi4p824s82bbzkh2vy6t, 8pb6iiphpyxdlpbs4dpunr8wl, 59wmst2hxu6y4zut9a48jxiw9, 19nlw3sa0khwz0el4wqc7zrp, 1tuivl8zdnsaz8vbed2z582qx, cfpqqzqrpzv6dq89yw7nfd1p1, ece7xph4emgawvh7mr56319ex, 55yy0p6johtu9nxk90zsfctt5, 1l228p52d8wdf8qhfxqu8rca, cjdycctu96jilvbvnl7ndh9sl, 95uxoznu15m2xywirv43rcmol, dsvi49wsvjqdbiddyme3xow7o, av7e2wk5ub7qnh3sqcvssvh79, 3mgjcyaseuexxlssgatjgsand, 25kl6261u9xft9cfvot8aezf9, 5f72vvw62zdlyrj3mwux2udat, 2tu3bem0lv16wonsxi6pxpmtx, 8kfciybd6filv663ebckuerjd, 12cgiy0t282ywdbr5j78hrxsl, 6jbeiiziegtchyv2zjt87kslx",3987142679,59,"13, 24, 32, 23, 4, 30, 22, 10, 20, 39, 5, 28, 3, 7, 8, 11, 12, 16, 26, 31",3987142685,194,1tuivl8zdnsaz8vbed2z582qx,3987142677,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3987142681,130,23,3987142683,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167091,2,32,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2023-01-21T15:00:39.494Z,2023-01-21T22:51:40Z,3987370707,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167085,2,32,1,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2023-01-21T15:00:39.494Z,2023-01-21T15:00:39Z,3987370685,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167125,3,1,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,50,50.5,2023-01-21T15:00:39.593Z,2023-01-21T22:57:42Z,3987370873,141,32.2,3987370871,140,56.6,3987370869,56,Center,3987370875,212,14.2,3989076813,178,,3987370877,213,5.2,3987370879,279,S,,,,6gxyeuqjnyj9bl4n8kz14sv6d,J. Lerma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167217,4,1,1,0,1,1pse9ta7a45pi2w2grjim70ge,1,62.3,30.2,2023-01-21T15:00:40.941Z,2023-01-21T22:57:47Z,3987371285,140,66.4,3987371283,56,Right,3987371289,212,16.5,3989076893,178,,3987371287,141,6.7,3987371291,213,5.0,,,,,,,2u0613a3yx2fk1pefmb722rbp,J. Rothwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167251,5,1,1,0,7,1pse9ta7a45pi2w2grjim70ge,1,63.7,13.4,2023-01-21T15:00:47.061Z,2023-01-21T22:57:51Z,3987371435,56,Back,3989076955,178,,3987371443,213,3.2,3987371441,212,18.2,3987371437,140,46.4,3987371439,141,12.7,,,,,,,dg4782hj9xdqg46w225kzph5g,D. Ouattara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167341,6,1,1,0,9,1pse9ta7a45pi2w2grjim70ge,1,46.4,12.7,2023-01-21T15:00:49.361Z,2023-01-21T22:57:57Z,3987371885,141,38.9,3987371883,140,33.5,3987371881,56,Back,3989077071,178,,3987371887,212,22.4,3987371889,213,2.2,,,,,,,80bmtj7l07ohb2h475w955n9,A. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167451,7,1,1,0,14,1pse9ta7a45pi2w2grjim70ge,1,46.5,57.6,2023-01-21T15:00:54.390Z,2023-01-21T22:59:29Z,3987372425,56,Center,3987372431,212,20.6,3989078333,178,,3987372433,213,0.5,3987372427,140,63.7,3987372429,141,72.3,,,,,,,e6la6wx7o6x7k4srpq8tdsafp,J. Stephens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167457,8,4,1,0,17,1pse9ta7a45pi2w2grjim70ge,1,58.8,70.8,2023-01-21T15:00:56.712Z,2023-01-21T22:59:46Z,3987372463,265,,3987372471,233,3,3987372461,152,,3987372457,13,,3987372459,56,Center,3987372465,286,,,,,,,,8cmkqkrjme3wb0gegzn1e6xre,J. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
