id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,qualifier/18/value
2504399441,1,34,16,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-02-05T13:16:27.772Z,2023-02-05T14:04:09Z,4014760527,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014760521,130,8,4014923875,197,4727,4014760517,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4014760523,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014760525,194,7jj9gwpuk49bsm2ru06qb44wl,4014760515,30,"6wplm29z7qxxmujyc2ml19gix, baogzi00mwdclwbvkd618evv9, 512mx8ixg85cbefyan94g82y1, 7jj9gwpuk49bsm2ru06qb44wl, 6ypo3vp0zupq6s1jbk8rbmq51, 5rh9yiue1qnabbwoyweyus5t6, co59rv08x22hk5itwibbwq191, 46vm60m1v8o9t0aesa0bpr42y, 1py4bk2ik16w8lil31bghq99m, doc6xdg2vumiyoamostngr36d, 7pv3n0vj8243p1di16regotsl, 3o7ktan6n28fn5fj7gel6qead, 9qk1hoxri8dee6yat0cateqxh, cglp4k40r1t672m7j0eb5ktsl, aujgya83jg4eylvm7hjjbbasq, dhk8g3ptwjf297ix0rcvgydhx, 9br3ebcuzl5b755kwuxgey3md, dac9zcryfwbq3xdik69gkpadx, 38cux1onwt3bxppreaklir7it, b187awt0wdxh20fx1rn5vgewa",4014760519,59,"1, 97, 14, 12, 4, 95, 7, 80, 19, 29, 9, 6, 11, 16, 17, 21, 22, 24, 32, 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504400343,1,34,16,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-02-05T13:17:30.430Z,2023-02-05T13:56:28Z,4014765147,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014929847,197,16322,4014765139,30,"89sv092huj2obzdazmft854a1, 3sc349yey596xp2j6xlyt0frp, e1gq9zfwrm446r2tzmeiw6jmx, 2lvit204llltk13iglsa2tjah, 36h87ecgmpjdltk1epsbvmiju, 976riwm0dz0e74d4l28y3ttcl, cmrdm4nnd62inlvsnc52vkicp, 8qmm84tue6kuz8e5nhhdhmz8p, edti8t30h7ukwi3wqlzaczje1, 8gkexxgf3pypshhqwg6ibp7o4, ccu7hw3wrcspl1a18g2ldnsh5, afymbx9eo87zau8mo99pakbu, 5ghvrbmlh0tqos9iohj8f7zzd, agwvouyocx93y39g7tmwaojx1, 18b0ti0bsq68842kgbczsbgmh, fvd7y3f6948713acbas7w3u2, 96wcx761pzv5ub4sfwsynp51x, 8zo4abj7d3ut3cry9tcsoglw, 34qnp7hi8hr2xtmxnxyv6hxjo, 4scfsr0qvjnh8jxrdnld9b0lx",4014765141,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4014765145,130,8,4014765149,194,976riwm0dz0e74d4l28y3ttcl,4014765151,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014765143,59,"94, 32, 25, 8, 24, 5, 39, 15, 29, 3, 70, 4, 9, 10, 11, 17, 21, 43, 48, 96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435695,3,43,1,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-02-05T14:00:35.023Z,2023-02-05T14:00:57Z,4014942929,140,50.1,4014942931,141,50.0,4014942933,212,0,4014944343,144,1,4014942927,56,Center,4014942935,213,3.1,,,,,,,doc6xdg2vumiyoamostngr36d,M. Autret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435397,2,32,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-02-05T14:00:35.507Z,2023-02-05T14:00:35Z,4014941517,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435365,2,32,1,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-02-05T14:00:35.507Z,2023-02-05T21:40:39Z,4014941405,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504436093,9,1,1,0,0,9bxav814mkuhueiyivyive82d,1,49.9,50,2023-02-05T14:00:35.633Z,2023-02-06T04:19:02Z,4014944761,140,30.3,4016888817,178,,4014944775,213,3.5,4014944757,56,Back,4014945037,279,S,4014944765,141,38.0,4014944769,212,22.1,,,,doc6xdg2vumiyoamostngr36d,M. Autret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435755,4,1,1,0,2,9bxav814mkuhueiyivyive82d,0,28.5,41,2023-02-05T14:00:38.506Z,2023-02-06T07:47:58Z,4014943221,155,,4014943227,141,73.3,4014943223,56,Center,4014943233,1,,4014943231,213,0.5,4016888949,178,,4014943225,140,67.1,4014943229,212,46.1,6ypo3vp0zupq6s1jbk8rbmq51,Jubal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504487295,484,44,1,0,6,3c3jcs7vc1t6vz5lev162jyv7,1,37,22.1,2023-02-05T14:00:41.719Z,2023-02-06T07:47:58Z,4015233195,233,372,4015211715,285,,4015211713,56,Back,,,,,,,,,,,,,,,,8qmm84tue6kuz8e5nhhdhmz8p,M. Munetsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504491119,372,44,1,0,6,9bxav814mkuhueiyivyive82d,0,63,77.9,2023-02-05T14:00:41.720Z,2023-02-06T07:47:57Z,4015233151,286,,4015233233,233,484,4015233145,56,Center,,,,,,,,,,,,,,,,7pv3n0vj8243p1di16regotsl,Nuno da Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435789,3,1,1,0,6,3c3jcs7vc1t6vz5lev162jyv7,0,37,20.4,2023-02-05T14:00:41.810Z,2023-02-06T07:47:57Z,4014943391,213,5.0,4014943383,56,Back,4014943387,141,9.4,4016889017,388,,4014943381,3,,4014943389,212,7.9,4014943385,140,39.4,,,,8qmm84tue6kuz8e5nhhdhmz8p,M. Munetsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435833,5,1,1,0,8,9bxav814mkuhueiyivyive82d,1,54.6,88.7,2023-02-05T14:00:43.606Z,2023-02-06T07:47:56Z,4014943613,56,Left,4015233885,155,,4014943625,141,85.9,4014943629,212,27.3,4014943619,140,80.5,4016889045,178,,4014943633,213,6.2,,,,512mx8ixg85cbefyan94g82y1,G. Mensah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435845,6,43,1,0,10,9bxav814mkuhueiyivyive82d,1,0,0,2023-02-05T14:00:45.507Z,2023-02-05T14:56:21Z,4015234173,144,49,,,,,,,,,,,,,,,,,,,,,,1py4bk2ik16w8lil31bghq99m,M. Abline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435851,7,61,1,0,10,9bxav814mkuhueiyivyive82d,0,79,83.2,2023-02-05T14:00:46.106Z,2023-02-06T07:47:56Z,4016889073,178,,4014943689,56,Left,,,,,,,,,,,,,,,,,,,1py4bk2ik16w8lil31bghq99m,M. Abline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435821,4,5,1,0,13,3c3jcs7vc1t6vz5lev162jyv7,1,-1,25.2,2023-02-05T14:00:48.644Z,2023-02-06T04:19:47Z,4014943563,346,,4014943561,56,Back,4014943757,233,8,,,,,,,,,,,,,,,,8gkexxgf3pypshhqwg6ibp7o4,K. Doumbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435855,8,5,1,0,13,9bxav814mkuhueiyivyive82d,0,101,74.8,2023-02-05T14:00:48.644Z,2023-02-06T04:19:47Z,4014943729,346,,4014943773,233,4,4014943721,56,Center,,,,,,,,,,,,,,,,1py4bk2ik16w8lil31bghq99m,M. Abline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435997,5,1,1,0,18,3c3jcs7vc1t6vz5lev162jyv7,1,5,44.2,2023-02-05T14:00:54.227Z,2023-02-06T07:47:55Z,4014944367,140,9.0,4014944361,124,,4014944363,56,Back,4014944377,237,,4014944371,212,25.9,4014944369,141,81.8,4014944373,213,1.4,,,,89sv092huj2obzdazmft854a1,Y. Diouf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504436035,6,1,1,0,23,3c3jcs7vc1t6vz5lev162jyv7,1,17.9,81.6,2023-02-05T14:00:58.647Z,2023-02-06T07:47:54Z,4014944537,141,96.2,4016889131,178,,4014944541,213,0.7,4014944533,56,Back,4014944535,140,28.3,4014944539,212,14.8,,,,,,,976riwm0dz0e74d4l28y3ttcl,Y. Abdelhamid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
