id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2490049747,1,34,16,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2022-12-10T12:13:01.668Z,2022-12-10T13:49:34Z,3939155703,130,8,3939155699,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3939155705,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3939155697,30,"7iuwrwcupehj978vpf8sep591, 2to7qgaomc72knk6y1689ihka, 3edubak34lsocvkirgryo8vd, a36nwipwjfluk0rjfjzdiflk9, q195fj3dlx9i3r0zno98nhuc, ero1axtkr33y6yetn4uti2oyx, 6oxe2vmgkxzl4dfz5cdqbajmd, c99gqg4cu9eqy5yu8fga71vit, 58zv1pd350niecmu275p4xyqc, b062pdmskviwqwzf5dckoffmd, aeoazf90glk79a2puhpm06pyh, a52izyii7s44qihbp4upbukiy, 24ptrmidgqdyq5sryicc2g9hw, 1vj4sunehr71tbbpu6zsp6dw5, 3o5f01ay5uqzeb3xunhguvsyy, 3w9nqzmvm6df5becqtvypo5w5, 5b3esi4e6l86aqvprt9l16uqc, e9e2sdrwd5g6m8kfpxpe8ml79",3939155701,59,"30, 4, 5, 24, 15, 3, 9, 6, 13, 17, 26, 12, 1, 7, 11, 14, 19, 10",3939155707,194,b062pdmskviwqwzf5dckoffmd,3939155711,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939155709,197,8429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490051757,1,34,16,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2022-12-10T12:16:21.163Z,2022-12-10T13:35:32Z,3939166125,197,8503,3939166123,194,1rsg1y7lx0ruqcwgj6c6oovdh,3939166119,130,8,3939166127,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939166121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3939166109,30,"8yebzwn5wynngu33kqcsh1fbp, byu5qg9zlu5w1e234xl2058iy, dx5okwmzef2p09vgp02i1ucph, 7d4y77nkrn4w4dht1c4vr28yx, 8iblvy7aw7kdghvke6s5gisid, 1mhjq24kq1fapaoib7lzb6b4l, 3uxijnhp1ibbqm6e4lfivq8k5, 7l931hwm1tajvf6r717biyw2d, 1rsg1y7lx0ruqcwgj6c6oovdh, 1ck8f8510t6ei80haqe2vqbpx, cg4yqx0lth6d27oxlgwcuvdn9, 9qk0ypimadwonzxu0oqeirm22, 94pv0j29t5jrfdc36o6791wp, 2n3sv3vt7ano86i5j9j3f8a95, ehchjemv9fwcnwomosua92qqd, 1ph6w6q8t75mov5fnnc8hda8k, afbretep8sws6f9hrnpghk416, 2q1tt2u2h3q1hb3uz28rofzmc",3939166115,59,"1, 2, 27, 8, 10, 19, 11, 22, 21, 17, 28, 30, 7, 9, 23, 24, 25, 31",3939166113,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083503,2,32,1,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2022-12-10T13:31:06.851Z,2022-12-10T13:31:08Z,3939338675,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083505,2,32,1,0,0,dgpni8xwxjhgekjmg0m8bb6nv,1,0,0,2022-12-10T13:31:06.851Z,2022-12-10T13:31:07Z,3939338685,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083507,3,1,1,0,0,bdfjkux9o0vtsdig5zsbhtysq,1,49.7,49.9,2022-12-10T13:31:07.152Z,2022-12-10T13:34:30Z,3939338697,279,S,3939338687,56,Back,3939338693,212,11.3,3939338695,213,3.2,3939338689,140,39.0,3939338691,141,48.9,,,,,,,1rsg1y7lx0ruqcwgj6c6oovdh,O. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083551,4,1,1,0,4,bdfjkux9o0vtsdig5zsbhtysq,1,41.1,50.4,2022-12-10T13:31:11.521Z,2022-12-10T13:34:24Z,3939338923,141,32.7,3939338925,212,15.4,3939338921,140,31.9,3939338927,213,4.0,3939338919,56,Back,,,,,,,,,,7d4y77nkrn4w4dht1c4vr28yx,D. Corboz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083559,5,1,1,0,6,bdfjkux9o0vtsdig5zsbhtysq,1,31.9,32.7,2022-12-10T13:31:13.153Z,2022-12-10T13:31:13Z,3939338965,56,Back,3939338967,140,37.8,3939338973,213,1.2,3939338969,141,53.1,3939338971,212,15.2,,,,,,,,,,1mhjq24kq1fapaoib7lzb6b4l,T. Greboval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083579,6,1,1,0,7,bdfjkux9o0vtsdig5zsbhtysq,1,37.8,53.1,2022-12-10T13:31:13.905Z,2022-12-10T13:31:16Z,3939339073,140,29.3,3939339075,141,60.9,3939339077,212,10.4,3939339071,56,Back,3939339079,213,2.6,,,,,,,,,,7d4y77nkrn4w4dht1c4vr28yx,D. Corboz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083601,7,1,1,0,9,bdfjkux9o0vtsdig5zsbhtysq,1,29.3,60.2,2022-12-10T13:31:16.545Z,2022-12-10T13:31:18Z,3939339179,140,21.5,3939339185,213,4.3,3939339183,212,22.2,3939339181,141,29.8,3939339177,56,Back,,,,,,,,,,8iblvy7aw7kdghvke6s5gisid,A. Butel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083615,8,1,1,0,12,bdfjkux9o0vtsdig5zsbhtysq,1,21.3,27.3,2022-12-10T13:31:19.355Z,2022-12-10T13:31:20Z,3939339259,212,17.3,3939339253,56,Back,3939339261,213,4.6,3939339255,140,19.6,3939339257,141,2.0,,,,,,,,,,1mhjq24kq1fapaoib7lzb6b4l,T. Greboval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083635,9,1,1,0,14,bdfjkux9o0vtsdig5zsbhtysq,1,21.1,4,2022-12-10T13:31:20.944Z,2022-12-10T13:31:23Z,3939339339,213,0.8,3939339337,212,8.2,3939339331,56,Back,3939339333,140,26.5,3939339335,141,12.8,,,,,,,,,,byu5qg9zlu5w1e234xl2058iy,C. Ould Hocine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083655,10,1,1,0,16,bdfjkux9o0vtsdig5zsbhtysq,1,28.1,12,2022-12-10T13:31:23.457Z,2022-12-10T13:31:27Z,3939339441,56,Back,3939339449,213,5.8,3939339445,141,2.9,3939339443,140,38.8,3939339447,212,12.8,,,,,,,,,,7l931hwm1tajvf6r717biyw2d,S. Vaysse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
