id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/9/value,qualifier/15/value,qualifier/10/value,qualifier/11/value,assist,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2526570145,1,34,16,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0,0,2023-04-01T14:39:39.751Z,2023-04-01T15:27:55Z,4152724273,130,13,4152724283,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152724271,59,"1, 17, 21, 5, 4, 3, 24, 6, 9, 7, 10, 2, 8, 13, 14, 19, 20, 23",4152724279,197,5164,4152724267,30,"9hf3cqj9cd6m2x4sb05e0n1t5, d83agzjsghnwbm4mq9b3x8dbe, bmj66ols6rtul44h9c6obmi95, dhvlc4odgtd7wz8ntmr9rz26t, sxahqo62pj3wu3yfeah4fiay, 950x9v0qx1pqgkc67e6hnbpt6, c9qk8n9d4130okk9go1brzskq, 1zy10ymkyg5dz4edlg8pdcxcl, 48ffxxjaqagvfy72i4qvuvdnt, 9vyizhfym4y8vc07xrvba7skq, 972sdfy32aqsh3liqmn6chnf9, 5gf24ds4ejjztxyj8b5rs3tnt, a50t6mmm9lljdt0b9vp1w7vu1, 4w4fnup47fnga68td9bu83sut, 6pepyzak4dixdnxbegfg8etqs, 472gtgjd61tmky6j73s10rkt0, 4ztjiy8n0724xy818ophfp4ic, e1ogqatdx34wgtmvvq28ft39x",4152724269,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4152724277,194,1zy10ymkyg5dz4edlg8pdcxcl,4152724275,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526572013,1,34,16,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0,0,2023-04-01T14:40:28.186Z,2023-04-01T15:27:44Z,4152734437,59,"35, 2, 8, 6, 4, 3, 13, 7, 11, 16, 23, 9, 10, 14, 15, 17, 18, 19, 21, 40",4152734447,194,6736te1pno19jo5i82obbns2d,4152734451,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152734435,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4152734433,30,"1xmg6k4n9a6zmhmq6ysq6tch6, 7yld2a7aw6d3lmmwpu1wovxsl, 96uzhuuez4q5pgxb566ryk53p, 7pel84swlqfux6obt6lznze1h, a97r48wblkhztm400rnvciok5, 23p0dby12ymf55wwi0xz2fnx1, 6051gs5j7d6zss35h2twoqnd, 6736te1pno19jo5i82obbns2d, b9tsqyrv0xp0tt5nzwrmy9gb9, 1m0qpbce7dob7mdbo7titbqp5, 4oxlpwcwpa44hstpm70iep0id, 6u3k1pcpowzvy9qrngb3j3a39, f3gxyvlnuwl9wglyroa6q2mll, 71ewtolv8guf3m6sh01pf1nmx, 5t5ib5l818gj98xrztrj0kbca, eybt8xfc15yw9kwnbvm64zend, 15mg49mqn215ce4ojukev0o2x, 5k7sf8hvml6cf6f29g9393v11, 7pk2vyumro8ku45aar5dw7dw4, 5xkkb1l7y84mwfjsytlqoep04",4152734449,197,5157,4152734443,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152734439,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526663885,2,32,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0,0,2023-04-01T15:31:11.265Z,2023-04-01T15:31:15Z,4153213095,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526663863,3,32,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0,0,2023-04-01T15:31:11.265Z,2023-04-01T15:31:11Z,4153212981,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526663999,4,1,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,50.2,49.9,2023-04-01T15:31:11.365Z,2023-04-01T15:31:16Z,4153213645,56,Back,4153213651,212,28.2,4153213647,140,23.9,4153213653,213,3.3,4153213649,141,41.8,4153213655,279,S,,,,,,,48ffxxjaqagvfy72i4qvuvdnt,N. Vasić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526664091,5,1,1,0,4,ac8jow4mdkvnsv5s0och4qqm,0,27.8,39.1,2023-04-01T15:31:15.550Z,2023-04-01T15:31:22Z,4153214211,213,6.1,4153214199,56,Center,4153214201,140,71.9,4153214207,212,47.0,4153214197,155,,4153214205,141,27.0,4153214215,1,,,,,sxahqo62pj3wu3yfeah4fiay,A. Sögaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526664077,3,44,1,0,7,czkf5t3ai00ghwbga03i5aqxw,1,27.7,78.2,2023-04-01T15:31:18.600Z,2023-04-01T15:31:20Z,4153214119,56,Back,4153214429,233,6,4153214121,285,,,,,,,,,,,,,,,,,23p0dby12ymf55wwi0xz2fnx1,M. Danielson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526664111,6,44,1,0,7,ac8jow4mdkvnsv5s0och4qqm,0,72.3,21.8,2023-04-01T15:31:18.601Z,2023-04-01T15:31:23Z,4153214319,56,Center,4153214809,233,3,4153214321,286,,,,,,,,,,,,,,,,,9vyizhfym4y8vc07xrvba7skq,O. Pettersson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526664151,4,1,1,0,7,czkf5t3ai00ghwbga03i5aqxw,1,27.3,83.5,2023-04-01T15:31:18.833Z,2023-04-01T15:31:21Z,4153214523,140,35.7,4153214521,56,Back,4153214529,213,0.4,4153214517,3,,4153214527,212,9.5,4153214525,141,88.7,,,,,,,23p0dby12ymf55wwi0xz2fnx1,M. Danielson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526664207,6,49,1,0,8,czkf5t3ai00ghwbga03i5aqxw,1,40.9,94.6,2023-04-01T15:31:19.720Z,2023-04-01T15:38:28Z,,,,,,,,,,,,,,,,,,,,,,,,,4oxlpwcwpa44hstpm70iep0id,G. Wikheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526664205,5,1,1,0,9,czkf5t3ai00ghwbga03i5aqxw,1,35.7,88.7,2023-04-01T15:31:20.656Z,2023-04-01T15:31:23Z,4153214835,140,30.3,4153214837,141,85.1,4153214841,213,3.5,4153214839,212,6.2,4153214833,56,Back,,,,,,,,,,4oxlpwcwpa44hstpm70iep0id,G. Wikheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526664209,7,1,1,0,10,czkf5t3ai00ghwbga03i5aqxw,1,30.3,85.1,2023-04-01T15:31:21.992Z,2023-04-01T15:31:23Z,4153214857,212,8.1,4153214855,141,93.5,4153214851,56,Back,4153214853,140,35.8,4153214859,213,0.8,,,,,,,,,,6736te1pno19jo5i82obbns2d,M. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526664361,8,1,1,0,11,czkf5t3ai00ghwbga03i5aqxw,1,35.8,93.5,2023-04-01T15:31:23.024Z,2023-04-01T15:31:30Z,4153215771,141,80.3,4153215765,56,Left,4153215773,212,21.3,4153215769,140,54.2,4153215775,213,5.8,,,,,,,,,,4oxlpwcwpa44hstpm70iep0id,G. Wikheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526664371,9,4,1,0,15,czkf5t3ai00ghwbga03i5aqxw,1,60.8,75.6,2023-04-01T15:31:27.200Z,2023-04-01T16:19:55Z,4153215829,295,,4153215835,286,,4153567731,233,7,4153215827,13,,4153215831,56,Center,4153215833,152,,,,,,,,b9tsqyrv0xp0tt5nzwrmy9gb9,O. Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526664511,7,4,1,0,15,ac8jow4mdkvnsv5s0och4qqm,0,39.2,24.4,2023-04-01T15:31:27.201Z,2023-04-01T16:19:55Z,4153567735,233,9,4153216677,152,,4153294675,295,,4153216673,56,Back,4153216683,285,,4153216671,13,,,,,,,,c9qk8n9d4130okk9go1brzskq,K. Ackermann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526664915,10,1,1,0,34,czkf5t3ai00ghwbga03i5aqxw,1,61.4,74.2,2023-04-01T15:31:45.338Z,2023-04-01T15:31:48Z,4153218833,56,Left,4153218831,152,,4153218839,212,12.0,4153218841,213,2.4,4153218837,141,86.6,4153218879,189,,4153218829,5,,4153218835,140,53.3,7pel84swlqfux6obt6lznze1h,R. Schüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526665003,11,1,1,0,37,czkf5t3ai00ghwbga03i5aqxw,1,53.3,86.6,2023-04-01T15:31:49.040Z,2023-04-01T15:31:51Z,4153219329,56,Back,4153219335,212,15.7,4153219337,213,4.2,4153219331,140,46.1,4153219333,141,66.3,,,,,,,,,,96uzhuuez4q5pgxb566ryk53p,E. Andersson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526665069,12,1,1,0,40,czkf5t3ai00ghwbga03i5aqxw,1,55.1,50.7,2023-04-01T15:31:51.274Z,2023-04-01T15:31:53Z,4153219649,212,28.7,4153219643,56,Right,4153219645,140,65.0,4153219651,213,5.1,4153219647,141,11.4,,,,,,,,,,23p0dby12ymf55wwi0xz2fnx1,M. Danielson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526665107,13,1,1,0,41,czkf5t3ai00ghwbga03i5aqxw,1,65.1,10.6,2023-04-01T15:31:53.256Z,2023-04-01T15:31:54Z,4153219845,56,Center,4153219853,141,29.2,4153219855,212,14.4,4153219849,140,58.5,4153219857,213,2.1,,,,,,,,,,7yld2a7aw6d3lmmwpu1wovxsl,P. Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526665215,14,1,1,0,43,czkf5t3ai00ghwbga03i5aqxw,1,58.4,30.3,2023-04-01T15:31:54.840Z,2023-04-01T15:31:58Z,4153220459,140,58.3,4153220461,141,66.9,4153220457,56,Center,4153220469,213,1.6,4153220465,212,24.9,,,,,,,,,,a97r48wblkhztm400rnvciok5,J. Löfgren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526665409,15,1,1,0,46,czkf5t3ai00ghwbga03i5aqxw,1,58.3,66.9,2023-04-01T15:31:57.968Z,2023-04-01T15:32:04Z,4153221609,141,52.2,4153221603,56,Back,4153221611,212,14.3,4153221613,213,3.9,4153221607,140,48.5,,,,,,,,,,7pel84swlqfux6obt6lznze1h,R. Schüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526665461,16,1,1,0,52,czkf5t3ai00ghwbga03i5aqxw,0,61.9,53.6,2023-04-01T15:32:03.985Z,2023-04-01T15:32:05Z,4153221869,141,29.2,4153221863,56,Center,4153221875,213,5.6,4153221861,155,,4153221865,140,81.3,4153221871,212,26.3,,,,,,,23p0dby12ymf55wwi0xz2fnx1,M. Danielson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526665613,8,1,1,0,55,ac8jow4mdkvnsv5s0och4qqm,1,21.7,74.7,2023-04-01T15:32:06.454Z,2023-04-01T15:40:19Z,4153222711,3,,4153222721,213,6.2,4153222713,56,Back,4153222719,212,8.8,4153222717,141,74.1,4153222715,140,30.1,,,,,,,bmj66ols6rtul44h9c6obmi95,S. Kroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526665619,9,1,1,0,58,ac8jow4mdkvnsv5s0och4qqm,0,26.4,77.1,2023-04-01T15:32:10.248Z,2023-04-01T15:40:50Z,4153315675,212,12.4,4153222743,56,Back,4153315669,3,,4153315677,213,0.1,4153315673,141,78.5,4153315671,140,38.2,,,,,,,972sdfy32aqsh3liqmn6chnf9,M. Ćosić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526665809,17,1,1,0,59,czkf5t3ai00ghwbga03i5aqxw,1,57.1,25.9,2023-04-01T15:32:11.128Z,2023-04-01T15:32:16Z,4153223845,141,46.6,4153223847,212,17.4,4153223849,213,2.2,4153223843,140,47.3,4153223841,56,Back,,,,,,,,,,a97r48wblkhztm400rnvciok5,J. Löfgren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526665879,18,1,1,1,4,czkf5t3ai00ghwbga03i5aqxw,1,52.2,48.8,2023-04-01T15:32:15.920Z,2023-04-01T15:32:18Z,4153224225,140,48.2,4153224231,213,4.1,4153224227,141,39.5,4153224229,212,7.6,4153224223,56,Back,,,,,,,,,,23p0dby12ymf55wwi0xz2fnx1,M. Danielson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526665941,19,1,1,1,7,czkf5t3ai00ghwbga03i5aqxw,1,53.2,32.4,2023-04-01T15:32:18.352Z,2023-04-01T15:32:20Z,4153224583,213,5.4,4153224577,140,67.3,4153224581,212,23.4,4153224579,141,5.8,4153224575,56,Right,,,,,,,,,,7pel84swlqfux6obt6lznze1h,R. Schüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526666015,20,1,1,1,8,czkf5t3ai00ghwbga03i5aqxw,1,67.3,5.8,2023-04-01T15:32:19.967Z,2023-04-01T15:32:22Z,4153224945,212,16.0,4153224947,213,0.4,4153224941,140,81.1,4153224943,141,15.9,4153224939,56,Right,,,,,,,,,,7yld2a7aw6d3lmmwpu1wovxsl,P. Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
